Era,Name,Notes,Copy Length,File Date,Leak Date,Available Length,Quality,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
1 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Broken Glass,"(August 23rd, 2005) (Lonny moves to Los Angeles)
(2007-2008) Lonny scraps Broken Glass",,"In 2005, Hurricane Katrina hit Ocean's hometown of New Orleans and his recording facility was destroyed by floodwater and looting. To continue recording music, he moved to Los Angeles and intended to stay for just six weeks but decided to stay longer and develop his music career. He worked on multiple solo songs under the name ""Lonny Breaux"" intended for a 5 track project called ""Broken Glass."" The project was later scrapped sometime between 2007 and 2008."
Broken Glass,Broken Glass,"Frank Ocean worked on multiple solo songs under the name ""Lonny Breaux"" intended for a 5 track project called ""Broken Glass."" The project was later scrapped sometime between 2007 and 2008. Only 3 snippets out of the 5 tracks from the EP have been leaked.",?:??,,"Jan 9, 2024",Snippet,High Quality,https://pillows.su/f/bc57cf558c0ac2aab90e26345cd3f68d
"0 OG File(s)
2 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
1 Unavailable","nostalgia, ULTRA.
(Triptape)","(Late 2009) (Frank joins Odd Future.)
(Feburary 16th, 2011) (nostalgia, ULTRA. officially releases.)
(May 2011) (Def Jam announced the project would be re-released as an abridged EP titled ""nostalgia, LITE"")",,"Breaux decided to join rap collective Odd Future. Breaux had silently started work on an album under Def Jam's nose. Originally slated for a July 4th, 2010 release under the name ""Triptape,"" it was delayed for an unknown reason. While working on the album, Breaux had decided to adopt a new stage name, ""Frank Ocean."" After seemingly no promotion, ""nostalgia, ULTRA."" was released online for free in February 2011."
"nostalgia, ULTRA.","nostalgia, ULTRA. [Tumblr Copy]
(Triptape)",M4A 256kbps AAC 44Khz version of the album. Included lyrics for the songs.,42:50,,"Feb 16, 2011",Full,CD Quality,https://pillows.su/f/2b97fc4a20bd295152bd4697a87f0097
"nostalgia, ULTRA.","nostalgia, ULTRA. [OF Bandcamp Copy]
(Triptape)",MP3 192kbps version of the album.,42:36,,"Mar 23, 2011",Full,High Quality,https://pillows.su/f/855c29574f4082c9407646cf14e36a2d
"nostalgia, ULTRA.","nostalgia, LITE.","No tracklist is known for the cancelled nostalgia, LITE, but it's known that it was supposed to be 7 tracks long.",?:??,,,Confirmed,Not Available,N/A
"0 OG File(s)
2 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable","channel ORANGE
(Nostalgia, LITE.)","(Feburary 16th, 2011) (nostalgia, ULTRA. is released.)
(March 19th, 2012) (nostalgia, LITE is cancelled.)
(July 10th, 2012) (channel ORANGE is released.)",,"In February 2011, directly after Nostalgia, ULTRA, Ocean began writing new songs with Malay, a producer and songwriter who then assisted him with recording channel ORANGE at EastWest Studios in Hollywood. Rather than rely on samples as he had with his mixtape, Ocean wanted to approach sound and song structure differently on the album. It was released on July 10, 2012, by Def Jam Recordings. The lyrics on the album eventually led to Ocean coming out as gay on his Tumblr page in 2012."
channel ORANGE,channel ORANGE [Clean Version CD Copy],"Full FLAC 44Khz/16BIT Clean version of ""channel ORANGE"" that is not available on streaming.",46:42,,"Jul 20, 2012",Full,Lossless,https://pillows.su/f/2642d75444869f5aefb5c325ada82787
channel ORANGE,channel ORANGE [2025 Release Vinyl Copy],"Full FLAC 96khz/24BIT Vinyl version of ""channel ORANGE' that has been officially released on his website,""Blonded.co"", On June 26th, 2025. Mastering is different, way less clipping and distortions. There is a lot of noise, but it's probably due to the poor ripping of the vinyl.",58:28,,"Jun 26, 2025",Full,Lossless,https://pillows.su/f/0b2441c9ee801304b644acbd93c3e1f3
"0 OG File(s)
4 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable","Endless
(46 Minutes of 120 hours in the life of Frank Ocean)","(July 10th, 2012) (channel ORANGE is released.)
(August 19th, 2016) (Endless is released.)",,"Endless was recorded in various studios across California, as well as in London, Miami, and Berlin, with production handled primarily by Ocean, Vegyn, Michael Uzowuru, and Troy Noka. After an interminable wait, Ocean fulfilled his contractual obligations and increased his potential profit share from 14 percent to 70 percent of total revenues from Blond within a 24-hour period, seemingly pulling a fast one on the biggest music company in the world."
Endless,Endless (Livestream Album) [V1],"Original version of ""Endless"" that was played on livestream split into separate tracks. Has differences in track listing, transitions and some songs have pretty significant changes overall.",36:34,,"Aug 18, 2016",Full,Recording,https://pillows.su/f/3f6fc4e67347bcd3b6a876edf99b2328
Endless,"Endless (Visual Album) [2017 Cyber Monday Release DVD Copy]
(46 Minutes of 120 hours in the life of Frank Ocean)","Full ALAC 48Khz/16BIT DVD Version rip of Frank Ocean's ""Endless (Visual)."" Video was uploaded onto Apple iTunes right after the livestream ended. Visual mastered is only exclusive on VHS, DVD and Apple Music currently.",45:52,,"Aug 19, 2016",Full,Lossless,"https://music.apple.com/us/music-video/endless/1143705097
https://pillows.su/f/232bcedd9918a52b820db7fdeebc2e96"
Endless,Endless (Album) [2017 Cyber Monday Release CD Copy],"Full FLAC 44Khz/16BIT CD version rip of Frank Ocean's ""Endless."" Contains a different mastered. More polished.",39:58,,"Apr 10, 2018",Full,Lossless,https://pillows.su/f/232bcedd9918a52b820db7fdeebc2e96
Endless,Endless (Album) [2017 Cyber Monday Release Vinyl Copy],"Full FLAC 48Khz/24BIT vinyl version rip of Frank Ocean's ""Endless."" Contains a different mastered. More polished.",40:31,,"Apr 10, 2018",Full,Lossless,https://pillows.su/f/f8c08364cf6e3145c597d1bb08299840
"0 OG File(s)
2 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
2 Unavailable","blonde
(blond, Boys Don't Cry)","(July 10th, 2012) Channel Orange is released.
(August 19th, 2016) Endless is released.
(August 20th, 2016) blonde is released.",,"In 2013, Ocean confirmed that his follow up to channel ORANGE would be another concept album. Initially known as Boys Don't Cry and teased for a July 2015 release, the album suffered several delays and was the subject of widespread media anticipation leading up to its release. Beginning in 2013 and ending in 2016, recording for the album took place at New York's Electric Lady Studios and, after a period of writer's block, in London at Abbey Road Studios and in Los Angeles' Henson Recording Studios."
blonde,"Boys Don't Cry [V1]
(blond, blonde)","Tracklist isn't known, but track titles are known due to Kia Tasbhigou posting cover art for the singles originally set to be released.",?:??,,,Confirmed,Not Available,https://pillows.su/f/348070782008b404b4bad1fbefbf4913
