Era,Name,Notes,Designer,Type,Image,Project Type,Use,Link(s)
"nostalgia, ULTRA.","Nostalgia, Ultra","The album’s artwork features a picture of a fire orange 1988 BMW E30 M3. The stylized title uses modified versions of Cooper Black & Orator fonts. The photo of the BMW originates from multiple forum posts on BimmerForums.com & S14.net by a user named Dricebrug, captured in Hockessin, Delaware, circa May 2009.",Dricebrug & Frank Ocean,Photo,,Front Cover,Used,"1 - Artwork or 'Hood Cover' 
 <https://drive.google.com/drive/folders/1l-MCIz4tXX17REoYof4Luwwf5-bEOtoT>"
"nostalgia, ULTRA.","Nostalgia, Ultra (Chopped)",Resolution and composition fitted to 1x1 image.,Dricebrug & Frank Ocean,Photo,,Front Cover,Alternate,1 - Artwork or 'Hood Cover' <https://drive.google.com/drive/folders/1l-MCIz4tXX17REoYof4Luwwf5-bEOtoT>
"nostalgia, ULTRA.","nostalgia, ULTRA. (Tracklist)","An image titled “Trunk Cover,” featuring a wrecked yellow Ferrari and the album tracklist & copyright information, accompanied the digital download of nostalgia, ULTRA from Frank Ocean’s Tumblr & Odd Future’s Bandcamp. Some of the track titles deviate from the songs' final name; “Street Fighter” is listed as “Streetfighter,” “Bitches Talkin'” is listed as “Metal Gear Solid,” and “Songs for Women” is listed as “Songs 4 Women.” The copyright text features Frank Ocean’s name with the letter “A” replaced with the Greek letter Delta.",Frank Ocean?,Photo,,Back Cover,Used,2 - Tracklist or 'Trunk Cover' <https://drive.google.com/drive/folders/1aA1oPnoUjX-4d6jvM8Pu-MKaAM8kLF8S>
"nostalgia, ULTRA.","Nostalgia, Ultra (Tracklist) [Chopped]",Resolution and composition fitted to 1x1 image for the tracklist.,Frank Ocean?,Photo,,Back Cover,Alternate,2 - Tracklist or 'Trunk Cover' <https://drive.google.com/drive/folders/1aA1oPnoUjX-4d6jvM8Pu-MKaAM8kLF8S>
"nostalgia, ULTRA.","Nostalgia, Ultra (Beats)","An image titled “Beat Credits,” featuring a black Nissan Skyline and credits for audio production & sampled recordings, accompanied the digital download of nostalgia, ULTRA from Odd Future’s Bandcamp.",Frank Ocean?,Photo,,Other,Alternate,3 - Beats <https://drive.google.com/drive/folders/1zem5UQgLv7YthVMQpWE_qL134pe5OkLu>
"nostalgia, ULTRA.","Nostalgia, Ultra (Beats) [Chopped]",Resolution and composition fitted to 1x1 image for the credits.,Frank Ocean?,Photo,,Other,Alternate,3 - Beats <https://drive.google.com/drive/folders/1zem5UQgLv7YthVMQpWE_qL134pe5OkLu>
"nostalgia, ULTRA.",Pyrite (Fool's Gold),Cover made for Pyrite that was used in the soundcloud release in October 2010 but was later deleted.,Frank Ocean?,Photo,,Front Cover,Used,1 - Pyrite <https://drive.google.com/drive/folders/1jl0r_x2-gPgkpzvmTrQlLvoCozzEgK4N>
"nostalgia, ULTRA.",Pyrite (Fool's Gold) [OG],Different placement of text and overall quality change.,Frank Ocean?,Photo,,Front Cover,Unused,1 - Pyrite <https://drive.google.com/drive/folders/1jl0r_x2-gPgkpzvmTrQlLvoCozzEgK4N>
"nostalgia, ULTRA.",Whip Appeal,Cover of a studio from which likely this song was recorded in. Also released through his blog in March 2012.,Frank Ocean,Photo,,Front Cover,Used,4 - Whip Appeal <https://drive.google.com/drive/folders/1j3iA9_5qSjunZVoMiIJl0n7WDkRZ8Nsi>
"nostalgia, ULTRA.",Whip Appeal,Full resolution cover of Whip Appeal.,Frank Ocean,Photo,,Front Cover,Alternate,4 - Whip Appeal <https://drive.google.com/drive/folders/1j3iA9_5qSjunZVoMiIJl0n7WDkRZ8Nsi>
"nostalgia, ULTRA.",Novacane,"“Novacane” was Frank Ocean’s debut solo single, released by Island Def Jam on May 31, 2011. The title on the single artwork is stylized in all lowercase, combining Cooper Black & Orator fonts and replacing the second letter “A” with a Greek letter Delta. The model on the cover has not been identified. She appears to be laying out on a lawn, possibly at a music festival like Coachella, taking inspiration from the song’s lyrics.",???,Photo,,Front Cover,Used,2 - Novacane <https://drive.google.com/drive/folders/1fqOKH_cUl7uhCz-V3ru-eBqsY088ZzKm>
"nostalgia, ULTRA.",Novacane [Clean],Clean cover version for Novacane.,???,Photo,,Front Cover,Alternate,2 - Novacane <https://drive.google.com/drive/folders/1fqOKH_cUl7uhCz-V3ru-eBqsY088ZzKm>
"nostalgia, ULTRA.",Swim Good,"“Swim Good” was Frank Ocean’s second solo single, released by Island Def Jam on October 18, 2011. The cover features an underwater photo by Brick Stowell, depicting Ocean wearing a kimono—a traditional Japanese garment—while partially submerged in a swimming pool. The song title on the artwork is stylized in all uppercase; beneath it are the Japanese characters 良い (yoi/-i, good) and 泳ぐ (oyogu, to swim), translated literally as “Swim Good:” 良い泳ぐ",???,Photo,,Front Cover,Used,3 - Swim Good <https://drive.google.com/drive/folders/1P2WzlNl6T1Qo9xQRixitd6E1rRc0L7K1>
channel ORANGE,Blue Whale,Cover for Blue Whale that released through Frank's tumblr blog in December 2011.,???,Digital,,Front Cover,Used,8 - Blue Whale <https://drive.google.com/drive/folders/1bo1sSXYHNVMvZNvyP2fOZvZZWzYJyJfD>
