Era,Name,Notes,Media Length,Date,Type,Streaming,Link(s)
"3 Released
0 Unreleased
0 Other
0 On Streaming
3 Not On Streaming
0 Limited","nostalgia, ULTRA.
(Triptape)","(Late 2009) Frank joins Odd Future.
(Feburary 16th, 2011) nostalgia, ULTRA. officially releases.",,"Breaux decided to join rap collective Odd Future. Breaux had silently started work on an album under Def Jam's nose. Originally slated for a July 4th, 2010 release under the name ""Triptape,"" it was delayed for an unknown reason. While working on the album, Breaux had decided to adopt a new stage name, ""Frank Ocean."" After seemingly no promotion, ""Nostalgia ULTRA."" was released online for free in February 2011."
"nostalgia, ULTRA.","Acura Integurl
(dir. Dave Wilson)","Music video for ""Acura Integurl"". 
Directed by Dave Wilson.",1:56,"Feb 16, 2011",Released,No,https://pillows.su/f/4b1c8aae16ad6bd1215c50db3a22d60e
"nostalgia, ULTRA.","Novacane
(dir. Nabil Elderkin)","Music video for ""Novacane"". 
Directed by Nabil Elderkin.",2:54,"Feb 16, 2011",Released,No,https://pillows.su/f/13c6425962ce8eb18c7ac417d14283d6
"nostalgia, ULTRA.","Swim Good
(dir. Nabil Elderkin)","Music video for ""Swim Good"". 
Directed by Nabil Elderkin.",4:37,"Feb 16, 2011",Released,No,https://pillows.su/f/dabc5756876e587ab3fe524d9705aea4
"3 Released
0 Unreleased
1 Other
1 On Streaming
5 Not On Streaming
0 Limited","channel ORANGE
(Nostalgia, LITE.)","(Feburary 16th, 2011) (nostalgia, ULTRA. is released.)
(July 10th, 2012) (channel ORANGE is released.)",,"In February 2011, directly after Nostalgia, ULTRA, Ocean began writing new songs with Malay, a producer and songwriter who then assisted him with recording channel ORANGE at EastWest Studios in Hollywood. Rather than rely on samples as he had with his mixtape, Ocean wanted to approach sound and song structure differently on the album. channel ORANGE is the debut studio album by Ocean. It was released on July 10, 2012, by Def Jam Recordings. The lyrics on the album eventually led to Ocean coming out as gay on his Tumblr page in 2012."
channel ORANGE,Forrest Gump (Raw Grammy Visuals),"Raw Grammy visuals to the original performace for ""Forrest Gump"".",4:01,,Other,No,https://pillows.su/f/4fb661e97222a71d286d894aa05a47e5
channel ORANGE,Forrest Gump (Grammy Rehearsal),"Rehearsal for Frank's Grammy performance of ""Forrest Gump"".","3:50
3:25",,BTS,No,"https://pillows.su/f/cec7f6e91de5ba6c0b18b0b0c47d7d3b
https://pillows.su/f/3b258973071e3ae0e29f437e808701d7"
channel ORANGE,Forrest Gump (Grammy Performance),"55th Grammy Awards performance of ""Forrest Gump"".",4:12,,Live,No,https://pillows.su/f/76de60b069f49d15fb5e06eceb2d5ee6
channel ORANGE,"Lost
(dir. Francisco Soriano)","Music video for ""Lost"".
Directed by Francisco Soriano.",2:56,"Apr 12, 2013",Released,No,https://pillows.su/f/031ac32a6f02afe4c328599c3f932eb4
channel ORANGE,"Pyramids
(dir. Nabil Elderkin)","Music video for ""Pyramids"". Features new guitar solo not featured in any other version. This is the only music video that is on streaming.
Directed by Nabil Elderkin.",7:58,"Sep 16, 2012",Released,Yes,https://pillows.su/f/b8224ff301ddf29132bc71d72b1dc505
channel ORANGE,"Thinkin Bout You
(dir. High5Collective)","Music video for ""Thinkin Bout You"". Features new backing vocals and intro. 
Directed by High5Collective.",3:59,"Jul 31, 2012",Released,No,https://pillows.su/f/234a4dac31ca0c7f9ea7f2e9b2e816b2
