Era,Name,Notes,Track Length,Release Date,Type,Streaming,Link(s)
"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""!
Do NOT do this if you are an Editor!"
"0 Album Tracks
0 Singles
4 Features
0 Productions
0 Removed
0 Remixes
0 Other",Lonny Breaux,"(2007-2008) Lonny scraps Broken Glass
(Late 2009) Lonny signs to Def Jam",,"Lonny scraps Broken Glass sometime between 2007 and 2008. After establishing contact with people in the music industry. He recorded some demos at a friend's studio and shopped them around Los Angeles. After getting a songwriting deal, he started working with other record producers and wrote songs for many large artists. In late 2009, Breaux had signed a contract with Def Jam Records as a solo artist. He was initially unable to build a relationship with the company."
,Features
Lonny Breaux,"Noel Gourdin - I Fell
(feat. Brandy) (add. Frank Ocean) (prod. Dapo Torimiro & Midi Mafia)","Song by Noel Gourdin on his album ""After My Time."" Released July 22nd, 2008. Written by Christopher Breaux.",3:42,"Oct 8, 2008",Feature,Yes,https://open.spotify.com/track/1U0OMWvR89Cm20vCNar50f?si=db217bb6e9294a18
Lonny Breaux,"John Legend - Quickly
(feat. Brandy) (add. Frank Ocean) (prod. Dapo Torimiro & Midi Mafia)","Song by John Legend on his album ""Evolver."" Released October 8th, 2008. Written by and has background vocals by Christopher Breaux.",3:42,"Oct 8, 2008",Feature,Yes,https://open.spotify.com/track/1U0OMWvR89Cm20vCNar50f?si=db217bb6e9294a18
Lonny Breaux,"Brandy - 1st & Love
(prod. Hit-Boy & Chase N. Cashe)","Song by Brandy on her album ""Human."" Released December 5th, 2008. Written by Christopher Breaux.",3:17,"Dec 5, 2008",Feature,Yes,https://open.spotify.com/track/14TUOH0rE3BV7wbZU6gMZ3?si=0d0fb64b952e4721
Lonny Breaux,"Brandy - Locket (Locked In Love)
(prod. Brian Kennedy)","Song by Brandy on her album ""Locket (Locked In Love)."" Released December 5th, 2008. Written by Christopher Breaux.",3:17,"Dec 5, 2008",Feature,Limited,https://open.spotify.com/track/14TUOH0rE3BV7wbZU6gMZ3?si=0d0fb64b952e4721
"2 Mixtapes
14 Mixtape Tracks
0 Loosies
15 Features
0 Singles
1 Remixes
0 Other","nostalgia, ULTRA.
(Triptape)","(Late 2009) Frank joins Odd Future.
(Feburary 16th, 2011) nostalgia, ULTRA. officially releases.",,"Breaux decided to join rap collective Odd Future. Breaux had silently started work on an album under Def Jam's nose. Originally slated for a July 4th, 2010 release under the name ""Triptape,"" it was delayed for an unknown reason. While working on the album, Breaux had decided to adopt a new stage name, ""Frank Ocean."" After seemingly no promotion, ""Nostalgia ULTRA."" was released online for free in February 2011."
,Mixtape Tracks
"nostalgia, ULTRA.",street fighter,"Track 1 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011.",0:22,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/6803dc715ea6ed038759c1bd7ebcb38a <https://pillows.su/f/23c60c6688f735bdb13bbd13e12af514>
"nostalgia, ULTRA.","strawberry swing
(prod. Rik Simpson, Jon Hopkins, Brian Eno & Markus Dravs)","Track 2 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011. Samples ""Strawberry Swing"" by Coldplay <https://www.youtube.com/watch?v=h3pJZSTQqIg&t=1s>.",3:55,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/072bcd4657b0be961b8ad3b628d13ec5 <https://pillows.su/f/8a8709b981db2fe4d3ca52bfb50386e3>
"nostalgia, ULTRA.","Novacane
(prod. Tricky Stewart)","Track 3 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011. Officially put on streaming on May 31st, 2011.",5:02,"Feb 16, 2011",Mixtape Track,Yes,"https://pillows.su/f/bb4552c1442b43a5229abc01572f42bf
https://pillows.su/f/cab353ae04956e650525a468a480c0de"
"nostalgia, ULTRA.","we all try
(prod. Happy Perez)","Track 4 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011.",2:51,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/8e293920f37fa4035f0b3328b6bc62ff
"nostalgia, ULTRA.","bitches talkin'
(prod. Nigel Godrich & Radiohead)","Track 5 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011.",0:22,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/8520d3296d624da9a1784bde6c0a1ccd
"nostalgia, ULTRA.","songs for women
(prod. Happy Perez)","Track 6 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011.",4:13,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/f2ee6e4359eb9e2ee1e1e64ceafee84d
