Era,Name,Notes,Image,Date,Quality,Source,Link(s)
Unknown | Completely Unheard | Snippet/Partial/Recording Available | Alternate Version Available | Confirmed Version Available
Broken Glass,Broken Glass,"No tracklist is known for Broken Glass, but it's known that it was supposed to be 5 tracks long.

#?. Screensaver
#?. Shot
#?. Why You Love Me

1-5. ???",,,Not Available,Leaked,https://pillows.su/f/bc57cf558c0ac2aab90e26345cd3f68d
"nostalgia, ULTRA.","nostalgia, ULTRA. [Release Version]","Release tracklist for nostalgia, ULTRA.

1. street fighter
2. strawberry swing
3. novacane
4. we all try
5. bitches talkin' (Metal Gear Solid)
6. songs for women
7. lovecrimes
8. goldeneye
9. there will be tears
10. swim good
11. dust
12. american wedding (feat. James Fauntleroy)
13. soul calibur
14. nature feels",N/A,"Feb 16, 2011",Clear,Official,https://pillows.su/f/2b97fc4a20bd295152bd4697a87f0097
"nostalgia, ULTRA.","nostalgia, LITE.","No tracklist is known for the cancelled nostalgia, LITE, but it's known that it was supposed to be 7 tracks long.

#?. Swim Good
#?. Novacane
#?. Whip Appeal

1-7. ???",N/A,,Not Available,Official,https://pillows.su/f/f59444c26d118c503534e15e14d8b9cf
channel ORANGE,channel ORANGE [CD Version],"Release CD tracklist for channel ORANGE., has the song ""Golden Girl"" which features Tyler, The Creator.

1. Start
2. Thinkin Bout You
3. Fertilizer
4. Sierra Leone
5. Sweet Life
6. Not Just Money
7. Super Rich Kids (feat. Earl Sweatshirt)
8. Pilot Jones
9. Crack Rock
10. Pyramids
11. Lost
12. White (feat. John Mayer)
13. Monks
14. Bad Religion
15. Pink Matter (feat. André 3000)
16. Forrest Gump
17. End/Golden Girl (feat. Tyler, the Creator)",N/A,"Jul 10, 2012",Clear,Official
channel ORANGE,channel ORANGE [Streaming Version],"Release streaming tracklist for channel ORANGE.

1. Start
2. Thinkin Bout You
3. Fertilizer
4. Sierra Leone
5. Sweet Life
6. Not Just Money
7. Super Rich Kids (feat. Earl Sweatshirt)
8. Pilot Jones
9. Crack Rock
10. Pyramids
11. Lost
12. White (feat. John Mayer)
13. Monks
14. Bad Religion
15. Pink Matter (feat. André 3000)
16. Forrest Gump
17. End",N/A,"Jul 10, 2012",Clear,Official,"https://open.spotify.com/album/392p3shh2jkxUxY2VHvlH8
https://music.apple.com/us/album/channel-orange/1440765580"
Endless,Endless [Stream Version],"Tracklist for the original stream version of Endless.

1. ???
2. Alabama
3. Mine
4. U-N-I-T-Y
5. Comme Des Garcons
6. Xenons
7. Honeybaby
8. Wither
9. Hublots
10. In Here Somewhere
11. Slide On Me
12. Sideways
13. Impietas
14. Deathwish
15. Florida
16. Rushes
17. Rushes To
18. Higgs
19. At Your Best (You Are Love)
20. Mitsubishi Sony",N/A,"Aug 19, 2016",Clear,Official,https://pillows.su/f/2ffa6100d0d784bc35575f837a562e20
Endless,Endless [Apple Version],"Tracklist for the Apple Music version of Endless.

1. Device Control
2. At Your Best (You Are Love)
3. Alabama
4. Mine
5. U-N-I-T-Y
6. Ambience 001: In a Certain Way
7. Comme Des Garcons
8. Xenons
9. Ambience 002: Honeybaby
10. Wither
11. Hublots
12. In Here Somewhere
13. Slide On Me
14. Sideways
15. Florida
16. Deathwish (ASR)
17. Rushes
18. Rushes To
19. Higgs
20. Mitsubishi Sony
21. Device Control (Reprise)",,"Aug 19, 2016",Clear,Official,https://pillows.su/f/433ded86df6dbbfff020e730ef6a378e
Endless,Endless [DVD & VHS Version],"Tracklist for the DVD & VHS version of Endless.

1. Device Control
2. At Your Best (You Are Love)
3. Alabama
4. Mine
5. U-N-I-T-Y
6. Ambience 001: In a Certain Way
7. Comme Des Garcons
8. Xenons
9. Ambience 002: Honeybaby
10. Wither
11. Hublots
12. Walk Away
13. In Here Somewhere
14. Slide On Me
15. Sideways
16. Florida
17. Deathwish (ASR)
18. Rushes
19. Rushes To
20. Higgs
21. Mitsubishi Sony
22. Device Control (Reprise)",,"Aug 19, 2016",Blurry,Official,https://pillows.su/f/3ced29205b33ba782941fc517220beff
Endless,Endless [CD & Vinyl Version],"Tracklist for the CD and vinyl version of Endless.

1. At Your Best (You Are Love)
2. Alabama
3. Mine
4. Unity
5. A Certain Way
6. Comme Des Garcons
7. Xenons
8. Honeybaby
9. Wither
10. Hublots
11. In Here Somewhere
12. Slide On Me
13. Sideways
14. Florida
15. Impietas / Deathwish (ASR)
16. Rushes
17. Rushes To
18. Higgs
19. Mitsubishi Sony",,"Apr 10, 2018",Clear,Official,"https://pillows.su/f/9a39aeed3d0aa05acfe77051ea69519f
https://pillows.su/f/716c38ffe726197bbf796b5b7db548d9"
blonde,"Boys Don't Cry [V1]
(blond, Blonde)","Tracklist isn't known, but track titles are known due to Kia Tasbhigou posting cover art for the singles originally set to be released.

#?. Nikes
#?. White Ferrari
#?. Ivy
#?. Night.s
#?. Self Control
#?. Both Sides",N/A,,Not Available,Secondary,https://ibb.co/album/68sqxh <https://pillows.su/f/348070782008b404b4bad1fbefbf4913>
blonde,"Blonde [V2]
(blond, Boys Don't Cry)","Tracklist for blonde shown in the Boys Don't Cry magazine on the CD pages.

1. Pretty Sweet
2. Mitsubishi Sony
3. Ivy
4. Pink + White
5. Solo
6. Easy
7. Skyline To
8. Nights
9. White Ferrari
10. Seigfried
11. Godspeed
12. Futura Free",N/A,,Clear,Official,https://genius.com/albums/Frank-ocean/Blonde-magazine-version
blonde,"Blonde [CD Version]
(blond, Boys Don't Cry)","Release CD tracklist of Blonde.

1. Nikes (feat. KOHH)
2. Ivy
3. Pink + White
4. Be Yourself
5. Solo
6. Skyline To
7. Self Control
8. Good Guy
9. Nights
10. Solo (Reprise)
11. Pretty Sweet
12. Facebook Story
13. Close To You
14. White Ferrari
15. Seigfried
16. Godspeed
17. Futura Free",N/A,"Aug 20, 2016",Clear,Official
blonde,"Blonde [Streaming Version]
(Boys Don't Cry)","Release streaming tracklist of Blonde.

1. Nikes
2. Ivy
3. Pink + White
4. Be Yourself
5. Solo
6. Skyline To
7. Self Control
8. Good Guy
9. Nights
10. Solo (Reprise)
11. Pretty Sweet
12. Facebook Story
13. Close To You
14. White Ferrari
15. Seigfried
16. Godspeed
17. Futura Free",N/A,"Aug 20, 2016",Clear,Official,"https://music.apple.com/us/album/blonde/1146195596
https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf"
"Look At Us, We're In Love","Look At Us, We're In Love","Tracklist found on an alternate cover for In My Room and DHL posted by Michel Egger. One of the seven letter slots is likely Cayendo, but its unknown which.

1. ???????
2. DHL
3. ??? ?? ??? ??? ?
4. In My Room
5. ???
6. ???????
7. ????
8. ? ????? ??
9. Dear April
10. ????? ?? ?? ??
11. ????
12. Feelings Gone (?)
13. These Days (?)
14. ????????
15. ????? ?? ?
16. ??????",,"Dec 10, 2019",Blocked,Official,https://x.com/blondedblog/status/1204176197728526338
