Era,Title,Notes,Copy Length,Leak Date,File Date,Available Length,Quality,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",The Younger I Get,"(09/25/1983) (Donald Glover is born on the Edwards Air Force Base in California)
(XX/XX/2005) (Donald self-distributes his first project under the ""Childish Gambino"" name at NYU)",,,,,,
The Younger I Get,Home [V2],"Mentioned by Chaz Kangas that there was a version made after the mixtape version of ""Home"".",,,,Rumored,Not Available,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Poindexter
(Young Buddy)","(06/05/2008) (Sick Boi, the first official release under the name ""Childish Gambino"", releases as a free mixtape)
(09/17/2009) (Poindexter is officially released)",,,,,,
Poindexter,Almost There [V1],Unfinished mix.,3:37,"Feb 22, 2023",,Full,CD Quality,https://pillows.su/f/e7341b589f2f3cd9e30abdc4c1d1337d
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",I AM JUST A RAPPER,"(09/17/2009) (Poindexter is officially released)
(01/05/2010) (I AM JUST A RAPPER is officially released)",,,,,,
I AM JUST A RAPPER,"Bitch, Look At Me Now (Two Weeks) [V1]",Unfinished mix.,3:12,"Feb 22, 2023",,Full,CD Quality,https://pillows.su/f/64fb86e7fa86bfdb36056944b90d6ef1
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Culdesac
The Culdesac","(02/04/2010) (I AM JUST A RAPPER 2 officially releases)
(07/03/2010) (Culdesac officially releases)",,,,,,
Culdesac,Difference [V1],"OG Filename: 01 Difference (FINAL ROUGH)
Unfinished mix.",4:30,"Feb 22, 2023",,OG File,CD Quality,https://pillows.su/f/abff16a26deba348507138018ed0e9ad
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",EP,"(07/03/2010) (Culdesac officially releases)
(03/08/2011) (EP officially releases.)",,,,,,
EP,🏆 Ghost Story,Song registered on music databases and copyright. Grouped with 'EP.',,,,Confirmed,Not Available,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",ROYALTY,"(11/15/2011) (Camp is officially released)
(07/04/2012) (ROYALTY is officially released)",,,,,,
ROYALTY,Make It Go Right,"OG Filename: Childish Gambino Make It Go Right (ft Kilo Kish) 
main mix 320615 DMP.hi
An OG File for Make It Go Right Mixing.",4:24,"Jun 12, 2024",,OG File,CD Quality,https://pillows.su/f/2ea16093895450720ada48bb7be8cf76
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Because The Internet,"(07/04/2012) (ROYALTY is officially released)
(12/10/2013) (Because The Internet is officially released)",,,,,,
