Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
The Younger I Get,The Younger I Get,Official cover for 'The Younger I Get'.,Unknown,Photo,,Front Cover,Donald,
Sick Boi,Sick Boi,,,,,Clear,Donald,
Poindexter,Poindexter,,,,,Clear,Donald,
I AM JUST A RAPPER,I AM JUST A RAPPER,,,,,Clear,Donald,
I AM JUST A RAPPER 2,I AM JUST A RAPPER 2,,,,,Clear,Donald,
Culdesac,Culdesac,,,,,Clear,Donald,
EP,EP,,,,,Clear,Donald,
Camp,Camp,,,,,Clear,Donald,
ROYALTY,ROYALTY,,,,,Clear,Donald,
Because The Internet,Because The Internet,,,,,Clear,Donald,
STN MTN / Kauai,STN MTN,,,,,Clear,Donald,
STN MTN / Kauai,Kauai,,,,,Clear,Donald,
"""Awaken, My Love!""","""Awaken, My Love!""",,,,,Clear,Donald,
ATAVISTA [V1],ATAVISTA,,,,,Blocked,Secondary,
3.15.20,3.15.20,,,,,Clear,Secondary,
3.15.20,3.15.20,,,,,Clear,Donald,
Atavista [V2],Atavista,"Front cover for 'Atavista', the fourth studio album by Childish Gambino.",Muhozi Nintunze,Photo,,Clear,Donald,
Atavista [V2],Atavista [Animated Cover],Animated cover for 'Atavista' used on streaming services such as Apple Music & Tidal.,Muhozi Nintunze,,,,,
Bando Stone and The New World,Bando Stone and The New World ,"Front cover for 'Bando Stone and The New World', the fifth and final studio album by Childish Gambino. Shot by Ibra Ake and designed by Muhozi Nintunze. Also used as the cover for the 'Lithonia' single.",Ibra Ake & Muhozi Nintunze,Photo,,Front Cover,Donald,https://a5.mzstatic.com/us/r1000/0/Music221/v4/3c/d3/37/3cd3376c-55f6-26ea-1dad-5d26b9391a45/196872224030.jpg
Bando Stone and The New World,Bando Stone and The New World [Animated Cover],Animated cover for 'Bando Stone and The New World used on streaming services such as Apple Music & Tidal.,Ibra Ake & Muhozi Nintunze,Video,,Front Cover,Donald,https://mvod.itunes.apple.com/itunes-assets/HLSVideo211/v4/ab/4f/9f/ab4f9f25-3c62-60b2-44e3-8089c4def9e9/P895421528_Anull_video_gr698_sdr_2160x2160-.mp4
Bando Stone and The New World,Bando Stone and The New World [Back],Digital back cover for 'Bando Stone and The New World',Ibra Ake & Muhozi Nintunze,Photo,,Back Art,Donald,
Bando Stone and The New World,Bando Stone and The New World [Vinyl Back], Back cover for 'Bando Stone and The New World' found on the vinyl. Different from the digital one since it lacks the rainbow graphic.,Ibra Ake & Muhozi Nintunze,Scan,,Back Art,Donald,https://imagescdn.juno.co.uk/full/CS1079344-01B-BIG.jpg
