Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2024,,Untitled,Like The Internet + Salty + Top Of The World,"Like The Internet + Salty + Top Of The World

Like The Internet
Salty
Kimbra - Top Of The World (feat. Childish Gambino)

Bonuses:
Feels Like Summer [V4] (Multitrack Session)
Gorilla
Just A Party
Lost Media Hip Hop Squares Episode w/ Donald
Assorted Full Gambino Graphic Design Assets","$2,500","Mar 17, 2024","Mar 27, 2024",Normal,Yes,
2023,,Untitled,Do You Believe,"Do You Believe

Do You Believe (Rugrats In Paris)",$700,"Oct 21, 2023","Oct 31, 2023",Normal,Yes,
2023,,ATAVISTA [V1],Bonnaroo 2019 Stems,Bonnaroo 2019 Stems,$700,"Sep 22, 2023","Oct 5, 2023",Normal,Yes,
2023,,ATAVISTA [V1],Steeldrum Song,"Steeldrum Song

Steeldrum Song (Summertime Magic OG + Session)

Bonuses:
Feels Like Summer (Release Stems)
Assorted Gambino Graphic Design Assets",$400,"May 19, 2023",N/A,Normal,Yes,
2023,,ATAVISTA [V1],Steeldrum Song,"Steeldrum Song

Steeldrum Song (Summertime Magic OG + Session)

Bonuses:
Feels Like Summer (Release Stems)
Assorted Gambino Graphic Design Assets",$500,"May 19, 2023",N/A,Normal,Reworked,
2023,,ATAVISTA [V1],Almanac Bundle (x4),"Almanac Bundle (x4)

End Of Days (In Paris)
My Heart (Swag 2)
Limelight
Algorhythm (TheSource)","$2,500","Apr 26, 2023","May 9, 2023",Normal,Yes,
2023,,ATAVISTA [V1],Africa Bundle (x2),"Africa Bundle (x2)

Crusin' Thru Africa
Newton Goes To Africa (Voodoo)",$300,"Apr 17, 2023","Apr 17, 2023",Blind,Forceleaked,
2023,,STN MTN / Kauai,Live & Die,Live & Die,$400,"Apr 14, 2023","Apr 15, 2023",Blind,Yes,
2023,,STN MTN / Kauai,All Night,All Night,$300,"Apr 11, 2023","Apr 11, 2023",Blind,Yes,
2023,,ATAVISTA [V1],Warlords (Solo) + Lost Love Paradise,"Warlords (Solo) + Lost Love Paradise

Warlords (Solo)
Lost Love Paradise

Bonuses:
Going Back To LA (Orange Juice)","$2,000","Apr 10, 2023","Apr 10, 2023",Normal,Yes,
2023,,ATAVISTA [V1],Warlords (Solo),"Warlords (Solo)

Warlords (Solo)

Bonuses:
Going Back To LA (Orange Juice)","$2,000","Apr 9, 2023","Apr 10, 2023",Normal,Reworked,
2023,,ATAVISTA [V1],Last + Nights In Japan Bundle,"Last + Nights In Japan Bundle

Last (Weather)
Nights In Japan

Bonuses:
Human Sacrifice (CDQ VC Version)
Die With You (CDQ VC Version)","$1,500","Apr 8, 2023","Apr 8, 2023",Normal,Yes,
2023,,ATAVISTA [V1],Last + Nights In Japan Bundle,"Last + Nights In Japan Bundle

Last (""Weather"")
Nights In Japan

Bonuses:
Human Sacrifice (CDQ VC Version)
Die With You (CDQ VC Version)","$2,000","Mar 31, 2023","Apr 8, 2023",Normal,Reworked,
2023,,ATAVISTA [V1],Shock,"Shock

Shock (OG)",$500,"Mar 23, 2023","Mar 23, 2023",Normal,Yes,
2023,,ATAVISTA [V1],Atavista (x2),"Atavista (x2)

2x Atavista (Versions 1 & 2)

Bonuses:
Coachella 2019 (1080p Week 1 & 2)
The Edge of Darkness (Gambino x Kimbra)
My Hoodie (Gambino x Chance)","$2,000","Mar 16, 2023","Mar 21, 2023",Normal,Yes,
2023,,ATAVISTA [V1],Algorhythm [OG] + Die With You (x2) + Time,"Algorhythm [OG] + Die With You (x2) + Time

Algorhythm (OG Version)
2x Die With You (CDQ)
Time (Unmastered OG File)

Bonuses:
Shock (Coachella Week 1 & 2 CDQ)
My Hoodie (Gambino Verse Snippet)
Kanye West - Talk To Me (Lossless)
Kanye West - Hold My Liquor (Demo Stems)
Kanye West - All Day & I Feel Like That (4K Music Video)","$1,500","Mar 15, 2023","Mar 15, 2023",Normal,Yes,
2023,,ATAVISTA [V1],Human Dilemma,Human Dilemma,$500,"Mar 14, 2023","Mar 14, 2023",Blind,Forceleaked,
2023,,ATAVISTA [V1],Human Sacrifice,"Human Sacrifice

Human Sacrifice (CDQ Studio Version)","$1,000","Mar 14, 2023","Mar 14, 2023",Flash,Yes,
2023,,ATAVISTA [V1],Human Sacrifice + Saturday + Limelight,"Human Sacrifice + Saturday + Limelight

Human Sacrifice (VC Recording)
Saturday (VC Recording)
Limelight","$1,600","Mar 13, 2023","Mar 13, 2023",Blind,Forceleaked,
2023,,ATAVISTA [V1],Song 8,"Song 8

Song 8

Bonuses:
Ay Ya","$2,000","Mar 10, 2023","Mar 13, 2023",Normal,Yes,
2023,,ATAVISTA [V1],Shock [Live] + Bonnaroo Bundle,"Shock [Live] + Bonnaroo Bundle

Shock (32.22 OG Live Version)
Summertime Magic (Live Version + Studio & Live Stems)
I. The Worst Guys (Live Version + Studio & Live Stems)
II. Worldstar (Live Version + Studio & Live Stems)
Untitled Interlude (Live Version + Studio & Live Stems)
Stand Tall (Live Version + Studio & Live Stems)
Boogieman (Live Version + Studio & Live Stems)
Have Some Love (Live Version + Studio & Live Stems)
Riot (Live Version + Studio & Live Stems)
Terrified (Live Version + Studio & Live Stems)
This Is America (Live Version + Studio & Live Stems)
Sober (Live Version + Studio & Live Stems)
V. 3005 (Live Version + Studio & Live Stems)
IV. Sweatpants (Live Version + Studio & Live Stems)
Redbone (Live Version + Studio & Live Stems)","$1,300","Mar 2, 2023","Mar 3, 2023",Normal,No,
2023,,ATAVISTA [V1],Warlords,"Warlords

Warlords (Gambino x Cudi)

Bonuses:
Fire Fly (Acapella & Instrumental)
Bonfire (Instrumental)
Heartbeat (Instrumental)
Summertime Magic (Instrumental)","$3,000","Feb 16, 2023","Feb 19, 2023",Normal,Yes,\
2023,,ATAVISTA [V1],Human Sacrifice + Feels Like Summer [Live Versions],"Human Sacrifice + Feels Like Summer [Live Versions]

Human Sacrifice (Live Version + Studio & Live Stems)
Feels Like Summer (Live Version + Studio & Live Stems)

Bonuses:
This Is America (Virgil Abloh Version)","$2,000","Feb 15, 2023","Feb 16, 2023",Blind,Yes,
2023,,ATAVISTA [V1],Atavista + Algorythm [Live Versions],"Atavista + Algorythm [Live Versions]

Atavista (Live Version + Studio & Live Stems)
Algorythm (Live Version + Studio & Live Stems)",$700,"Feb 9, 2023","Feb 9, 2023",Normal,Yes,
2021,,Untitled,"Childish Gambino x Chance, The Rapper (x2)","Childish Gambino x Chance, The Rapper (x2)

Do You Believe
My Hoodie","$3,000","Oct 25, 2021","Oct 29, 2021",Normal,No,
2021,,ATAVISTA [V1],Good Music,Good Music,"$1,500","May 29, 2021","Jun 9, 2021",Normal,Yes,
2021,,ATAVISTA [V1],Infinity,Infinity,"$1,500","May 19, 2021","May 25, 2021",Normal,Yes,
2020,,ATAVISTA [V1],Love Bug,Love Bug,"$1,200","Aug 31, 2020","Sep 4, 2020",Normal,Yes,
2020,,ATAVISTA [V1],Valentine,Valentine,"$1,500",Info needed,"Aug 4, 2020",Normal,Yes,
2019,,ATAVISTA [V1],Capitalism,"Capitalism

Capitalism (Gambino x Slim Jxmmi)",$500,"Jul 14, 2019","Jul 15, 2019",Normal,Yes,
2019,,ATAVISTA [V1],Feels Like Summer (feat. Travis Scott) + Nightlife,"Feels Like Summer (feat. Travis Scott) + Nightlife

Feels Like Summer (Gambino x Travis Scott)
Nightlife","$2,000","Jun 7, 2019","Jun 8, 2019",Normal,Yes,
