Era,Name,Notes,Image / Length,Date Made,"Leak
Date",Type,Available Length,Quality,Link(s)
,Culdesac,,,,,,,,
Culdesac,,,,,,,,,
,EP,,,,,,,,
,Camp,,,,,,,,
,Music Videos,,,,,,,,
Camp,"Fire Fly [Music Video]
(dir. Mitch deQuilettes)","Official music video for 'Fire Fly', released July 24th, 2012.",3:39,,"Jul 24, 2012",Music Video,Full,CD Quality,https://vimeo.com/46259487
,Because The Internet,,,,,,,,
,Music Videos,,,,,,,,
Because The Internet,Crawl [Music Video],Uncomfirmed music video for Crawl by one of the BTI videographers Paul Cockroft.,3:38,,"Mar 17, 2014",Music Video,Rumored,Not Available,https://vimeo.com/89314053
Because The Internet,"Sweatpants [Alternate Music Video]
(dir. Jason Chen)","Original music video filmed for Sweatpants by Jason Chen, before it was reshot and directed by Hiro Murai.",,,,Music Video,Confirmed,Not Available,
Because The Internet,"Sweatpants [Music Video]
(dir. Hiro Murai)","Official video for 'Sweatpants', released April 14th, 2014.",4:17,,"Apr 14, 2014",Music Video,Full,CD Quality,https://vimeo.com/92592443
Because The Internet,"3005 [Music Video]
(dir. Hiro Murai)","Official video for '3005', released December 6th, 2013.",4:15,,"Dec 6, 2013",Music Video,Full,CD Quality,https://vimeo.com/82068345
Because The Internet,"Telegraph Ave [Music Video]
(dir. Hiro Murai)","Official video for 'Telegraph Ave', released October 10th, 2014.",4:56,,"Oct 10, 2014",Music Video,Full,CD Quality,https://vimeo.com/109198422
,STN MTN / Kauai,,,,,,,,
,Music Videos,,,,,,,,
STN MTN / Kauai,"Sober [Music Video]
(dir. Hiro Murai)","Official video for 'Sober', released on January 10th, 2015.",4:43,,"Jan 10, 2015",Music Video,Full,CD Quality,https://vimeo.com/116634367
,"""Awaken, My Love!""
(Operation Highjump!)",,,,,,,,
"""Awaken, My Love!""",,,,,,,,,
,Atavista [V1],,,,,,,,
,Music Videos,,,,,,,,
Atavista [V1],"This Is America
(dir. Hiro Murai) (featuring SZA)","Official video for 'This Is America', released on May 6th, 2018.",4:04,,"May 6, 2018",Music Video,Full,CD Quality,https://vimeo.com/276794240
,Live Performances,,,,,,,,
Atavista [V1],"Algorythm [Bonnaroo Live Version]
(prod. Donald Glover & DJ Dahi)
(Algorhythm)","Song performed as track 2 during the second European leg for the This Is America tour and throughout US festivals in 2019. Contains very different production from other versions and additional choir vocals and Donald vocals on the outro. Concert version from the Bonnaroo 2019 sessions groupbought for $700 alongside the stems on Feburary 9th, 2023.",5:16,,"Feb 9, 2023",Live Performance,Full,Lossless,https://mega.nz/folder/pz9XXTxZ#TiZy8YC92tu310_laghDew
Atavista [V1],Atavista [Bonnaroo Live Version],"The opening song for the This Is America Tour and the rest of Childish Gambino's final shows throught 2018-2019. Concert version from the Bonnaroo 2019 sessions groupbought with stems for $700 on February 9th, 2023.",1:57,,"Feb 9, 2023",Live Performance,Full,Lossless,https://mega.nz/folder/6VUzBBTY#zNHDPHDXBgL9o3OcDZ_0jA
Atavista [V1],"Feels Like Summer [Bonnaroo Live Version]
(feat. Travis Scott) (prod. Donald Glover & Ludwig Göransson)
(It Feel Like Summer, 42.26)","Version of Feels Like Summer used during various shows in 2019. Contains both Travis Scott and Donald Glover on the chorus, as well as production and mix differences from the final version. Leaked with stems on February 16, 2023 after a successful groupbuy for $2000.",3:48,,"Feb 16, 2023",Live Performance,Full,Lossless,Link Needed
Atavista [V1],"Human Sacrifice [Bonnaroo Live Version]
(prod. DJ Dahi, Ludwig Göransson & Ely Rise)
(39.28, Human Dilemma, Party, Why Go To The Party)","Played during European stops on the This Is America tour & festivals in 2019. Live version of Human Sacrifice [V5]. Bonnaroo 2019 version leaked with stems after a $2000 private groupbuy. Two versions available with one having live takes on the verses, and the other with pure CDQ vocals on the choruses & choir segments.",6:12,,"Feb 16, 2023",Live Performance,Full,Lossless,https://mega.nz/folder/GF8WFLQJ#BQGtqgMJRtvcKblYUCWNwg
Atavista [V1],Saturday [SNL Version],"Version performed on SNL on May 5th, 2018. Also performed live on earlier stops during the This Is America tour, PHAROS New Zealand & the 'Guava Island' film. ",3:18,,"May 5, 2018",Live Performance,Full,Recording,https://pillows.su/f/2439502aa00b03e2480fba6abdd50065
Atavista [V1],Saturday [Live Version],"Version of Saturday exclusively performed on December 17th, 2018 during the This Is America tour at The Forum in Los Angeles, California. Has production differences and has an extended outro. An extended version of this song in CD Quality likely exists somewhere.",~5:37,,"Dec 17, 2018",Live Performance,Full,Recording,Link Needed
