Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Atavista [V1],⭐ All Night [V1],"OG Filename: Childish Gambino - All Night 012018
Much earlier version. No ""ayo"" vocals, completely different vocal takes and alternate lyrics. Also includes a guitar outro. Still has an abrubt cutoff but not nearly as bad as V2.",4:34,"Jan 20, 2018","Oct 7, 2025",OG File,CD Quality,https://pillows.su/f/ff01ac7538858e359a7e23f01eb95332
Atavista [V1],Forever Love,"OG Filename: Childish Gambino - Forever Love
Short demo song. Full vocals. Could possibly have been meant as a prelude to End of Days with the references to finding ""forever love.""",1:23,,"Oct 7, 2025",OG File,CD Quality,https://pillows.su/f/02d521a689edf4470b4b8371b9197ba6
Bando Stone and The New World,"⭐ Easy Love
(feat. Ravyn Lenae)","New song played during Season 2 Episode 2 of GILGA Radio. Ravyn Lenae stated in an interview she had worked on a song with Donald that was supposed to be on the album, but ultimately didn't make it.",,,"Jul 6, 2025",Full,CD Quality,https://pillows.su/f/683aef6fd62f15b6c5cdfdfe6af2efc6
Atavista [V1],"⭐ Mama 
(WIndow To Your Heart)","Snippet leaked by TheSource on May 5th, 2021. Rumored to be recorded shortly after Donald's father passed away sometime in 2018.  Another snippet leaked later in 2024. Full song forceleaked on May 12th, 2025.",4:35,,"May 12, 2025",Full,CD Quality,https://pillows.su/f/8e2b2d8d3035c6edd2c03835c5ea50b5
Atavista [V1],"⭐ Time [V5]
(prod. DJ Dahi, Donald Glover & Ludwig Göransson)","Demo version of Time that's in a different key than release. Open verses, new vocal take on chorus, unpitched piano and raw choir vocals. Could be the ""spooky version"" but not confirmed. Full song forceleaked on May 12th, 2025.",5:00,"Jul 27, 2018","May 12, 2025",Full,CD Quality,https://pillows.su/f/f286734fc3fd29503ab22f32f365daf9
Atavista [V1],🏆 Butt Juice,"Snippet leaked in honor of the terrible Atavista Special Edition Videos when the track unbelievably called Butt Juice was shared, it is confirmed to be from 2019.",,,"Apr 13, 2025",Snippet,High Quality,https://pillows.su/f/04c20ee7b012235d5707f607341f3e70
Untitled*,Lil Yachty - Man Made [V1],"OG Filename: boat x childish 1 rough
Song made during the Chance X Bino sessions, has an open verse for Donald, seemingly unnamed. Uncomfirmed if the filename is refering to Donald or producer ChildBoy, but it is very likely Donald.",2:32,,"Apr 3, 2025",OG File,High Quality,https://pillows.su/f/fdf36cdfbcf62c726823a1c2bb73584d
Atavista [V2],"Sweet Thang [V4]
(feat. Summer Walker)
(24.19)",Unmastered version of Sweet Thang without reverb etc. accidentially added as the audio to the production company Braintickle's youtube upload of the Sweet Thang Music Video.,,,"Mar 7, 2025",Full,High Quality,https://pillows.su/f/6b1aa5034030b602f112435daed69b53
Atavista [V2],Atavista Deluxe Boxset,All the music videos and BTS content included in the Atavista Deluxe boxset.,,,"Mar 3, 2025",Full,High Quality,https://mega.nz/folder/tBBE3R6L#oSy3opqWxXCcGOkuGdQ1nw
Bando Stone and The New World,"Cruisin' [V4]
(feat. Yeat)
(Cruisin Thru Africa)","Played at the Little Island Listening Party for 'Bando Stone and The New World' on July 6th, 2024. Features finished vocals, new instrumentation, and a guest feature from Yeat. Also features adlibs on the outro not heard on release.",,,"Feb 25, 2025",Full,Recording,https://pillows.su/f/be1bf76970b28a7b53b4e9a9b422c622
Bando Stone and The New World,"Control
(ref. Esai Antigua)",One of the demo beats that was sent to Donald when he put out that he was looking for beats towards the end of 2023. However Esai was told Donald was not looking for funk beats this time around. Made on November 2nd 2023.,3:53,"Nov 2, 2023","Nov 2, 2024",Partial,High Quality,https://pillows.su/f/b98d38af15e88c60eee9b2176d6e9e41 https://pillows.su/f/506333aaa8a0d4947d78f7744101dad4
Bando Stone and The New World,"Dadvocate [Remix]
(feat. Shaboozey)",Version of Dadvocate with a Shaboozey verse sung live in New York during tour and then posted to Donald's instagram.,,,"Aug 26, 2024",Full,High Quality,https://pillows.su/f/6199303d0d075e15e7cddcd626ea8076
Bando Stone and The New World,"In The Night [V4]
(feat. Jorja Smith, Amaarae, Jayla Darden)",Version posted on Donald's instagram with rougher production.,,,"Jul 15, 2024",Partial,Recording,Link Needed
Bando Stone and The New World,"H3@RT$ W3RE M3@NT T0 F7¥ [V3]
(feat. Amaarae)
(How I Feel)","Played at the Little Island Listening Party for 'Bando Stone and The New World' on July 6th, 2024. Just mixing differences.",,,"Jul 6, 2024",Full,Recording,https://pillows.su/f/1beabeeec553eb32045b84fbc42242cb
