Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
The Younger I Get,"Da Man
(prod. Donald Glover)","First track on ""The Younger I Get"".",2:14,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"Tengo
(feat. DC Pierson) (prod. Donald Glover)","Second track on ""The Younger I Get"". Features an early take on the chorus used on the song 'Kids' from Camp, released 7 years later.",3:01,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"My Baby
(prod. Donald Glover)","Third track on ""The Younger I Get"".",2:38,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"Kcuf
(prod. Donald Glover)","Fourth track on ""The Younger I Get"".",2:31,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"Justification
(prod. Donald Glover)","Fifth track on ""The Younger I Get"".",3:12,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"Waiting
(prod. Donald Glover)","Sixth track on ""The Younger I Get"".",4:02,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"Bounce
(feat. Tundra) (prod. Donald Glover)","Seventh track on ""The Younger I Get"".",3:02,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"2 Brains
(prod. Donald Glover)","Eighth track on ""The Younger I Get"".",3:11,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"Summer Is Here
(prod. Donald Glover)","Ninth track on ""The Younger I Get"".",2:49,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"Black Kid
(prod. Donald Glover)","Tenth track on ""The Younger I Get"". Features the beat of what became 'Kickin Dirt (Me and Tia)' from Love Letter In An Unbreakable Bottle, released 2 years later under the mc DJ name. The beat was also used as the credits song on the Derrick Comedy movie, Mystery Team.",4:14,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"A Runaway
(prod. Donald Glover)","Eleventh track on ""The Younger I Get"".",3:26,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"Retarded
(prod. Donald Glover)","Twelfth track on ""The Younger I Get"".",3:05,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
The Younger I Get,"Me and Austen
(prod. Donald Glover)","Thirteenth track on ""The Younger I Get"". Featured on the Derrick Comedy sketch 'New Bike' 2 years later.",2:34,,Album Track,No,https://mega.nz/folder/zJVTAaKI#7kirss3-MjCqo6NjRownEg
