Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Culdesac,Do Ya Like [Acapella],"Acapella for Do Ya Like publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",3:44,,Full,CD Quality,Link Needed
Culdesac,Fuck It All [Acapella],"Acapella for Fuck It All publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",4:46,,Full,CD Quality,Link Needed
Culdesac,Let Me Dope You [Acapella],"Acapella for Let Me Dope You publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",3:33,,Full,CD Quality,Link Needed
Culdesac,Put It In My Video [Acapella],"Acapella for Put It In My Video resurfaced online on February 17th, 2023.",,"Feb 17, 2023",3:15,,Full,CD Quality,Link Needed
EP,"Freaks and Geeks [Instrumental]
(prod. Donald Glover & Ludwig Göransson)","Instrumental for Freaks and Geeks publically resurfaced online on October 17th, 2022. Unmastered and has an extended outro.",,"Oct 1, 2022",3:56,,Full,CD Quality,https://pillows.su/f/6d17de06591187b71b3471e51ae23de5
Camp,Outside [Instrumental],"Instrumental for Outside publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",4:40,,Full,CD Quality,https://pillows.su/f/7249d8e16aa88767e706a7c4164e5ce9
Camp,Fire Fly [Instrumental],"Instrumental for Fire Fly publically resurfaced online on October 17th, 2022. (linked) Official instrumental to ""Fire Fly"", leaked as a bonus for the Warlords groupbuy on February 20, 2023. (link needed)",,"Feb 20, 2023",3:24,,Full,Lossless,https://pillows.su/f/621f0301798f580390171349d438121d
Camp,Bonfire [Instrumental],"Instrumental for Bonfire publically resurfaced online on October 17th, 2022. (linked) Higher quality version leaked on February 19, 2023. (link needed)",,"Feb 20, 2023",3:16,,Full,Lossless,https://pillows.su/f/6e3a5e1fedf053f3a76d0e87749e122e
Camp,All The Shine [Instrumental],"Instrumental for All The Shine publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",5:56,,Full,CD Quality,https://pillows.su/f/81f7175dfc3613b9a21a6925d203c4ae
Camp,Letter Home [Instrumental],"Instrumental for Letter Home publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",1:53,,Full,CD Quality,https://pillows.su/f/50eff9227d5fc571634fbd58344a8d62
Camp,Heartbeat [Instrumental],"Official instrumental to ""Heartbeat"", leaked as a bonus for the Warlords groupbuy on February 20, 2023. Unmastered. (link needed)",,"Feb 20, 2023",4:29,,Full,Lossless,https://pillows.su/f/cca855a9491e874469ae9ce925e85ef1
Camp,Backpackers [Instrumental],"Instrumental for Backpackers publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",3:21,,Full,CD Quality,https://pillows.su/f/8a72938a8a0022ab9bcc8f6a9f72da9d
Camp,Les [Instrumental],"Official instrumental to ""Les"" resurfaced on YouTube on April 21, 2017. Unmastered and contains more silence on the intro and outro.",,"Apr 21, 2017",5:17,,Full,Lossless,https://pillows.su/f/208bc1420b8e7eb24c8588be001146ee
Camp,Hold You Down [Instrumental],"Official instrumental to ""Hold You Down"" resurfaced on YouTube on August 22, 2018. Unmastered and contains more silence on the intro and outro.",,"Aug 22, 2018",5:00,,Full,CD Quality,https://pillows.su/f/92e63a39bf4b4fb851774b4b86c9d485
Camp,Kids [Instrumental],"Official instrumental to ""Kids"" resurfaced on YouTube on August 22, 2018. Unmastered and contains more silence on the outro.",,"Aug 22, 2018",5:03,,Full,CD Quality,https://pillows.su/f/99560d1b743f0111e70d9051bd26091c
Camp,Sunrise [Instrumental],"Instrumental for Sunrise publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",3:48,,Full,CD Quality,https://pillows.su/f/074917a88d93e7906561bc5a9f473127
Camp,Heartbeat Remix [Instrumental],"Instrumental for Backpackers publically resurfaced online on October 17th, 2022.",,"Feb 20, 2023",4:36,,Full,CD Quality,https://pillows.su/f/ae439c6b5bcbf6965b5e87cc8f3c6900
Camp,Fire Fly [Acapella],"Official acapella to ""Fire Fly"", leaked as a bonus for the Warlords groupbuy on February 20, 2023.",,"Feb 20, 2023",3:24,,Full,Lossless,Link Needed
Because The Internet,I. The Worst Guys,Bonnaroo Stems,,,,,Full,Lossless,"CDQ
Live Pt. 1
Live Pt. 2"
Because The Internet,I. The Worst Guys,Bonnaroo Stems,,,,,Full,CD Quality,"CDQ
Live Pt. 1
Live Pt. 2"
Because The Internet,I. Crawl [Instrumental],"Instrumental for I. Crawl publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",3:30,,Full,CD Quality,https://pillows.su/f/f68aef748fb3c971f8cea108d59e70e8
Because The Internet,II. Worldstar [Instrumental],"Instrumental for II. Worldstar publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",4:00,,Full,CD Quality,https://pillows.su/f/c113acaff7f4b53691641be172f18bc1
Because The Internet,I. The Worst Guys [Instrumental],"Instrumental for I. The Worst Guys publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",3:38,,Full,Low Quality,https://pillows.su/f/d2381ed16559572324b5e20189db6016
Because The Internet,II. Shadows [Instrumental],"Instrumental for II. Shadows publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",3:53,,Full,Low Quality,https://pillows.su/f/94811060bc103c6f847691560671c068
Because The Internet,III. Telegraph Ave [Instrumental],"Instrumental for III. Telegraph Ave publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",2:48,,Full,Low Quality,https://pillows.su/f/6f8f662eef950191c29dc39df6f5bc30
Because The Internet,IV. Sweatpants [Instrumental],"Instrumental for IV. Sweatpants publically resurfaced online on October 17th, 2022. This version has slight differences with 2 pauses being there that are not present in the released version.",,"Oct 17, 2022",3:01,,Full,CD Quality,https://pillows.su/f/42d84afae8b681fb4b1dc9d82bde69da
Because The Internet,V. 3005 [Instrumental],"Instrumental for V. 3005 publically resurfaced online on October 17th, 2022. (linked) Higher quality version leaked on Feburary 16th, 2023. (link needed)",,"Feb 16, 2023",3:52,,Full,Lossless,https://pillows.su/f/ea5e11e91c8828b0f238c588adf5714b
Because The Internet,I. The Party [Instrumental],"Instrumental for I. The Party publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",1:32,,Full,High Quality,https://pillows.su/f/566666f659de73a7f0f31bab099dda93
Because The Internet,II. No Exit [Instrumental],"Instrumental for II. No Exit publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",2:52,,Full,High Quality,https://pillows.su/f/9afadded4471aa6de68ae6919780a2ab
Because The Internet,I. Flight of The Navigator [Instrumental],"Instrumental for I. Flight of The Navigator publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",5:47,,Full,High Quality,https://pillows.su/f/88a5ea6bcb236361e822ffcc8eefbdd0
Because The Internet,II. Zealots of Stockholm (Free Information) [Instrumental],"Instrumental for II. Zealots of Stockholm (Free Information) publically resurfaced online on October 17th, 2022.",,"Oct 17, 2022",4:52,,Full,CD Quality,https://pillows.su/f/27b36ff6bfe881740d12494cea305ffc
