Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
The Younger I Get,The Younger I Get,"Tracklist for The Younger I Get.

1. Da Man
 2. Tengo (feat. DC Pierson)
 3. My Baby
4. Kcuf
5. Justification
6. Waiting
7. Bounce (feat. Tundra)
8. 2 Brains
9. Summer Is Here
10. Black Kid
11. A Runaway
12. Retarded
13. Me and Austen
14. Home
15. Hidden Track",,2005,Clear,Donald,
Sick Boi,Sick Boi,"Official tracklist for Sick Boi, the first studio mixtape by Childish Gambino.

1. Easy (Intro)
 2. Fire
 3. I'm A Winner (feat. Amber Petty)
4. Tru Dudes (feat. MC Chris)
5. Red Alert
6. Love Is Crazy (feat. Eugene Cordero)
7. My Hoodie (feat. Chaz Kangas)
8. Fresh
9. Til' I Die
10. So Sick Wit' It
11. Assassins (feat. DC Pierson & Nick Packard)
12. Baby Doll",,,Clear,Donald,
Poindexter,Poindexter,"Official tracklist for Poindexter, the second studio mixtape by Childish Gambino.

1. Extraordinary
 2. So Much Better
 3. Phat People (feat. Billy Scafuri)
4. The Awesome (feat. MC Chris)
5. Yes
6. Hawk Jones (feat. Dree Dei)
7. Almost There
8. Hollerin (feat. Dean)
9. I'm My Name Bam-B (feat. G.E.T.H.)
10. Grind
11. The Rocker
12. I'm So Focused (feat. Truff Syrum)
13. Starlight (feat. DC Pierson & Amber Petty)
14. Sunshine (feat. Dean)",,,Clear,Donald,
I AM JUST A RAPPER,I AM JUST A RAPPER,"Official tracklist for I AM JUST A RAPPER, the third studio mixtape by Childish Gambino.

1. New Prince (Crown On the Ground)
 2. Bitch Look At Me Now (Two Weeks)
 3. 49ers (Orange Shirt) [feat. DC Pierson]
4. My Girls
5. I Can Hear Your Feet (Sunrise)
6. The Truth (Goth Star) [feat. DC Pierson]
7. I Love Clothes",,,Clear,Donald,
I AM JUST A RAPPER 2,I AM JUST A RAPPER 2,"Official tracklist for I AM JUST A RAPPER 2, the fourth studio mixtape by Childish Gambino.

1. The Real
 2. Get It (Tightrope)
 3. Different (Feel It All Around) [feat. DC Pierson]
4. What The Fuck Are You? (Colouring of Pigeons)
5. Both Hands
6. For The Fans (Warm Heart of Africa)
7. Nowhere to Go
8. (?)",,,Clear,Donald,
Culdesac,Culdesac,"Official tracklist for Culdesac, the fifth studio mixtape by Childish Gambino.

1. Difference
 2. Hero
 3. I Be On That
4. Got This Money
5. So Fly
6. You Know Me
7. Let Me Dope You
8. Do Ya Like
9. I'm Alright
10. Glory
11. Fuck It All
12. I'm On It
13. Put It In My Video
14. These Girls (feat. Garfunkel and Oats)
15. The Last
16. Got This Money (Acoustic @ Ace Hotel)",,,Clear,Donald,
EP,EP,"Official tracklist for EP, the first studio EP by Childish Gambino.

1. Be Alone
 2. Freaks and Geeks
 3. My Shine
4. Lights Turned On
5. Not Going Back",,,Clear,Donald,
Camp,Camp,"Official tracklist for Camp, the first studio album by Childish Gambino.

1. Outside
 2. Fire Fly
 3. Bonfire
4. All the Shine
5. Letter Home
6. Heartbeat
7. Backpackers
8. Les
9. Hold You Down
10. Kids
11. You See Me
12. Sunrise
13. That Power",,,Clear,Donald,
ROYALTY,ROYALTY,"Official tracklist for ROYALTY, the sixth studio mixtape by Childish Gambino.

1. R O Y A L T Y
 2. We Ain't Them
 3. One Up (feat. Steve G. Lover)
4. Black Faces (feat. Nipsey Hussle)
5. Unnecessary (feat. ScHoolboy Q & Ab-Soul)
6. Shoulda Known
7. R.I.P. (feat. Bun B)
8. American Royalty (feat. RZA & Hypnotic Bass Orchestra)
9. It May Be Glamour Life (feat. Ghostface Killah)
10. Toxic (feat. Danny Brown)
11. Silk Pillow (feat. Beck)
12. They Don't Like Me (feat. Chance the Rapper)
13. Arrangement (feat. Gonage)
14. Won't Stop (feat. Danielle Haim)
15. Bronchitis
16. Wonderful (feat. Josh Osho)
17. Make It Go Right (feat. Kilo Kish)
18. Real Estate (feat. Alley Boy, Swank & Tina Fey)",,,Clear,Donald,
Because The Internet,Because The Internet,"Official tracklist for Because The Internet, the second studio album by Childish Gambino.

1. The Library (Intro)
 2. I. Crawl
 3. II. Worldstar
4. Dial Up
5. I. The Worst Guys (feat. Chance the Rapper)
6. II. Shadows
7. III. Telegraph Ave. (""Oakland"" by Lloyd)
8. IV. Sweatpants
9. 3005
10. Playing Around Before the Party Starts
11. I. The Party
12. II. No Exit
13. Death By Numbers
14. I. Flight of The Navigator
15. II. Zealots of Stockholm [Free Information]
16. III. Urn
17. I. Pink Toes (feat. Jhenê Aiko)
18. II. Earth: The Oldest Computer (The Last Night) [feat. Azealia Banks]
19. III. Life: The Biggest Troll [Andrew Auenheimer]",,,Clear,Donald,
STN MTN / Kauai,STN MTN,"Official tracklist for STN MTN, the seventh studio mixtape by Childish Gambino.

1. Dream / Southern Hospitality / Partna Dem
 2. Fucks Given
 3. No Small Talk (feat. Kari Faux)
4. Money Baby
5. Move That Dope / Nextel Chirp / Let Your Hair Blow (feat. Young Scooter)
6. AssShots (Remix) [feat. ROYALTY]
7. Childish Gambino @ The Atrium
8. U Don't Have To Call
9. Candler Road
10. All Yall
11. Go DJ",,,Clear,Donald,
STN MTN / Kauai,Kauai,"Official tracklist for Kauai, the second studio EP by Childish Gambino.

1. Sober
 2. Pop Thieves (Make It Feel Good) [feat. Jaden Smith]
 3. Retro (Rough)
4. The Palisades (feat. Christian Rich)
5. Poke (feat. Steve G. Lover)
6. Late Night in Kauai (feat. Jaden Smith)
7. V. 3005 (Beach Picnic Version",,,Clear,Donald,
"""Awaken, My Love!""","""Awaken, My Love!""","Official tracklist for ""Awaken, My Love!"", the third studio album by Childish Gambino.

1. Me and Your Mama
 2. Have Some Love
 3. Boogieman
4. Zombies
5. Riot
6. Redbone
7. California
8. Terrified
9. Baby Boy
10. The Night Me and Your Mama Met
11. Stand Tall",,,Clear,Donald,
Atavista [V1],Atavista,"Fan-dubbed the ""August Version"" of ATAVISTA, based on the dates found in the OG filenames for songs worked on in late-August 2018 before the This Is America tour. There is no known official tracklist order.

#?. Human Sacrifice 082118_3 (Human Sacrifice) (Human Dilemma)
#?. 01 Warlord 082318 (Warlords)
#?. 01 All Night 082618 (All Night)
#?. Algorythm 083118 (No Verse No preacher) (Algorythm)",,Aug 2018,Blocked,Secondary,
Atavista [V1],Atavista,"Songs said to be on the album by TylerGotGrip. Order unknown.

#?. Atavista
#?. Algorythm (Algorhythm)
#?. Do Whatever You Want
#?. Human Dilemma (Human Sacrifice)
#?. Time
 #?. Warlords",,,Blocked,Leaked,
Atavista [V1],Atavista,"An album copy likely exists with the following songs as they have similar metadata and are from around the same time, as well as similarities such as the sounds all 3 have in the beginning as well as being from the same seller. From Jan - June 2019 (considering that ""Shock from this copy is earlier than version performed at Coachella, it can be assumed that the whole copy was exported before April 12th"").

#?. Algorythm
#?. Atavista
#?. Die With You
#?. Shock
#?. Song 8",,2019,Blocked,Leaked,
Atavista [V1],Atavista,"Partial tracklist based on RCA's YouTube metadata on ""Summertime Magic"" & copyright strikes on existing at the time unreleased ATAVISTA tracks. Videos that got claimed were uploaded and/or claimed around late July 2019, so this tracklist must be from around that time.

1. Summertime Magic (Valentine)
 2. Die With You
3-5. ???
 6. Algorythm (Algorhythm)

#?. Human Sacrifice (Human Dilemma)",,2019,Blocked,Donald,
