Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Bandana,"???
(prod. Madlib)","A snippet for this Bandana era throwaway leaked on May 9th, 2026.",,,5/9/2026,Snippet,High Quality,https://pillows.su/f/898cdacec1ef8be95bf2789fe8f4bad4
Bandana,"???
(prod. Madlib)","Another snippet for a Bandana era throwaway that also leaked on May 9th, 2026.",,,5/9/2026,Snippet,High Quality,https://pillows.su/f/34ad59c5c02fae9a16cb8eb487618687
Montana,"⭐ John Gotti Karate [V2]
(prod. Madlib)","First previewed by Madlib in 2019, then played again in June 2023 with no major changes done. Confirmed to be a Montana song, at least as of 2023. An HQ snippet leaked on May 10th, 2026 with the full leaking on June 1st, 2026.",2:22,,6/1/2026,Full,High Quality,https://pillows.su/f/12d859d97b915f616ba6ad5ed1924d87
You Only Die 1nce,"⭐ Time Flies [V2]
(prod. Genshin)","A version of the Passion Playas track that leaked as a part of the YOD1 Deluxe copy from January 16th. Produced by Genshin. Not on the release version, probably due to sample clearance issues. Has open towards the end.",3:49,,3/2/2026,Full,High Quality,https://pillows.su/f/97fe0d34d6a702ee17b98de952592564
Bandana,"Evil Eye [V2]
(prod. Madlib)
(Freestyle 9)","A very short throwaway, re-uses the beat from Kanye's and Kendrick's ""Freestyle 9."" Gibbs interpolates C.R.E.A.M by Wu-Tang Clan. Leaked for free as an apologie for a scam by Mario Kart",1:32,,2/10/2025,Full,CD Quality,https://pillows.su/f/03b3f4dfb734a731097337f206933889
Bandana,"⭐ Cell [V1]
(prod. Madlib)
(JGB)",Samples a WIRED interview with Steve Lacy. Leaked for free as an apology for a scam by Mario Kart.,4:51,,2/10/2025,Full,CD Quality,https://pillows.su/f/2e0b3d46d389235a621372213c490005
$oul $old $eparately,"Swae Lee - Natural
(feat. Freddie Gibbs) (prod. Boi-1da)
(Tidy)","Reportedly made in 2020, previewed on April 9th, 2021. Previously thought to be a Freddie Gibbs song with a Swae Lee feature called ""Tidy."" Beat got re-used on the 2023 Kodak Black song Burning Rubber.",4:03,,10/5/2025,Full,CD Quality,https://pillows.su/f/62541034df7b5ca05d05c077c8b9e0f4
You Only Die 1nce,"Kanye West - Wolverine [V1]
(ref. Freddie Gibbs) (prod. 454, Pops, & Moo Latte)","OG Filename: Wolverine -Ye ruff-
Apparently a reference track made for Ye. Released officially on You Only Die 1nce. Leaked as a bonus for the ""Pure"" groupbuy.",2:51,,3/6/2025,Full,CD Quality,
You Only Die 1nce,"¥$ - SO CALLED FRIENDS [V11]
(feat. Freddie Gibbs)
(Shangri La)","Version of ""So Called Friends"" mixed by IRKO. Snippet leaked February 12th, 2024 with the full leaking on May 12th 2025. Definitely the best version of the song we have.",3:14,,5/12/2025,Full,CD Quality,https://pillows.su/f/d2c704e08706457364731f2b0b649204
You Only Die 1nce,"¥$ - SO CALLED FRIENDS [V7]
(feat. Freddie Gibbs)
(Shangri La)","OG Filename: so called friends _58bpm_F#_R5_1
Posted by Joyboy after he fully leaked the blurry tracklist. Features a finished verse from Kanye, Ty and Freddie. Said to be from October 2023. Leaked on May 26th, 2024 after reaching 24 thousand paid in the ""Pressure"" groupbuy. The Freddie Gibbs part is mixed pretty horribly.",3:51,,5/26/2024,Full,CD Quality,https://pillows.su/f/00f626aae662781c817b91975e6bdca5
You Only Die 1nce,"¥$ - BACK TO ME [V12]
(feat. Freddie Gibbs & Quavo) (prod. 88-Keys, AyoAA & Wax Motif)
(BACK 2 ME)","Version of ""Back To Me"" played at the VULTURES Miami rave. Quavo's verse is removed and instead has adlibs on both Ye's and Freddie's line ""where they at?"" The end of the track is distorted by microphone audio coming back in. Heavily structured around a clip from the movie ""Dogma"". Partial lossless iTunes file leaked July 31st, 2024.",5:45,,7/31/2024,Partial,CD Quality,"https://pillows.su/f/eacdce3d650be6eea868d8fcdb2cb134
https://pillows.su/f/d013d7f1bef724f5ba3be247a3a2b450"
You Only Die 1nce,"¥$ - BACK TO ME [V13]
(feat. Freddie Gibbs & Quavo) (prod. Kanye West, Ty Dolla $ign, 88-Keys, Wax Motif, AyoAA, Feez, Nic Nac, James Alex Hau, Anthony Kilhoffer, MIKE DEAN & Digital Nas) 
(BACK 2 ME)","Played at the Chicago listening party for Vultures Vol. 1. Has a different and shorter structure, Ye and Freddie's vocals are slightly off time and the Urkel soundbite was removed.",4:56,,2/8/2024,Full,High Quality,
You Only Die 1nce,"¥$ - BACK TO ME [V33]
(feat. Freddie Gibbs & Quavo) (prod. Kanye West, Ty Dolla $ign, 88-Keys, Wax Motif, AyoAA, Feez, Nic Nac, James Alex Hau, Anthony Kilhoffer, MIKE DEAN & Digital Nas) 
(BACK 2 ME)","OG Filename: BACK TO ME Mix 19 VoX shift MT001-TUCCI MASTER-24BIT-48kHz
Post-release mix for ""Back To Me"", leaked after a groupbuy. Has better mixing.",4:45,,10/17/2024,Full,Lossless,
Piñata,"Public Enemies [V1]
(prod. Madlib)
(Uno)","Recorded in 2011, has only the first verse and a different vocal take.",2:59,,5/18/2023,Full,CD Quality,https://pillows.su/f/bfa1c2e3d67ec79f276e9c7cae8f13d5
Shadow of a Doubt,About It,"OG Filename: FG - ABOUT IT RUFF 01
Used this first verse in his 2014 Westwood Freestyle. Leaked in December 2023.",3:10,,12/10/2023,Full,CD Quality,https://pillows.su/f/267080c6c7816ff4be183a55e624b3d5
Shadow of a Doubt,"Hittaz
(prod. Jordan Evans)
(Work)","OG Filename: HITTAZ_prod._Evans 
Previewed live, was on his scrapped ABK mixtape and later intended for Shadow of a Doubt.",2:46,,12/10/2023,Full,CD Quality,https://pillows.su/f/9b7d08129374e1d116d50ec9d475eb3a
$oul $old $eparately,"Ball [V1]
(feat. Pharrell) (prod. Pharrell)
(We Ball)","OG Filename: Freddie_Gibbs_-_Ball_4.3_RA_4.16.21_LATEST
According to the filename, the song is from April 2021. Has a Pharrell produced beat, the iconic tag and a very short part with Pharrell vocals. Leaked on 15th December 2023 after a successful groupbuy.",2:47,,12/15/2023,Full,CD Quality,https://pillows.su/f/7563a0b45da2c5b49f6977e82716104e
You Only Die 1nce,"¥$ - BACK TO ME [V11]
(feat. Freddie Gibbs & Quavo) (prod. 88-Keys, AyoAA & Wax Motif)
(BACK 2 ME)","Low quality leak of an early version of ""Back To Me,"" being the first known one with Gibbs on it. Contains extra Freddie ad-libs and a different song structure. Also a not fully tuned Ye freestyle on the outro, which eventually materialised as the long bridge we know as the 'Beautiful Big Titty Butt Naked Women Just Don't Fall Out The Sky' bridge.",4:15,,12/28/2023,Full,Low Quality,https://pillows.su/f/4bdff29c963fdb354f76563f2a1ef51b
Alfredo 2,"A Thousand [V1]
(prod. Kanye West & The Alchemist)
(A Thousand Mountains)","Low quality leak of A Thousand Mountains, called A Thousand at the time. Has shorter intro & outro. Some claim that this version has been sent in for Vultures.",3:24,,12/28/2023,Full,Low Quality,
Shadow of a Doubt,Bad Man,"Leaked in May 2022, most likely SOAD era.",2:29,,5/30/2022,Full,CD Quality,https://pillows.su/f/c8ad8eb2c223f3470d2e1fcf7628523c
Bandana,"Black Star - JGB [V2]
(feat. Nas) (prod. Madlib)
(Cell)","OG Filename: 07_JGB
Black Star (hip hop duo of Talib Kweli and Yasiin Bey) throwaway that uses the same instrumental as ""Cell"". Was made for their Madlib collaboration album ""No Fear of Time"". Seemingly was track 7 on an original version of ""No Fear of Time"". From 2019.",3:28,,12/22/2022,Full,CD Quality,https://pillows.su/f/1fa7c274fb4e403f903e107b93db7fa9
Bandana,"Nas - Heart Sweepers [V1]
(prod. Madlib)
(Practice, Heartsweepers)","OG Filename: Heart_Sweepers_NAS_csik_mix_1
A throwaway demo produced by Madlib. Has an open where it seems a hook would go, and is very poorly mixed, so was likely just an idea. The first verse was re-used for ""Full Circle"" from 'King's Disease', whilst the second verse was later re-used for an unreleased Dr. Dre collab during 'King's Disease' era. It's unknown when exactly this was made, but likely before 'NASIR'. Instrumental was later given to Freddie Gibbs for the song ""Practice"" in 2019.",3:10,,12/22/2022,Full,High Quality,https://pillows.su/f/cf11860b85ff4979ab14e4a25da4e4ba
$oul $old $eparately,"Black Star - JGB [V3]
(feat. Nas & Common) (prod. Madlib)
(Cell)","OG Filename: Black_Star_-_JGB_feat._Nas__Common
Later version of ""JGB"". Has a new Common verse at the end that is unmixed and has bad mic peaking. Metadata says this was bounced in 2022 so it was likely sent back to Black Star too late for them to mix the verse and add it to the album.",4:28,,12/22/2022,Full,CD Quality,https://pillows.su/f/4586af5d3db048cd8a2053d6740b6d94
$oul $old $eparately,"Meechy Darko - On GOD [V1]
(feat. Freddie Gibbs, A-Trak) (prod. Jay Versace & Dot Da Genius?)","A version of the song released in CS:GO. Is missing some effects on the intro and is one minute shorter than the release. Likely has the exact same producers. Posted in September 2022, curently lost media.",,,9/11/2022,Confirmed,Not Available,
You Only Live 2wice,"Kanye West - ??? [V1]
(feat. Kendrick Lamar) (prod. Madlib)
(Freestyle 9, Evil Eye)","Kanye and Kendrick freestyle over a Madlib beat. Rumoured to be part of the ""40 tracks"" they recorded together during TLOP era. Snippet leaked November 25th, 2019. Gibbs & Madlib would later re-use the instrumental on a Bandana throwaway.",,,11/25/2019,Snippet,Low Quality,
