Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"0 Full
0 Tagged
0 Partial
0 Production
0 Unavailable",Full Metal Jackit Vol. 1,,,,,,
Full Metal Jackit Vol. 1,⭐ Full Metal Jackit Vol. 1 [.mp3],"Freddie's first ever project, .mp3 format. Has metadata for local files, definitely worth checking out.",1:15:47,,Other,,https://pillows.su/f/c9a227328f2f51a19ff46940eda9cc0e
"0 Full
0 Tagged
0 Partial
0 Production
0 Unavailable",Full Metal Jackit Vol. 2,,,,,,
Full Metal Jackit Vol. 2,Full Metal Jackit Vol. 2 [.mp3],"A sequel to Full Metal Jackit Vol. 1, has features from the likes of Twista, T.I. or Vicious. In .mp3 format, has metadata for local files added.",1:02:14,,Other,,https://pillows.su/f/a621730b4c622517396e388b3e364518
"0 Full
0 Tagged
0 Partial
0 Production
0 Unavailable",Big Bizness Vol. 1,,,,,,
Big Bizness Vol. 1,Big Bizness Vol. 1,,,,Other,,
"0 Full
0 Tagged
0 Partial
0 Production
0 Unavailable",This Is My Hustle: Volume 1,,,,,,
This Is My Hustle Volume 1,This Is My Hustle: Volume 1 [.mp3],The entire This Is My Hustle mixtape as mp3. Has metadata for local files added.,1:16:33,,Other,,https://pillows.su/f/ff16d4fbf9b34db1251f76c514df6c63
"0 Full
0 Tagged
0 Partial
0 Production
0 Unavailable",Big Bizness Vol. 2,,,,,,
Big Bizness Vol. 2,Big Bizness Vol. 2,,,,Other,,
"0 Full
0 Tagged
1 Partial
0 Production
1 Unavailable",Gangsta Island: Soundtrack For tha Streetz,,,,,,
Gangsta Island: Soundtrack For tha Streetz,"Gangsta Island: Soundtrack For tha Streetz [.m4a, Beamxrz version]","A .m4a version of Gangsta Island made by Beamxrz. Has fixed song transitions. Also replaces the Sani G solo track ""Gun Clap"" with ""Bumpin' My Music"".",,,Other,,"https://pixeldrain.com/u/VBQmXCyJ
https://pillows.su/f/ba91292d56a349e7d4e1d8e2118d8a06"
Gangsta Island: Soundtrack For tha Streetz,Sani G - Gun Clap,"The only lost track from the Gangsta Island Mixtape. Needed to make the collection complete, please send it to me if you have it.",,,Other,,
"0 Full
0 Tagged
0 Partial
0 Production
0 Unavailable","Live from Gary, Indiana",,,,,,
"Live from Gary, Indiana","Live from Gary, Indiana [.m4a]","The full Live from Gary, Indiana in .m4a quality.",56:01,,Other,,https://pixeldrain.com/u/cBn6BQ1c
"0 Full
0 Tagged
0 Partial
0 Production
0 Unavailable",Big Bizness Vol. 3,,,,,,
Big Bizness Vol. 3,Big Bizness Vol. 3,,1:03:43,,Other,,
"0 Full
0 Tagged
0 Partial
0 Production
0 Unavailable","Live from Gary, Indiana Part 2",,,,,,
"Live from Gary, Indiana Part 2","Live from Gary, Indiana Part 2 [.m4a]","The full Live from Gary, Indiana Part 2 in .m4a quality.",55:21,,Other,,https://pixeldrain.com/u/aFo21skd
"2 Full
0 Tagged
0 Partial
0 Production
0 Unavailable",The Miseducation of Freddie Gibbs,,,,,,
The Miseducation of Freddie Gibbs,⭐ The Miseducation of Freddie Gibbs [.mp3],The entire mixtape in .mp3 format. Has metadata for local files added.,1:05:22,,Other,,https://pillows.su/f/1aed19fb0530f8b14ade007825f04e28
The Miseducation of Freddie Gibbs,The Miseducation of Freddie Gibbs [.wav],The entire mixtape in .wav format.,1:05:22,,Other,,https://pixeldrain.com/u/PjKxUJiJ
"2 Full
0 Tagged
0 Partial
0 Production
0 Unavailable",Str8 Killa No Filla,,,,,,
Str8 Killa No Filla,Str8 Killa No Filla [.mp3],The entire mixtape in .mp3 format. Has metadata for local files added.,1:19:32,,Other,,https://pillows.su/f/f9ab1e85a98f640a48103a9c9942b474
Str8 Killa No Filla,Str8 Killa No Filla [.m4a],The entire mixtape in .m4a format. Has metadata for local files added.,1:19:32,,Other,,https://pixeldrain.com/u/UvXfHGoH
"2 Full
0 Tagged
0 Partial
0 Production
0 Unavailable",Fuckin' Wit Fred,,,,,,
Fuckin' Wit Fred,Fuckin' Wit Fred [.mp3],The entire Fuckin' Wit Fred mixtape in .mp3 format.,,,Other,,https://pillows.su/f/1c8e35c63dc743b51159982203942a8f
Fuckin' Wit Fred,Fuckin' Wit Fred [.m4a],The entire Fuckin' Wit Fred mixtape in .m4a format.,,,Other,,https://pixeldrain.com/u/xFf1wDH1
