Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Designer,Art Type,Image,Project Type,Use,Link(s)
Gorillaz,Gorilla,"Original character designs for 'Gorilla', an early incarnation of Gorillaz.",Jamie Hewlett,Digital,,Concept Art,Unused,
Gorillaz,Tomorrow Comes Today EP,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/3/33/TomorrowComesTodayEP.jpg/revision/latest?cb=20230701013938&format=original
Gorillaz,Clint Eastwood,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Gorillaz,Gorillaz,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music115/v4/5b/8d/47/5b8d47da-71ea-93ab-dffc-733f11332659/825646290703.jpg
Gorillaz,"The Apex Tapes
(Interview CD)",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Gorillaz,19-2000,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
,19-2000 (Soulchild Remix),,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Gorillaz,Rock The House [V1],Black and white cover.,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
,Rock The House [V2],Red and blue cover.,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Gorillaz,"Gorillaz & D12 - 911
(feat. Terry Hall)",,"Jamie Hewlett &
Mat Wakeham",Digital,,Front Cover,Used,https://ia801907.us.archive.org/30/items/mbid-4162a744-ad7b-44e3-9a6d-cbb5838a2782/mbid-4162a744-ad7b-44e3-9a6d-cbb5838a2782-31620639900.jpg
Gorillaz,"G-Sides
[Japan Cover]",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Gorillaz,"Tomorrow Comes Today
[Single Cover]",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Gorillaz,"G-Sides
[UK/Int. Cover]",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/9/93/GSidesNoParentAdvisory.jpg/revision/latest?cb=20230623214758
Gorillaz,Gorillaz vs Spacemonkeyz - Laika Come Home,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Gorillaz,Gorillaz vs Spacemonkeyz - Lil' Dub Chiefin',,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Gorillaz,Phase One: Celebrity Take Down,,,,,Front Cover,Used,
Democrazy,Damon Albarn - Democrazy,,Damon Albarn,Scan,,Front Cover,Used,https://ia803104.us.archive.org/25/items/democrazy/15440-democrazy.jpg?cnt=0
Demon Days,"Feel Good Inc.
(White Border)
[DVD/Promo CD/Digital]",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://a1.mzstatic.com/r40/Music6/v4/46/e9/3d/46e93d96-a34e-0ee8-a609-f0095a3dd6c7/0094631261855_1600x1600_300dpi.jpg
Demon Days,"Feel Good Inc.
(Black/Dark Blue Border)
[Demon Days Artwork/Commercial CDs/Enhanced CDs/Japan Maxi-Single]",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Demon Days,"Feel Good Inc.
(Flying Windmill Island)
[7"" Picture Disc]",,"Jamie Hewlett &
Zombie Flesh Eaters",,,Front Cover,Used,
Demon Days,Demon Days,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music125/v4/1c/0f/81/1c0f818a-e458-dd84-6f1b-ccbdf5fe14d6/825646291045.jpg
Demon Days,Roadkill: The Mixtape,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,
Demon Days,"We Are The Dury
(Interview CD)",,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/d/d0/WeAreTheDuryHQCov.png/revision/latest?cb=20230226170333&format=original
Demon Days,Demon Detour,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Promo Art,Used,https://static.wikia.nocookie.net/kong/images/9/96/DemonDetourCover.png/revision/latest?cb=20230415152006&format=original
Demon Days,"DARE
(Black Cover)
[2-track version/Japan Maxi-Single]",,"Jamie Hewlett &
Zombie Flesh Eaters",,,Front Cover,Used,
