Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Length,"Release
Date",Type,Streaming,Links
,,"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""!
Do NOT do this if you are an Editor!",,,,,
,"Gorillaz
(prod. Gorillaz & Dan the Automator)
(Gorilla)","(1998) (Gorillaz is formed by Damon Albarn & Jamie Hewlett)
(December 12, 2001) (Gorillaz & G-Sides is officially released in the UK",,,"The first album by Gorillaz following the Tomorrow Comes Today EP. The album was made in collaboration with Deltron 3030 members Dan the Automator (also of Handsome Boy Modelling School, Lovage, etc.) and Kid Koala, with Del the Funky Homosapien featuring on ""Clint Eastwood"" and ""Rock the House"".",,
Gorillaz,"On Your Own
by Blur","Track 5 from Blur's self-titled album, said to be the first Gorillaz sound by Damon Albarn",4:26,"Feb 10, 1997",Album Track,Yes,Stream
Gorillaz,"On Your Own (Live Acoustic Version)
by Blur","Live version of On Your Own included on the On Your single single using acoustic instruments, later also released on the 2012 remaster of Blur's self titled album",4:46,"Jun 17, 1997",Bonus Track,Yes,Stream
Gorillaz,"I Got Law (Demo)
by Blur
Tomorrow Comes Today Demo","Very rough demo released on the special edition of Blur's album ""13."" Would later evolve into the first Gorillaz single, Tomorrow Comes Today.",2:42,"Mar 15, 1999",Bonus Track,Yes,Stream
Gorillaz,Latin Simone (Original Version),"The Original version of Latin Simone, first released on the Tomorrow Comes Today EP, later as a bonus track for the US and brazilian versions of G-Sides. This version was intended to be in the album but Damon prefered the spanish version",3:38,"Nov 27, 2000",EP Track,No,Download
Gorillaz,"Clint Eastwood (Ed Case/Sweetie Irie Refix)
feat. Del The Funky Homosapien","Bonus track from Gorillaz vinyl releases. Ed Case's version of ""Clint Eastwood"", first released on the Clint Eastwood (Ed Case Refix) promo vinyl, later on the Clint Eastwood single vinyl",4:29,Dec 2000,Single,No,Link Needed
Gorillaz,Dracula,"Bonus track from the US and France editions of Gorillaz, also a G-Sides bonus track on the international version as track 2 and track 10 on the Brazilian version, first released on the Clint Eastwood single.",4:41,"Mar 5, 2001",Bonus Track,Yes,Stream
Gorillaz,"⭐️Dub Dumb
feat. Sweetie Irie",Exclusive song from the PlayStation 2 game 'MTV Music Generator 2'.,4:11,"May 25, 2001",Production,No,Download
Gorillaz,"Re-Hash
feat. Miho Hatori","Track 1 from Gorillaz, featuring Miho Hatori from the band Cibo Matto. The song was written by 2D and Murdoc by throwing letter magnets at their fridge and Damon Albarn coached 2D so he can sing with more confidence",3:40,"Mar 26, 2001",Album Track,Yes,Stream
Gorillaz,5/4,"Track 2 from Gorillaz, includes aditional vocals by Miho Hatori posing as Noodle. Pitched to be a single twice but replaced both times by 19-2000 and Rock The House. Mike The Monkey is credited on the song, doing turntables alongside Kid Koala",2:42,"Mar 26, 2001",Album Track,Yes,Stream
