Era,Name,"Notes
(Gorillaz Leaks Discord)","File
Date","Full
Length",DATE,Type,Available Length,Quality,Link(s)
,"Gorillaz
(prod. Gorillaz & Dan the Automator)
(Gorilla)","(1998) (Gorillaz is formed by Damon Albarn & Jamie Hewlett)
(December 12, 2001) (Gorillaz & G-Sides is officially released in the UK",,,"The first album by Gorillaz following the Tomorrow Comes Today EP. The album was made in collaboration with Deltron 3030 members Dan the Automator (also of Handsome Boy Modelling School, Lovage, etc.) and Kid Koala, with Del the Funky Homosapien featuring on ""Clint Eastwood"" and ""Rock the House"".",,,,
Gorillaz,"Redman - Let's Get Dirty
(Gorillaz Remix Instrumental)",,,3:57,,Instrumental,,,
Gorillaz,Gorillaz [Instrumental Album],"Instrumentals for ""Double Bass"", ""Rock the House"" and ""Starshine"" are not included, however, ""Exhumation"" (""Left Hand Suzuki Method"") and ""Faust"" are.",,1:00:46,,Instrumental,Partial,Lossless,https://drive.google.com/drive/folders/1cwShoCEu9X6d2mI90kLEQcpJRuABxhS4?usp=sharing
Gorillaz,12D3                                                                                  [Stems],"From the 2001 Gorillaz Website. ""Space Echo 2"" and ""Turning Forks"" are the same audio as ""I'm 2D"".",,2:32,,Multi-Track Stems,Full,Low Quality,"Guitar,Vocals + Backing Mmms, I'm 2D, Mmm, Piano, Space Echo 1, Space Echo 2, Spacy Forks, T8, Turning Forks, Backing Vocals"
Gorillaz,"Dub Dumb
(feat. Sweetie Irie)
(Stems)",From the Playstation 2 game 'MTV Music Generator 2'.,,,,Multi-Track Stems,Full,Lossless,"Part1, Part2, Part3"
Gorillaz,"Latin Simone (¿Qué Pasa Contigo?) [V5]
(Vox)
(Latin Simone (New Vocal Version))",Playback for the Demon Days Live at the Manchester Opera House show.,,,,Acapella,Full,CD Qualitydfsf,
Gorillaz,"19-2000
(feat. Mino Hatori)
(Stems)",,,,,Multi-Track Stems,Partial,Low Quality,Download
Gorillaz,"Hip Albatross
(Stems)",Stems found on 2D's PC on the old Kong Studios website. Other SFX are found on the 'Zombie Files',,,,Multi-Track Stems,Partial,Low Quality,Download
Gorillaz,"Tomorrow Comes Today
(Stems)",Stems found on the band members' PC on the old Kong Studios website,,,,Multi-Track Stems,Partial,Low Quality,Download
Gorillaz,"Rock The House
(Stems)","Stems found on the band members' PC on the old Kong Studios website. Sadly these are only the instrumental, no vocals stems are included",,,,Multi-Track Stems,Partial,Low Quality,Download
Gorillaz,"Double Bass
(Stems)",Stems found on the band members' PC on the old Kong Studios website,,,,Multi-Track Stems,Partial,Low Quality,Download
Gorillaz,"Hand Clapper 
(Stems)","Stems found on the band members' PC on the old Kong Studios website. These are the stems of the Hand Clapper demo (later released as part of the Demoz EP in 2021), and not the Man Research (Clapper) stems",,,,Multi-Track Stems,Partial,Low Quality,Download
