Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
The Last Wun,"trim up my name
(feat. Casper Bluff) (prod. Tay Keith)
(Nothing to Say, Call it a Day)","OG Filename: TRIM UP MY NAME x CASPER - Prod Tay Keith
First previewed by Booka in 2024. Previewed several times on June 14, 2026. Previewed live on July 3, 2026. High-quality snippet surfaced on July 27, 2026.",2:03,,"Jul 27, 2026",Snippet,High Quality,"https://pillows.su/f/0b8593a5dc1857e7f46707c5483dc6d6
https://mega.nz/file/5cpxAB5A#SA1JqCn2wb-NUsn5Xal-y24DOLp-cs71UEU9Gf5XzVY
https://mega.nz/file/xMBwWI7Q#Y4PNrlmK8zb-hRYfQWiFT5hCXpvxYwvMhxdJI1f5g2s
https://mega.nz/file/FEp0GIYI#u9O-5iTmG_hYhmtQHUTX-e6NHUR5TlG55LA0sA_DYr0
https://mega.nz/file/lVRhULAQ#GqfZUk8pTxN9w2SzRWektf7tWtGgY-qdaCyCIqHXkOk
https://mega.nz/file/5UABAZaL#YT-0tHu53cSJH5QF6q6PXlCUyHdgepshV2gbYG-33x0"
Ongoing,"Nah Mean
(prod. Turbo)","First previewed on May 31, 2026. Previewed again on July 14, 2026. High-quality snippet surfaced on July 27, 2026.",,,"Jul 27, 2026",Snippet,High Quality,https://pillows.su/f/eb1d3600a96bf792421c7931ded370dd
Ongoing,"🏆Passion
(prod. Turbo & DOC MAESTRO)
(10 Summers)","OG Filename: PASSION - Prod TURBO x DOC_3
Snippet surfaced on July 27, 2026.",3:09,,"Jul 27, 2026",Snippet,High Quality,https://pillows.su/f/828c1523d63646cc3161706465a756e9
Ongoing,"Sleep When I Fly
(feat. Hunxho)","Snippet surfaced on July 27, 2026.",3:15,"May 10, 2026","Jul 27, 2026",Snippet,High Quality,https://pillows.su/f/c079f05e7bf2cd093a8b22a38bf75d81
WUNNA,"FAR [V5]
(feat. Young Thug) (prod. Turbo)","OG Filename: 16. Gunna ft Young Thug - Far - Prod Turbo - Mix 1.wav.m4a
Slightly quieter mix of track 18 on WUNNA, ""FAR"" featuring Young Thug. Converted from WAV to M4A by iMessage on November 28, 2019.",2:59,"Nov 28, 2019","Jul 26, 2026",OG File,Low Quality,https://pillows.su/f/47813df6ee796756dee6b27752609107
WUNNA,"⭐ M.I.A [V3]
(prod. Turbo)
(MIA, SOLDIER)","OG Filename: M.I.A - Prod. Turbo 3
Alternate mix of ""M.I.A."" with an additional producer tag.",3:12,"Jan 15, 2020","Jul 26, 2026",OG File,Lossless,https://pillows.su/f/184ef00cdb5ee7753ba849c9c505a475
a Gift & a Curse,"idk nomore [V4]
(prod. Turbo, Omar Grand, Cam Griffin, & Nils)
(can't put my finger on it, idk no more)","OG Filename: CANT PUT MY FINGER ON IT Prod Turbo_4
Rough mix of ""idk nomore"". Has some different vocal takes and a longer outro. Has several different lyrics, including one in the chorus. The intro is slightly cut. The outro is missing additional instrumentation, has drums, and has a rougher vocal mix.",2:59,,"Jul 26, 2026",OG File,Lossless,https://pillows.su/f/9cf5c3822648e7a5603e692e82a9e620
The Last Wun,"wgft [V2]
(feat. Burna Boy) (prod. Turbo & Shottie)","OG Filename: WGFT - Gunna Ft Burna Boy
Version of ""wgft"" with an alternate Burna Boy verse.",3:04,"Dec 11, 2024","Jul 26, 2026",OG File,High Quality,https://pillows.su/f/ff2508cac2df35c52889b4a5c7cbcdf3
Ongoing,"Hunxho - ???
(feat. Gunna)
(Birthday)","Snippet surfaced on July 26, 2026.",,,"Jul 26, 2026",Snippet,High Quality,https://pillows.su/f/54b8960eeb9bb03c09963cb9b3d582c2
Ongoing,"Rich the Kid - ???
(feat. Gunna)
(Look at My Bitch)","Previewed by Rich the Kid on July 27, 2026. High-quality snippet surfaced on July 25, 2026.",,,"Jul 25, 2026",Snippet,High Quality,https://pillows.su/f/322a484cd1b9ccace1856dfd797ee959
