Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"17 Mixtape Tracks
1 Single
1 Feature
0 Production
0 Other","Family 1st
(Collaboration with SPC)","(2008) (Yunggunn starts making music at the age of 15)
(11/01/2012) (SPC - Yung Gunna, Nechie, & Boss Man D.E.Z. - releases Family 1st)
(7/16/2013) (Yung Gunna releases Hard Body)",,,Other,,
Family 1st,"Been Gettin' Money
(feat. Self Paid) (prod. Eli of TKB)","Initially leaked by Gunna to the defunct file-sharing site LimeLinx on October 2, 2011. Later released by Self Paid on their debut mixtape All on Us. The released version has DJ tags. A video shoot was conducted on June 17, 2012, but never released.",4:34,"Dec 31, 2011",Single,No,
Family 1st,"Youngest N Charge - Word Around the City
(feat. Q Don, Juice, SPC Sarray, & Yung Gunn)","Feature from late 2011. Released as a single to Youngest N Charge's mixtape ""Sleeping on Us"" on January 16, 2012.",3:58,"Jan 16, 2012",Feature,No,https://www.youtube.com/watch?v=pYFoUvvlD38&list=RDpYFoUvvlD38&start_radio=1&pp=ygUad29yZCBhcm91bmQgdGhlIGNpdHkgZ3VubmGgBwHSBwkJsgkBhyohjO8%3D
Family 1st,"SPC - La Familia
(with Nechie, Gunna, & Boss Man D.E.Z.) (prod. TwanBeatMaker)",Track 1 on Family 1st.,4:40,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/7c403bce42b2888348a20823a14fba32
Family 1st,"SPC - The Real Plug
(with Nechie, Gunna, & Boss Man D.E.Z.)",Track 2 on Family 1st.,4:18,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/22cd221ed00597fe037951cee192523c
Family 1st,"SPC - Cash
(with Nechie, Gunna, & Boss Man D.E.Z.)",Track 3 on Family 1st.,4:13,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/2c0fb1071e8aeb84239716ca413902a1
Family 1st,"SPC - Bad Bitches
(with Nechie & Gunna) (prod. Miguel Beats)",Track 4 on Family 1st.,3:04,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/5ac124da779e5f33deea3abe1ac0b66d
Family 1st,"SPC - Everythang Blue
(with Nechie & Boss Man D.E.Z.) (feat. Shortstop) (prod. Slim C)",Track 5 on Family 1st. Does not feature Gunna.,4:58,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/c0b4e548c9a228e13fd845c1f73ce097
Family 1st,"SPC - Lavish Life
(with Nechie, Gunna, & Boss Man D.E.Z.)","Track 6 on Family 1st. Interpolates ""This is the Life"".",4:19,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/1e048693ea611197ba757c3d800f239b
Family 1st,"SPC - Throw it Up
(with Gunna, Boss Man D.E.Z., & Nechie)",Track 7 on Family 1st.,5:17,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/93908c2c9e5e46af841a47c65795c219
Family 1st,"SPC - Broke I Never Been
(with Nechie & Boss Man D.E.Z.)",Track 8 on Family 1st. Does not feature Gunna.,2:48,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/066060f4f5e79115017bba450ca0c1df
Family 1st,"SPC - Forgive Me Lord
(with Gunna, Boss Man D.E.Z., & Nechie)",Track 9 on Family 1st.,3:53,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/f2a1902f36efed50f6c30ad51583a4cd
Family 1st,"SPC - All I Know
(with Gunna)",Track 10 on Family 1st. The only solo Gunna song.,2:25,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/794f65ad17a7064309951e90b4bbeba0
Family 1st,"SPC - Hold Up
(with Boss Man D.E.Z., Nechie, & Gunna) (feat. Migo) (prod. TwanBeatMaker)",Track 11 on Family 1st.,3:36,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/0de60405c0c06e14842b9bf2007e217f
Family 1st,"SPC - Spending Racs
(with Boss Man D.E.Z.)",Track 12 on Family 1st. Does not feature Gunna.,3:26,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/977aa60425ba86af5c5190b10b681654
Family 1st,"SPC - Remain Us
(with Gunna, Boss Man D.E.Z., & Nechie)",Track 13 on Family 1st. Leaked by Gunna in 2011.,4:18,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/03832ee8c8123ccf725f71d731f947fd
Family 1st,"SPC - Mob Shit
(with Gunna) (feat. Migo & Swisher T)",Track 14 on Family 1st.,4:15,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/7f88072700978194a9bed91f81817ef2
Family 1st,"SPC - The Show
(with Boss Man D.E.Z., Gunna, & Nechie) (feat. Migo) (prod. Slim C)",Track 15 on Family 1st.,4:33,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/a93479f4658ae572960b079564df297e
Family 1st,"SPC - Gunplay
(with Nechie & Boss Man D.E.Z.) (feat. Waka Flocka Flame)",Track 16 on Family 1st. Does not feature Gunna. Released as a single in 2011.,5:28,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/7a986c1d7312f7a9bf71a3b53ee9b337
Family 1st,"SPC - No Vaseline
(with Nechie)",Track 17 on Family 1st. Does not feature Gunna.,2:42,"Nov 1, 2012",Mixtape Track,No,https://pillows.su/f/aab68baffe4050a2acc21e118876caa8
"14 Mixtape Tracks
1 Single
0 Feature
0 Production
0 Other",Hard Body,"(2012) (Yung Gunna begins working on Hard Body)
(7/16/2013) (Yung Gunna releases Hard Body)",,,Other,,
Hard Body,Hardbody,Track 1 on Hard Body.,2:47,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/7a80c202c56adbd389e6f6fab8f51c11
Hard Body,We Live This,Track 2 on Hard Body.,3:22,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/49136e86f44407dd7dbd51d767e2fbf3
Hard Body,Rarri,Track 3 on Hard Body.,2:24,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/797a3d809d8007b293eb065b31cb27b1
Hard Body,Faded,Track 4 on Hard Body.,3:22,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/81edbc9b86ed97ab9d36ea76a7a82497
Hard Body,"Caught Up
(feat. C-Mo Stacks)",Track 5 on Hard Body.,4:00,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/1b1899a901829b5f0c84152fcd78b322
Hard Body,Can't Feel My Raps,Track 6 on Hard Body.,3:23,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/820c7915904d6e7515bc24a0e6359f72
Hard Body,"Rich Nigga
(feat. Boss Man D.E.Z.)",Track 7 on Hard Body.,2:06,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/a21daa271770adf9fdfde3a332cfa783
Hard Body,Harder I Go,Track 8 on Hard Body.,3:09,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/3eeb5aa019f5ee9d86e91896253e3d22
Hard Body,Never Gon Change,Track 9 on Hard Body.,3:37,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/7d08bd79e2ff3c6b51373123a0acc476
Hard Body,I'm Not a Criminal,Track 10 on Hard Body.,2:56,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/acf738e668795e7b3a1836af6e5e699a
Hard Body,"Wats Goin On
(feat. Nechie)",Track 11 on Hard Body.,3:37,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/b88a674dac925f862ba8ee6383bbf5ba
Hard Body,No More,Track 12 on Hard Body.,2:43,"Jul 16, 2013",Mixtape Track,No,https://pillows.su/f/a8e8ed6218c9fd39f3509ed173f12c73
