Era,Name,Notes,Copy Length,Date,Available Length,Quality,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Cru' In Action!,"(06/15/1969) (Ice Cube is born)
(??/??/1986) (Ice Cube forms C.I.A with Sir Jinx and K-Dee)
(??/??/1987) (C.I.A disbands and Ice Cube joins N.W.A)",,,"Ice Cube's first ever known songs that he contributed to was in a group called Cru' In Action, with only one single made with three tracks. The group would later disband in 1987 and Ice Cube would join N.W.A.",,
Cru' In Action!,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",N.W.A and the Posse,"(??/??/1987) (C.I.A disbands and Ice Cube joins N.W.A)
(11/06/1987) (N.W.A and the Posse releases)",,,"N.W.A and the Posse is a compilation album that features various songs from the group like Boyz-n-the-Hood. It would serve as N.W.A's, albeit unauthorized, debut album.",,
N.W.A and the Posse,N.W.A & The Posse,Unauthorized official release.,46:26,"Nov 6, 1987",Full,High Quality,
N.W.A and the Posse,N.W.A & The Posse (1989 Re-issue),"1989 re-issue of the album, replaces ""Scream"" with ""A Bitch Iz A Bitch"".",46:18,"Nov 13, 1989",Full,High Quality,https://open.spotify.com/album/5fPat8IjkbKuwk27MTQIWy?si=o3Lrc-oBQlmuetj0STHDqA
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Straight Outta Compton
(Collaboration with Eazy-E, Dr. Dre, DJ Yella and MC Ren as N.W.A)","(11/06/1987) (N.W.A and the Posse releases)
(01/19/1989) (Straight Outta Compton officially releases)
(12/??/1989) (Ice Cube leaves N.W.A and begins his solo career)",,,"Straight Outta Compton is N.W.A's authorized debut album, featuring the entire main group. It featured politically and socially charged tracks and would get, despite no radio play outside LA due to its lyrics, platinum certification and one million copies sold. Straight Outta Compton is now considered to be a major shift for rap, triggering the movement to hardcore, gangsta rap.",,
Straight Outta Compton,Straight Outta Compton,Official release.,,"Jan 19, 1989",Full,High Quality,https://open.spotify.com/album/0Y7qkJVZ06tS2GUCDptzyW?si=lMjSdhLuQlW9v1cN7cAsaw
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",AmeriKKKa's Most Wanted,"(12/??/1989) (Ice Cube leaves N.W.A and begins his solo career)
(05/18/1990) (AmeriKKKa's Most Wanted officially releases)",,,"AmeriKKKa's Most Wanted is the debut solo studio album by Ice Cube, featuring lyrics talking about ghetto life, racism, poverty, etc. It was produced by the Bomb Squad, known for producing for Public Enemy.",,
AmeriKKKa's Most Wanted,AmeriKKKa's Most Wanted,Official release.,49:18,"May 18, 1990",Full,High Quality,https://open.spotify.com/album/3AI5kAUjgNtZBwFRi6opDc?si=3tMRcOlwTCSvTfaNzaFO-g
AmeriKKKa's Most Wanted,AmeriKKKa's Most Wanted (Clean),"Omits the interludes and replaces them with clean versions of tracks from the ""Kill At Will"" EP. Apparently released two days before the actual album according to streaming.",58:45,"May 16, 1990",Full,High Quality,https://open.spotify.com/album/09TlsckA5lUqWWuIOSnGbw?si=7e26OG2nQVexELYGtKbm4A
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Kill At Will,"(05/18/1990) (AmeriKKKa's Most Wanted officially releases)
(12/19/1990) (Kill At Will officially releases)",,,"""Kill At Will"" is an EP by Ice Cube, released soon after the success of ""AmeriKKKa's Most Wanted"" and Ice Cube's new solo success, contaning 7 tracks.",,
Kill At Will,Kill At Will,Official release.,21:56,"Dec 19, 1990",Full,High Quality,https://open.spotify.com/album/7oeFV70h2fDapspboicRP5?si=2B9Mw5BUSCi5rFAc2SFdVw
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Death Certificate,"(12/19/1990) (Kill At Will officially releases)
(10/21/1991) (Death Certificate officially releases)",,,"""Death Certificate"" is the second studio album by Ice Cube. It features lyrics that go further on racial, political and social commentary, making it a source of public acclaim and controversy on its release.",,
Death Certificate,Death Certificate,Official release.,01:01:00,"Oct 21, 1991",Full,High Quality,https://open.spotify.com/album/062N80S3hs96dOhFzmvfLj?si=4cPd3czHRc21Sp3WIUBSPA
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",The Predator,"(10/21/1991) (Death Certificate officially releases)
(11/17/1992) (The Predator officially releases)",,,"""The Predator"" is the third studio album by Ice Cube. The album addresses racial tensions between law enforcement and the Black community, alongside accussations of anti-semitism from his previous album.",,
The Predator,The Predator,Official release.,56:28,"Nov 17, 1992",Full,High Quality,https://open.spotify.com/album/71HM1CMYWeZzws8pyiEn46?si=dT-YPFV_SpajuWqZhLq55g
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Lethal Injection,"(11/17/1992) (The Predator officially releases)
(12/7/1993) (Lethal Injection officially releases)",,,"""Lethal Injection"" is the fourth studio album by Ice Cube.",,
Lethal Injection,Lethal Injection,Official release.,,"Dec 7, 1993",Full,High Quality,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Bow Down
(Collaboration with Mack 10 and WC as Westside Connection)","(12/7/1993) (Lethal Injection officially releases)
(10/22/1996) (Bow Down officially releases)",,,"""Bow Down"" is the debut studio collab album under Westside Connection.",,
Bow Down,Bow Down,Official release.,,"Oct 22, 1996",,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","War & Peace, Vol. 1 (The War Disc)","(10/22/1996) (Bow Down officially releases)
(11/17/1998) (War & Peace, Vol. 1 officially releases)",,,"""War & Peace, Vol. 1 (The War Disc)"" is the fifth studio album by Ice Cube.",,
"War & Peace, Vol. 1","War & Peace, Vol. 1",Official release.,,"Nov 17, 1998",,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","War & Peace, Vol. 2 (The Peace Disc)","(11/17/1998) (War & Peace, Vol. 1 officially releases)
(03/20/2000) (War & Peace, Vol. 2 officially releases)",,,"""War & Peace, Vol. 2 (The Peace Disc)"" is the sixth studio album by Ice Cube.",,
"War & Peace, Vol. 2","War & Peace, Vol. 2",Official release.,59:58,"Mar 20, 2000",Full,High Quality,https://open.spotify.com/album/5rZuC67lXA5SI6f4n61gEw?si=N7whiR8LRVy8K957zKKXzA
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Terrorist Threats
(Collaboration with Mack 10 and WC as Westside Connection)","(03/20/2000) (War & Peace, Vol. 2 officially releases)
(12/09/2003) (Terrorist Threats officially releases)",,,"""Terrorist Threats"" is the second studio collab album under Westside Connection.",,
Terrorist Threats,Terrorist Threats,Official release.,,"Dec 9, 2003",,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Laugh Now, Cry Later","(12/09/2003) (Terrorist Threats officially releases)
(06/06/2006) (Laugh Now, Cry Later officially releases)",,,"""Laugh Now, Cry Later"" is the seventh studio album by Ice Cube.",,
"Laugh Now, Cry Later","Laugh Now, Cry Later",Official release.,,"Jun 6, 2006",,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Raw Footage,"(06/06/2006) (Laugh Now, Cry Later officially releases)
(08/19/2008) (Raw Footage officially releases)",,,"""Raw Footage"" is the eighth studio album by Ice Cube.",,
Raw Footage,Raw Footage,Official release.,,"Aug 19, 2008",,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",I Am The West,"(08/19/2008) (Raw Footage officially releases)
(09/28/2010) (I Am The West officially releases)",,,"""I Am The West"" is the ninth studio album by Ice Cube.",,
I Am The West,I Am The West,Official release.,,"Sep 28, 2010",,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Everythangs Corrupt,"(09/28/2010) (I Am The West officially releases)
(12/07/2018) (Everythangs Corrupt officially releases)",,,"""Everythangs Corrupt"" is the tenth studio album by Ice Cube.",,
Everythangs Corrupt,Everythangs Corrupt,Official release.,,"Dec 7, 2018",,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","SNOOP CUBE 40 $HORT
(Collaboration with Snoop Dogg, E-40 and Too Short as Mount Westmore)
(Bad MF's)","(12/07/2018) (Everythangs Corrupt officially releases)
(12/09/2022) (SNOOP CUBE 40 $HORT officially releases)",,,"""SNOOP CUBE 40 $HORT"" is the debut studio collab album under Mount Westmore.",,
SNOOP CUBE 40 $HORT,Bad MFs,Album released on an NFT place where each song costed about $350. come the fuck on bro.,,,,,
SNOOP CUBE 40 $HORT,SNOOP CUBE 40 $HORT,Official release on streaming services. Some songs are kept from Bad MFs,,"Dec 9, 2022",,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Man Down,"(12/09/2022) (SNOOP CUBE 40 $HORT officially releases)
(11/22/2024) (Man Down officially releases)",,,"""Man Down"" is the 11th studio album by Ice Cube.",,
Man Down,Man Down,Official release.,,"Nov 22, 2024",,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Man Up,"(11/22/2024) (Man Down officially releases)
(09/12/2025) (Man Up officially releases)",,,"""Man Up"" is the 12th studio album by Ice Cube.",,
Man Up,Man Up,Official release.,41:33,"Sep 12, 2025",Full,CD Quality,https://open.spotify.com/album/1lrNGJv5aIKpx4bznJyHCF?si=JCVeFjdeS9SF4ahSbw1uNA
