Era,Name,Notes,Art,Cover,Used?,Link(s)
Cru' In Action!,Cru' in Action,"Front cover for ""Cru' In Action"".",,Front Cover,Used,
N.W.A and the Posse,N.W.A. and the Posse,"The front cover for ""N.W.A. and the Posse"".",,,,
Straight Outta Compton,Straight Outta Compton,"The front cover for ""Straight Outta Compton"", photographed by Eric Poppleton.

She commentated her experience on an NME article: ""The shoot itself was a combination of Kevin and my ideas, the two of us just making stuff up on the fly. We were in downtown Los Angeles, we didn’t have money for locations and most of our shots were just really simple set ups. There was no artificial lighting or anything, I just lay on the ground and they pointed what hopefully was an unloaded gun down at the camera. I couldn’t say for sure whether it was ready to fire, but it was definitely a real gun. There wasn’t anything fake back then.""",,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music115/v4/e3/82/52/e38252e8-148d-551e-2216-4b51e847f1bd/00602547276506.rgb.jpg
AmeriKKKa's Most Wanted,AmeriKKKa's Most Wanted,"The front cover to ""AmeriKKKa's Most Wanted"".",,Front Cover,Used,
AmeriKKKa's Most Wanted,AmeriKKKa's Most Wanted (Clean),"The cover for the clean version of ""AmeriKKKa's Most Wanted"".",,Front Cover,Used,
AmeriKKKa's Most Wanted,AmeriKKKa's Most Wanted,"Back cover for ""AmeriKKKa's Most Wanted"".",,Back Cover,Used,
AmeriKKKa's Most Wanted,AmeriKKKa's Most Wanted (Single),"The front cover for the single ""AmeriKKKa's Most Wanted."" Not to be confused with the album it was named after.",,Front Cover,Used,https://i.discogs.com/Hhu6JAvLDyYwCI-l8iu3aVEliXY9PsAcRJp6XhHglnA/rs:fit/g:sm/q:90/h:593/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2NDcy/LTE2NDcxMTM2NTIt/MTc5My5qcGVn.jpeg
AmeriKKKa's Most Wanted,AmeriKKKa's Most Wanted (Single),"The back cover for the single ""AmeriKKKa's Most Wanted."" Not to be confused with the album it was named after.",,Back Cover,Used,https://i.discogs.com/uXr2XmnXsnbeFiDv3GiAW5VLgtRYadQSqMEsa0iPC_4/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2NDcy/LTE2NDcxMTM2NTIt/ODUwNi5qcGVn.jpeg
Kill At Will,Kill At Will,"The front cover for the ""Kill At Will"" EP.",,Front Cover,Used,
Kill At Will,Kill At Will,"The back cover for the ""Kill At Will"" EP.",,Back Cover,Used,
Death Certificate,Death Certificate,"The front cover for ""Death Certificate""",,Front Cover,Used,
Death Certificate,Death Certificate,"The tracklist cover for ""Death Certificate""",,Alt. Cover,Used,
Death Certificate,Death Certificate,???,,Unknown,Used,
Death Certificate,Death Certificate,"The credits for ""Death Certificate""",,Alt. Cover,Used,
Death Certificate,Death Certificate (25th Anniversary),"The front cover for the 25th anniversary issue for ""Death Certificate""",,Front Cover,Used,
Death Certificate,Death Certificate (25th Anniversary),"The back cover for the 25th anniversary issue for ""Death Certificate""",,Back Cover,Used,
Death Certificate,Death Certificate (Complete Edition),"The front cover for the Complete Edition issue for ""Death Certificate""",,Front Cover,Used,
The Predator,The Predator,,,,,
The Predator,The Predator (Clean),,,,,
Lethal Injection,Lethal Injection,,,,,
Lethal Injection,Lethal Injection (Clean),,,,,
Bow Down,Bow Down,,,,,
Bow Down,Bootlegs & B-Sides,,,,,
"War & Peace, Vol. 1","War & Peace, Vol. 1 (The War Disc)",,,,,
"War & Peace, Vol. 1","War & Peace, Vol. 1 (The War Disc)","Spotify and TIDAL have this version of the cover, I have no idea why.",,,,
"War & Peace, Vol. 2","War & Peace, Vol. 2 (The Peace Disc)",,,,,
"War & Peace, Vol. 2","War & Peace, Vol. 2 (The Peace Disc) (Clean)",,,,,
Terrorist Threats,Terrorist Threats,,,,,
Terrorist Threats,Greatest Hits,,,,,
Terrorist Threats,Greatest Hits (Clean),,,,,
"Laugh Now, Cry Later","Laugh Now, Cry Later",,,,,
"Laugh Now, Cry Later","Laugh Now, Cry Later (Clean)",,,,,
Raw Footage,Raw Footage,,,,,
Raw Footage,Raw Footage (Clean),,,,,
Raw Footage,It Takes A Nation Of Millions (Instrumental),,,,,
I Am The West,I Am The West,,,,,
I Am The West,I Am The West (Clean),,,,,
I Am The West,Drink The Kool-Aid,,,,,
I Am The West,I Rep That West,,,,,
I Am The West,She Couldn't Make It On Her Own,,,,,
I Am The West,The Eseentials,,,,,
I Am The West,At Tha Movies,,,,,
