Era,Name,Notes,Length,File Date,Leak Date,Available Length,Quality,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Cru' In Action!
(Collaboration with Sir Jinx and K-Dee as C.I.A)
(Stereo Crew)","(06/15/1969) (Ice Cube is born)
(??/??/1986) (Ice Cube forms C.I.A with Sir Jinx and K-Dee)
(??/??/1987) (C.I.A disbands and Ice Cube joins N.W.A)",,,"Ice Cube's first ever known songs that he contributed to was in a group called Cru' In Action, with only one single made with three tracks. The group would later disband in 1987 and Ice Cube would join N.W.A.",,,
My Posse,,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",N.W.A and the Posse,"(??/??/1987) (C.I.A disbands and Ice Cube joins N.W.A)
(11/06/1987) (N.W.A and the Posse releases)",,,"N.W.A and the Posse is a compilation album that features various songs from the group like Boyz-n-the-Hood. It would serve as N.W.A's, albeit unauthorized, debut album.",,,
N.W.A and the Posse,,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Straight Outta Compton
(Collaboration with Eazy-E, Dr. Dre, DJ Yella and MC Ren as N.W.A)","(11/06/1987) (N.W.A and the Posse releases)
(01/19/1989) (Straight Outta Compton officially releases)
(12/??/1989) (Ice Cube leaves N.W.A and begins his solo career)",,,"Straight Outta Compton is N.W.A's authorized debut album, featuring the entire main group. It featured politically and socially charged tracks and would get, despite no radio play outside LA due to its lyrics, platinum certification and one million copies sold. Straight Outta Compton is now considered to be a major shift for rap, triggering the movement to hardcore, gangsta rap.",,,
,Music Videos,,,,,,,
Straight Outta Compton,Straight Outta Compton [Music Video],"Music video for ""Straight Outta Compton"".",,,,Full,High Quality,https://www.youtube.com/watch?v=TMZi25Pq3T8
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",AmeriKKKa's Most Wanted,"(12/??/1989) (Ice Cube leaves N.W.A and begins his solo career)
(05/18/1990) (AmeriKKKa's Most Wanted officially releases)",,,"AmeriKKKa's Most Wanted is the debut solo studio album by Ice Cube, featuring lyrics talking about ghetto life, racism, poverty, etc. It was produced by the Bomb Squad, known for producing for Public Enemy.",,,
,Music Videos,,,,,,,
AmeriKKKa's Most Wanted,Dead Homiez [Music Video],"Music video for ""Dead Homiez"".",3:41,,,Full,High Quality,https://www.youtube.com/watch?v=EykpGoXyKVg
AmeriKKKa's Most Wanted,Who's The Mack? [Music Video],"Music video for ""Who's The Mack?"".",4:32,,,Full,High Quality,https://www.youtube.com/watch?v=ko0llmBIELI
,Never Recorded,,,,,,,
AmeriKKKa's Most Wanted,Eazy-E - A Gangsta's Fairytale,"In an Instagram Live stream, Ice Cube wrote the song for Eazy-E, but he decided to take it since they weren't on good terms.",,,,Never Recorded,Not Available,
AmeriKKKa's Most Wanted,Eazy-E - Once Upon A Time In The Projects,"In a Sir Jinx interview, he stated that the lyrics were written for Eazy-E, but obviously that didn't happen.",,,,Never Recorded,Not Available,https://medium.com/cuepoint/ice-cube-check-the-technique-202d2a794008
AmeriKKKa's Most Wanted,??? [Dr. Dre Collaborations],"During the making of ""AmeriKKKa's Most Wanted"", Ice Cube wanted Dr. Dre to produce his album and even Dr. Dre wanted to produce for Ice Cube, but due to Ruthless Records vetoing it, it never happened.

""So when I went solo, I was like I wanted Dr. Dre to do ""AmeriKKKa’s Most Wanted"", but Jerry Heller vetoed that. So since he vetoed that shit—and I’m pretty sure Eazy didn’t want Dre to do it. But Dre did want to do it; we gotta put that on record.""",,,,Never Recorded,Not Available,"https://youtu.be/B2G-i_QIV34?list=PLZD3nYemXNBVV_-gjBvQV_Ba-atu_NVWY&t=56
https://web.archive.org/web/20100722000950/http://www.xxlmag.com/online/?p=79574"
AmeriKKKa's Most Wanted,??? [Sam Seven Collaborations],"Ice Cube wanted Sam Seven to produce his album next and was told to go to Def Jam to meet with Sam Seven, but he didn't show up.",,,,Never Recorded,Not Available,https://youtu.be/B2G-i_QIV34?list=PLZD3nYemXNBVV_-gjBvQV_Ba-atu_NVWY&t=107
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Kill At Will,"(05/18/1990) (AmeriKKKa's Most Wanted officially releases)
(12/19/1990) (Kill At Will officially releases)",,,"""Kill At Will"" is an EP by Ice Cube, released soon after the success of ""AmeriKKKa's Most Wanted"" and Ice Cube's new solo success, contaning 7 tracks.",,,
,Music Videos,,,,,,,
Kill At Will,Jackin' for Beats [Music Video],"Music video for ""Jackin' for Beats"".",3:22,,,Full,High Quality,https://www.youtube.com/watch?v=oTfkAicXmEo
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Death Certificate,"(12/19/1990) (Kill At Will officially releases)
(10/21/1991) (Death Certificate officially releases)",,,"""Death Certificate"" is the second studio album by Ice Cube. It features lyrics that go further on racial, political and social commentary, making it a source of public acclaim and controversy on its release.",,,
,Music Videos,,,,,,,
Death Certificate,Steady Mobbin' [Music Video],"Music video for ""Steady Mobbin'"".",2:18,,,Full,High Quality,https://www.youtube.com/watch?v=tMxXtOU09tM
Death Certificate,True To The Game [Music Video],"Music video for ""True To The Game"".",4:06,,,Full,High Quality,https://www.youtube.com/watch?v=r_zSt-qQfn4
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",The Predator,"(10/21/1991) (Death Certificate officially releases)
(11/17/1992) (The Predator officially releases)",,,"""The Predator"" is the third studio album by Ice Cube. The album addresses racial tensions between law enforcement and the Black community, alongside accussations of anti-semitism from his previous album.",,,
,Music Videos,,,,,,,
The Predator,Wicked [Music Video],"Music video for ""Wicked"".",3:57,,,Full,High Quality,https://www.youtube.com/watch?v=SsWsmH2d_Qg
The Predator,It Was a Good Day [Music Video],"Music video for ""It Was a Good Day"".",5:07,,,Full,High Quality,https://www.youtube.com/watch?v=h4UqMyldS7Q
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Lethal Injection,"(11/17/1992) (The Predator officially releases)
(12/7/1993) (Lethal Injection officially releases)",,,"""Lethal Injection"" is the fourth studio album by Ice Cube.",,,
,Music Videos,,,,,,,
Lethal Injection,You Know How We Do It [Music Video],"Music video for ""You Know How We Do It"".",3:48,,,Full,High Quality,https://www.youtube.com/watch?v=rzRqEWJYwX4&pp=0gcJCYUJAYcqIYzv
Lethal Injection,What Can I Do? [Music Video],"Music video for ""What Can I Do?"".",4:26,,,Full,High Quality,https://www.youtube.com/watch?v=swNoBBekMTc
Lethal Injection,Lil' Ass Gee [Music Video],"Music video for ""Lil' Ass Gee"".",4:36,,,Full,High Quality,https://www.youtube.com/watch?v=t5sFl5wUCSQ
Lethal Injection,Bop Gun (One Nation) [Music Video],"Music video for ""Bop Gun (One Nation)"".",5:13,,,Full,High Quality,https://www.youtube.com/watch?v=DjsvqQUcqCs
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Bow Down
(Collaboration with Mack 10 and WC as Westside Connection)","(12/7/1993) (Lethal Injection officially releases)
(10/22/1996) (Bow Down officially releases)",,,"""Bow Down"" is the debut studio collab album under Westside Connection.",,,
,Music Videos,,,,,,,
