Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"0 on Streaming
4 not on Streaming","Cru' In Action!
(Collaboration with Sir Jinx and K-Dee as C.I.A)
(Stereo Crew)","(06/15/1969) (Ice Cube is born)
(??/??/1986) (Ice Cube forms C.I.A with Sir Jinx and K-Dee)
(??/??/1987) (C.I.A disbands and Ice Cube joins N.W.A)",,,Other,"The Cru' In Action (C.I.A) was the first rap group Ice Cube was a part of with Sir Jinx and K-Dee with their earlier name being Stereo Crew, it was changed after they got signed to Kru Cut Records, after their song ""She's A Skag"" got poor sales and Epic Records dropped them. C.I.A's only release would be ""My Posse"", produced by Dr. Dre, in 1987. They would disband later and Ice Cube would get into a group called the Niggaz Wit Attitudes (N.W.A)",
Cru' In Action!,"She's a Skag
(prod. Dr. Dre & Lonzo)","A single released when the name was ""Stereo Crew"".",6:37,1986,Other,No,https://www.youtube.com/watch?v=PyKGuvSw3XE
Cru' In Action!,"My Posse
(prod. Dr. Dre)","Track 1 on the single ""The Posse"". Samples ""The New Style"" and ""Paul Revere"" by Beastie Boys.",5:24,1986,Other,No,https://www.youtube.com/watch?v=cpJ1po6i2io
Cru' In Action!,"Jus 4 The Cash$
(prod. Dr. Dre)","Track 2 on the single ""The Posse"".",4:30,1986,Other,No,https://www.youtube.com/watch?v=ru-wbY2gO_8
Cru' In Action!,"Ill-Legal
(prod. Dr. Dre)","Track 3 on the single ""The Posse"". Samples ""L.A. Is the Place"" by Eazy-E & Ron-De-Vu and ""Take Me to the Mardi Gras"" by Bob James"".",4:55,1986,Other,No,https://www.youtube.com/watch?v=tFF-w1_5vg4
"5 on Streaming
1 not on Streaming",N.W.A and the Posse,"(??/??/1987) (C.I.A disbands and Ice Cube joins N.W.A)
(11/06/1987) (N.W.A and the Posse releases)",,,Other,"""N.W.A and the Posse"" would be the group's debut, but unauthorized, album, which was a compilation of songs from other artists in the group such as Eazy-E's ""Boyz-n-da-Hood"", ""Dunk the Funk"" by Fila Fish Crew and singles like ""Panic Zone"" featuring Krazy-Dee. It was released on November 6, 1987 by Macola Records, by collecting songs from N.W.A's EP titled ""N.W.A"".",
N.W.A and the Posse,"Eazy-E - Boyz-n-the-Hood
(prod. Dr. Dre)","Released as a single on March 3, 1987. Track 1 on ""N.W.A and the Posse"". Ghostwritten by Ice Cube. Samples ""I'm a Ho"" by Whodini, ""Hold It Now, Hit It"" by Beastie Boys, ""Mr. Big Stuff"" by Jean Knight and ""I'll Take You There"" by The Staple Singers.",5:37,"Mar 3, 1987",Other,Yes,https://open.spotify.com/track/5RGXoZt1qxmAErdhbyKJKq?si=2ccd5f6b530c45e6
N.W.A and the Posse,"Eazy-E - L.A. Is The Place
(prod. Dr. Dre)","B-side to the single ""Boyz-n-the-Hood"". Track 7 on ""N.W.A and the Posse"". Written by Ice Cube.",4:31,"Mar 3, 1987",Other,Yes,https://open.spotify.com/track/0FJyFOTAJ49VDqx2PfjUnm?si=c272d598e3824c6e
N.W.A and the Posse,"Eazy-E - Fat Girl
(prod. Dr. Dre)","B-side to the single ""Boyz-n-the-Hood"". Track 10 on ""N.W.A and the Posse"". Written by Ice Cube.",2:45,"Mar 3, 1987",Other,Yes,https://open.spotify.com/track/3zZQBK70PhxltIZ9htS8wG?si=ecb2a32ab29c410a
N.W.A and the Posse,"N.W.A - 8 Ball [V1]
(prod. Dr. Dre)",Shorter than the album version. Written by Ice Cube.,4:00,"Aug 13, 1987",Other,No,
N.W.A and the Posse,"N.W.A - 8 Ball [V2]
(prod. Dr. Dre)","Track 2 on ""N.W.A and the Posse"". Written by Ice Cube.",4:26,"Nov 6, 1987",Other,Yes,https://open.spotify.com/track/2JuKS0vF3hpmx8LQ0qtk5o?si=c22cf7ff77b74484
N.W.A and the Posse,"N.W.A - Dope Man
(prod. Dr. Dre)","Track 8 on ""N.W.A and the Posse"", later appearing on a 1989 reissue of the single ""Boyz-n-the-Hood"".",6:16,"Nov 6, 1987",Other,Yes,https://open.spotify.com/track/4fukZMkYV1JgJ68NegVLtN?si=1e9b59c62ba24c83
"16 on Streaming
0 not on Streaming","Straight Outta Compton
(Collaboration with Eazy-E, Dr. Dre, DJ Yella and MC Ren as N.W.A)","(11/06/1987) (N.W.A and the Posse releases)
(01/19/1989) (Straight Outta Compton officially releases)
(12/??/1989) (Ice Cube leaves N.W.A and begins his solo career)",,,Other,"""Straight Outta Compton"" would be N.W.A's authorized debut album and was a major shift in the rap industry for hardcore, gangster rap, containing tracks talking about violence (""Straight Outta Compton""), law enforcement and police brutality (""Fuck tha Police"") all in Compton, California, which is most of the group's home city. It released on January 25, 1989 through Priority and Ruthless Records and, despite its very scarce radio play, it was the first gangster rap album to receive platinum certification.",
Straight Outta Compton,"The D.O.C - The Grand Finalé
(feat. N.W.A) (prod. Dr. Dre)","Track 13 on ""No One Can Do It Better"" by The D.O.C.",4:40,"Jul 13, 1989",Other,Yes,https://open.spotify.com/track/3bhgMObzSnmuAHUXWXkU9d?si=f050763e84b34543
Straight Outta Compton,"N.W.A - A Bitch Iz a Bitch
(prod. Dr. Dre & DJ Yella)","Track 4 on the 1989 reissue of ""N.W.A and the Posse"", replacing ""Scream"". Also track 17 on the 2002 reissue of ""Straight Outta Compton"". Written by Ice Cube.",3:10,"Nov 13, 1989",Other,Yes,https://open.spotify.com/track/6annH9QTaMrIAm5soWhV46?si=0b1f562a561e4774
Straight Outta Compton,"N.W.A - Gangsta Gangsta
(prod. Dr. Dre, DJ Yella & Arabian Prince)
(From Around The Way)","Released as a single on September 5, 1988, later ending up as track 3 on ""Straight Outta Compton"".",5:36,"Sep 5, 1988",Other,Yes,https://open.spotify.com/track/1pOIpxfrQ8AszXZdKR3aH3?si=9aa7c8a04b7948b4
Straight Outta Compton,"N.W.A - Straight Outta Compton
(prod. Dr. Dre & DJ Yella)","Track 1 on ""Straight Outta Compton"", later releasing as a B-side on the single ""Express Yourself"".",4:18,"Jan 25, 1989",Other,Yes,https://open.spotify.com/track/6KIKRz9eSTXdNsGUnomdtW?si=fd7923a6cf904781
Straight Outta Compton,"N.W.A - Fuck tha Police
(prod. Dr. Dre & DJ Yella)","Track 2 on ""Straight Outta Compton"".",5:44,"Jan 25, 1989",Other,Yes,https://open.spotify.com/track/5n8Aro6j1bEGIy7Tpo7FV7?si=94a06b778d544197
Straight Outta Compton,"N.W.A - Parental Discretion Iz Advised
(feat. The D.O.C) (prod. Dr. Dre & DJ Yella)","Track 5 on ""Straight Outta Compton"". Ice Cube has songwriting credits.",5:15,"Jan 25, 1989",Other,Yes,https://open.spotify.com/track/75vzHroJkJWv0AvwzWv1zU?si=82105cb09937467f
Straight Outta Compton,"N.W.A - 8 Ball (Remix)
(prod. Dr. Dre & DJ Yella)","Track 6 on ""Straight Outta Compton"". Remix of 8 Ball, which has songwriting credits for Ice Cube.",4:52,"Jan 25, 1989",Other,Yes,https://open.spotify.com/track/1i0kVfX5LdEdo52St39QM0?si=fedaf14044a042ae
Straight Outta Compton,"N.W.A - Express Yourself (Album Version)
(prod. Dr. Dre & DJ Yella)","Track 8 on ""Straight Outta Compton"".",4:25,"Jan 25, 1989",Other,Yes,https://open.spotify.com/track/52IuMfbQa9aqRPz2oYPAI8?si=f61db2a814804132
Straight Outta Compton,"N.W.A - I Ain't Tha 1
(prod. Dr. Dre & DJ Yella)","Track 10 on ""Straight Outta Compton"".",4:54,"Jan 25, 1989",Other,Yes,https://open.spotify.com/track/4YT8aYraXHbVxYeupvChSv?si=1a18f3f7d85247ca
Straight Outta Compton,"N.W.A - Dopeman (Remix)
(prod. Dr. Dre & DJ Yella)","Track 11 on ""Straight Outta Compton"". Remix of Dope Man.",5:20,"Jan 25, 1989",Other,Yes,https://open.spotify.com/track/12G1TYIfbpvC0mdFFn4Pbg?si=42991dbc35f4493e
Straight Outta Compton,"N.W.A - Express Yourself (Extended)
(prod. Dr. Dre & DJ Yella)","Released as a single on March 27, 1989, later becoming track 14 on the 2002 reissue for ""Straight Outta Compton"".",4:42,"Mar 27, 1989",Other,Yes,https://open.spotify.com/track/7a8QggRN3kbtoAZww6zku3?si=16b81241186d4079
Straight Outta Compton,"N.W.A - Straight Outta Compton (Extended)
(prod. Dr. Dre & DJ Yella)","Released as part of the ""Express Yourself"" single, later becoming track 16 on the 2002 reissue for ""Straight Outta Compton"".",4:53,"Mar 27, 1989",Other,Yes,https://open.spotify.com/track/5VvzgKP2o891ugh6057WQ6?si=3368602f04c6456e
Straight Outta Compton,"Eazy-E - Still Talkin'
(prod. Dr. Dre & DJ Yella)","Track 1 on ""Eazy-Duz-It"". Has additional vocals from Ice Cube.",3:51,"Nov 22, 1988",Other,Yes,https://open.spotify.com/track/4wiNvPbYWmCL7gDbmo2SyL?si=698ebb58857e4e18
Straight Outta Compton,"Eazy-E - Boyz-n-the-Hood (Remix)
(prod. Dr. Dre)","Track 5 on ""Eazy-Duz-It"". Remix of Boyz-n-the-Hood, which is ghostwritten by Ice Cube.",6:22,"Nov 22, 1988",Other,Yes,https://open.spotify.com/track/3JdyhQORbJkCWT8xfLd8gD?si=7e4e06399db147d1
Straight Outta Compton,"Eazy-E - No More ?'s
(prod. Dr. Dre, DJ Yella & Eazy-E)","Track 10 on ""Eazy-Duz-It"". Written by Ice Cube and Eazy-E.",3:55,"Nov 22, 1988",Other,Yes,https://open.spotify.com/track/7y9yjpRtZajYzVpXHRjwGz?si=d3d816309ce94451
Straight Outta Compton,"Eazy-E - Still Talkin' (Remix)
(prod. Dr. Dre & DJ Yella)","Track 14 on ""Eazy-Duz-It"". Remix of Still Talkin', which has additional vocals from Ice Cube.",5:26,"Nov 22, 1988",Other,Yes,https://open.spotify.com/track/4df6WYvbzMoC4eSHT0VCwI?si=92346964d4b24c86
"19 on Streaming
0 not on Streaming",AmeriKKKa's Most Wanted,"(12/??/1989) (Ice Cube leaves N.W.A and begins his solo career)
(05/18/1990) (AmeriKKKa's Most Wanted officially releases)",,,Other,"""AmeriKKKa's Most Wanted"" is Ice Cube's debut solo album after his departure from N.W.A, due to royalty issues regarding writing. While it still talked about violence, police brutality and new topics such as the radio (""Turn Off The Radio"") and gender relations (""It's a Man's World""), it contained production from the Bomb Squad on the East Coast. It would be released on May 16, 1990 under Priority Records and is considered to be one of, if not the best in his discography.",
AmeriKKKa's Most Wanted,"Public Enemy - Burn Hollywood Burn!!!
(feat. Ice Cube & Big Daddy Kane) (prod. The Bomb Squad)","Track 9 on ""Fear of a Black Planet"".",2:47,"Apr 10, 1990",Other,Yes,https://open.spotify.com/track/0PswhfztcdmfYDqfoGMqc4?si=a34dd034802a4293
AmeriKKKa's Most Wanted,"AmeriKKKa's Most Wanted
(prod. The Bomb Squad, Ice Cube & Sir Jinx)","Released as a single on April 17, 1990. Track 3 on ""AmeriKKKa's Most Wanted"".",4:08,"Apr 17, 1990",Other,Yes,https://open.spotify.com/track/2mYnMZOESVQeUcbvxR1lYi?si=0793542e1f274958
AmeriKKKa's Most Wanted,"Once Upon a Time in the Projects
(prod. The Bomb Squad & Sir Jinx)","Released as the B-side to the single ""AmeriKKKa's Most Wanted"". Track 6 on ""AmeriKKKa's Most Wanted"".",3:41,"Apr 17, 1990",Other,Yes,https://open.spotify.com/track/65V56IbZLtx57pqU6c6gWv?si=27aebc0d82974bd9
AmeriKKKa's Most Wanted,"Endangered Species (Tales from the Darkside) (Remix)
(feat. Chuck D) (prod. The Bomb Squad & Sir Jinx)","Released as a single two days before the release of the album, later ending up as track 1 on the ""Kill At Will"" EP.",4:10,"May 16, 1990",Other,Yes,https://open.spotify.com/track/2MZj8Q6zwjLfQyk1gonZYv?si=4250e47fdfb84159
AmeriKKKa's Most Wanted,"Dead Homiez
(prod. Ice Cube)","Released as the B-side for the single ""Endangered Species (Tales from the Darkside) (Remix)"", later ending up as track 5 on the ""Kill At Will"" EP.",3:23,"May 16, 1990",Other,Yes,https://open.spotify.com/track/443Gly8J0fwepgNCHxKXxx?si=7504299958f94aad
AmeriKKKa's Most Wanted,"Better Off Dead
(prod. Ice Cube & Sir Jinx)","Track 1 on ""AmeriKKKa's Most Wanted"". Samples the PBS documentary ""Eyes on the Prize II: America at the Racial Crossroads 1965-1985"", specifically episode 6, ""A Nation of Law? (1968-71)"". Omitted from the clean version.",1:03,"May 18, 1990",Other,Yes,https://open.spotify.com/track/7I2TMlIgfIJkH9nE7rePc7?si=9b263c95049f4c97
AmeriKKKa's Most Wanted,"The Nigga Ya Love to Hate
(prod. The Bomb Squad, Ice Cube & Sir Jinx)","Track 2 on ""AmeriKKKa's Most Wanted"". Samples ""Gangsta Gangsta"" by N.W.A., ""A Bitch Iz A Bitch"" by N.W.A., ""Weak at the Knees"" by Steve Arrington's Hall of Fame and ""Atomic Dog"" by George Clinton.",3:13,"May 18, 1990",Other,Yes,https://open.spotify.com/track/3Mzqw2mz9YMKjjCEmypYfZ?si=a489a31ade124d97
AmeriKKKa's Most Wanted,"What They Hittin' Foe?
(prod. The Bomb Squad, Ice Cube & Sir Jinx)","Track 4 on ""AmeriKKKa's Most Wanted"".",1:22,"May 18, 1990",Other,Yes,https://open.spotify.com/track/4K3iiMwytWoYxu0L4HnzCb?si=fc16e31d9340429d
