Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Cru' In Action!,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",N.W.A and the Posse,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
1 Snippet(s)
9 Unavailable",Straight Outta Compton,,,,,,,
Straight Outta Compton,Dogshit,"Krazy Dee confirmed that Ice Cube had a song called ""Dogshit"" where he rapped about meeting a girl, coming into her home, the father catches him having sex with her, he runs away with his pants down and steps on dogshit. Uses the same drums as ""Dopeman"" with quacking sounds in the background.",,,,Confirmed,Not Available,https://youtu.be/unVkeiPU-ns?t=235
Straight Outta Compton,"Express Yourself [V1]
(ref. Ice Cube) (prod. Dr. Dre & DJ Yella)","According to both The D.O.C. and the album's linear notes, Ice Cube wrote ""Express Yourself"", meaning there could be a reference track for Dr. Dre.",,,,Rumored,Not Available,
Straight Outta Compton,Fuck Tha Police [V1],"A solo Ice Cube demo of ""Fuck Tha Police"" with unreleased verses and Eazy-E's hook, made in 1987, exists apparently. No longer downloadable (yet) and Dbree link is gone.",,,,Confirmed,Not Available,
Straight Outta Compton,Fuck Tha Police [V2],"Demo version of ""Fuck Tha Police"" with an alternate beat, three Ice Cube verses and an alternate intro from probably Dr. Dre. File leaked for this song apparently, but is lost.",,,,Snippet,Recording,https://www.youtube.com/watch?v=SluC2v2Zwog
Straight Outta Compton,"From Around The Way [V1]
(Gangsta Gangsta)","When ""Gangsta Gangsta"" was originally written, it was called ""From Around The Way"" according to Krazy Dee, they decided to change it up a little after Eazy-E didn't rap on it for some reason.",,,,Confirmed,Not Available,https://youtu.be/unVkeiPU-ns?t=174
Straight Outta Compton,"Gangsta Gangsta [V2]
(ref. Ice Cube)
(From Around The Way)","According to both The D.O.C. and the album's linear notes, Ice Cube wrote ""Gangsta Gangsta"", likely writing Eazy-E's lines, meaning there could be a reference track for Eazy-E.",,,,Rumored,Not Available,https://youtu.be/unVkeiPU-ns?t=149
Straight Outta Compton,"Gangsta Gangsta [V3]
(From Around The Way)","An unmixed version of ""Gangsta Gangsta"" is said to exist, confirmed by Krazy Dee.",,,,Confirmed,Not Available,https://youtu.be/unVkeiPU-ns?t=149
Straight Outta Compton,N.W.A - The Nigga Ya Love To Hate [V1],"In an Instagram Live stream for the ""AmeriKKKa's Most Wanted"" 30th anniversary, Ice Cube would confirm ""The Nigga Ya Love To Hate"" was originally a track for N.W.A.",,,,Confirmed,Not Available,
Straight Outta Compton,🏆 Unknown [10> Songs],"According to Krazy Dee, there are less than ten unreleased N.W.A songs in total.",,,,Confirmed,Not Available,https://youtu.be/unVkeiPU-ns?t=156
Straight Outta Compton,Unknown [AMW Alternate Track Versions for Eazy-E],"Likely being made during ""Straight Outta Compton"" production, Sir Jinx said a lot of the songs that went to ""AmeriKKKa's Most Wanted"" was originally going to Eazy-E's album when they first started. It's likely these songs contained alternate lyrics relating to Eazy-E. One of these could be for ""A Gangsta's Fairytale"" where instead of ""Come sit on the lap of I-C-E,"" it was instead ""Come sit on the lap of Eazy-E."" All according to an archived HipHopDX interview with Sir Jinx.

""When we first started out, a lot of the songs were designated to go to Eazy Es album - some of the songs. When they didnt come to an agreement that they were going to work together, Cube took the songs and put them on Amerikkkas Most Wanted.""",,,,Confirmed,Not Available,https://web.archive.org/web/20130801225138/http://www.hiphopdx.com/index/interviews/id.1338/title.producers-corner-sir-jinx
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
10 Unavailable",AmeriKKKa's Most Wanted,,,,,,,
AmeriKKKa's Most Wanted,🏆 No Vaseline [V1],"In an interview with Sir Jinx, ""No Vaseline"" was originally going to be added to ""AmeriKKKa's Most Wanted"" and ""Kill At Will"" before it was officially released on ""Death Certificate"". Unknown what changes are included.",,,,Confirmed,Not Available,
AmeriKKKa's Most Wanted,The Nigga Ya Love To Hate [V2-V?],"Ice Cube said there were multiple choruses for the song, one being ""Love, hate"" before coming up with ""Fuck you, Ice Cube.""

""We had different choruses for that song. One went, “Love, hate” and then other things in there. And we was trying to find stuff that we could scratch in. I thought about it for a long time, like a whole day. And then I came up with, “Fuck you, Ice Cube!,” like people were mad at us for doing hardcore rap.""",,,,Confirmed,Not Available,
AmeriKKKa's Most Wanted,"🏆 You Can't Fade Me/JD's Grifflin [V1]
(prod. The Bomb Squad, Ice Cube & Sir Jinx)","Chuck D said that he had to edit a skit, likely ""JD's Grifflin"", because it contained a street address where he jacked something, which could get him in trouble.

""I remember editing one of the skits on the album, by one of the Lench Mob brothers who I won’t name. He was talking about something he jacked and he gave the actual street. So we had to take that out, because somebody could get yo ass if you put it on record!""",,,,Confirmed,Not Available,
AmeriKKKa's Most Wanted,"Tajai - Once Upon a Time In The Projects [V1]
(prod. Sir Jinx)","Sir Jinx revealed that ""Once Upon A Time In The Projects"" instrumental was made for Tajil, then Adam ""A-Plus"" Carter.",,,,Confirmed,Not Available,
AmeriKKKa's Most Wanted,"Adam ""A-Plus"" Carter - Once Upon a Time In The Projects [V2]
(prod. Sir Jinx)","Sir Jinx revealed that ""Once Upon A Time In The Projects"" instrumental was made for Tajil, then Adam ""A-Plus"" Carter.",,,,Confirmed,Not Available,
AmeriKKKa's Most Wanted,Son of Bazerk - AmeriKKKa's Most Wanted [V1],"In a Medium article and multiple interviews, it is said that ""AmeriKKKa's Most Wanted"" was for Son of Bazark, whom, according to Sadler, had recorded vocals on it.",,,,Confirmed,Not Available,
AmeriKKKa's Most Wanted,True Mathematics - A Gangsta's Fairytale [V1],"True Mathematics was a group that Sadler used to work with, where a previously recorded version of ""A Gangsta's Fairytale"" was done, but it was apparently bad and Sadler stated it was too goofy and never expected it would be picked.

""We had actually already recorded that with this group we worked with called True Mathematics. But they had done a pretty bad job on it, they stabbed it to death. I had put that music on the tape Chuck sent to Cube before he got to New York, but honestly I never thought he would pick it. It was too goofy.""",,,,Confirmed,Not Available,
