Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Playing Robots Into Heaven [V2],"🏅 Speed Of Sound
(feat. Don Toliver) (prod. James Blake)",Unknown song with Don Toliver. Unknown whose song it is. Made during Love Sick sessions. Original snippet leaked 29 June 2026. Second snippet leaked 19 July 2026. Is said to be passed.,,,"Jul 19, 2026",Snippet,CD Quality,"https://pillows.su/f/7ffcb7675328a5536b57292a8a9c9f46
https://pillows.su/f/1d5572e0eb9d5f924c36938cc5343378"
Friends That Break Your Heart,"I'd Be Overjoyed
(prod. James Blake)","OG Filename: I'd Be Overjoyed (rough) 
Song creared on an Instagram livestream during the pandemic era where viewers could watch James create the song in real time. This version was bounced after the livestream.",1:38,,"Jul 10, 2026",OG File,CD Quality,https://pillows.su/f/d0a4a38a4b6ff385d945f85ccff6db65
Unknown,"Silver Lining Kisses
(prod. James Blake)",Unknown James Blake song. Original snippet leaked 4 July 2026.,,,"Jul 4, 2026",Snippet,CD Quality,https://pillows.su/f/27c1fdd9e37fbbda19082700d64a81d9
Unknown,"Who Hold You Back
(prod. James Blake & Dom Maker)",Unknown song from Dom Maker's dropbox. Snippets leaked 3 June 2026 and 4 July 2026.,,,"Jul 4, 2026",Snippet,CD Quality,"https://pillows.su/f/55c2bde479368aa48423543205ed09e9
https://pillows.su/f/9beeed9a27970abbe2f5825222c23c49"
Unknown,"Something Beautiful
(prod. James Blake)",Unknown James Blake song. Original snippet leaked 29 June 2026.,,,"Jun 29, 2026",Snippet,CD Quality,https://pillows.su/f/a366429c27f04c5e9a3f549f30b754cc
Unknown,"Rae Sremmurd - ???
(feat. James Blake) (prod. James Blake)",Unknown song with Rae Sremmurd. Unknown whose song it is. Original snippet leaked 29 June 2026.,,,"Jun 29, 2026",Snippet,CD Quality,https://pillows.su/f/b4daf2bde89c75a0cfec35ea991b98c9
Unknown,"Slowthai - ???
(feat. James Blake) (prod. James Blake)",Unknown song with Slowthai. Unknown whose song it is. Original snippet leaked June 29 2026.,,,"Jun 29, 2026",Snippet,CD Quality,https://pillows.su/f/5ce31859eeb8a80685db414a374162a6
Unknown,"??? - Sideways
(feat. James Blake) (prod. James Blake)",Unknown song featuring James Blake. Original snippet leaked 29 June 2026.,,,"Jun 29, 2026",Snippet,CD Quality,https://pillows.su/f/0304d97b05acddd3c6f51f9e25a2d82e
Overgrown,"Our Love Comes Back
(prod. James Blake)","Early version of the song. Preformed live on December 4th, 2012 at Conway Hall in London. Originally leaked December 6, 2012, in low quality.",4:53,,"Jun 24, 2026",Full,CD Quality,https://pillows.su/f/d4669073b799f544167a3c66e6ac4efd
Playing Robots Into Heaven [V1],"I Wish I Was
(prod. James Blake)","OG Filename: I Wish I Was Beat
Short instrumental made shortly after the release of Friends That Break Your Heart. Original snippet leaked 3 June 2026.",1:41,"Oct 18, 2021","Jun 21, 2026",Beat Only,CD Quality,https://pillows.su/f/e9f84512a0a5e5f250ee8e1294fbd1f1
