Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
Preasonable Doubt,Hawaiian Sophie,"Cover for ""Hawaiian Sophie"" by Jaz-O featuring Jay-Z.",,,,Front Cover,Used,/jayzgold/art/hawaiian-sophie.png
Reasonable Doubt,Reasonable Doubt,,,Digital,,Used,Front Cover,/jayzgold/art/reasonable-doubt.jpg
Reasonable Doubt,Reasonable Doubt [CD Cover],,,Scan,,Used,Front Cover,/jayzgold/art/reasonable-doubt-cd-cover.jpg
Reasonable Doubt,Reasonable Doubt [CD Back Cover 1],,,Scan,,Used,Back Cover,/jayzgold/art/reasonable-doubt-cd-back-cover-1.jpg
Reasonable Doubt,Reasonable Doubt [CD Back Cover 2],,,Scan,,Used,Back Cover,/jayzgold/art/reasonable-doubt-cd-back-cover-2.jpg
Reasonable Doubt,Reasonable Doubt [CD Back Cover 3],,,Photo,,Used, ,/jayzgold/art/reasonable-doubt-cd-back-cover-3.png
Reasonable Doubt,Reasonable Doubt [Vinyl Back Cover 1],,,Photo,,Used,Back Cover,/jayzgold/art/reasonable-doubt-vinyl-back-cover-1.jpg
Reasonable Doubt,Reasonable Doubt [Vinyl Back Cover 2],,,Photo,,Used,Back Cover,/jayzgold/art/reasonable-doubt-vinyl-back-cover-2.png
Reasonable Doubt,Reasonable Doubt [500 Copies Revolve Social Club Madeworn x Roc96 Collab Vinyl Front Cover],,,Photo,,Used,Front Cover,/jayzgold/art/reasonable-doubt-500-copies-revolve-social-club-madeworn-x-r.jpg
Reasonable Doubt,Reasonable Doubt [500 Copies Revolve Social Club Madeworn x Roc96 Collab Vinyl Back Cover],,,Photo,,Used,Back Cover,/jayzgold/art/reasonable-doubt-500-copies-revolve-social-club-madeworn-x-r.jpg
Reasonable Doubt,Reasonable Doubt [Promo Vinyl],,,Scan,,Used,Front Cover,/jayzgold/art/reasonable-doubt-promo-vinyl.jpg
Reasonable Doubt,Reasonable Doubt [Cassette],,,Photo,,Used,Front Cover,/jayzgold/art/reasonable-doubt-cassette.jpg
Reasonable Doubt,Reasonable Doubt [CD Promo],,,Photo,,Used,Front Cover,/jayzgold/art/reasonable-doubt-cd-promo.jpg
Reasonable Doubt,Dead Presidents,,,Photo,,Used,Front Cover,/jayzgold/art/dead-presidents.jpg
Reasonable Doubt,Dead Presidents [Cassette],,,Scan,,Used,Front Cover,/jayzgold/art/dead-presidents-cassette.jpg
Reasonable Doubt,Feelin' It,,,Scan,,Used,Front Cover,/jayzgold/art/feelin-it.jpg
Reasonable Doubt,Feelin' It [Cassette Cover],,,Scan,,Used,Front Cover,/jayzgold/art/feelin-it-cassette-cover.jpg
Reasonable Doubt,Feelin' It [CD Cover],,,Scan,,Used,Front Cover,/jayzgold/art/feelin-it-cd-cover.jpg
Reasonable Doubt,Can't Knock The Hustle,,,Scan,,Used,Front Cover,/jayzgold/art/can-t-knock-the-hustle.jpg
Reasonable Doubt,Can't Knock The Hustle [Cassette Cover],,,Photo,,Used,Front Cover,/jayzgold/art/can-t-knock-the-hustle-cassette-cover.jpg
Reasonable Doubt,Can't Knock The Hustle (Fool's Paradise Remix),,,Photo,,Used,Front Cover,/jayzgold/art/can-t-knock-the-hustle-fool-s-paradise-remix.jpg
Reasonable Doubt,Ain't No Playa,,,Photo,,Used,Front Cover,/jayzgold/art/ain-t-no-playa.jpg
Reasonable Doubt,Ain't No Playa [Alternative Cover],,,Photo,,Used,Front Cover,/jayzgold/art/ain-t-no-playa-alternative-cover.jpg
Reasonable Doubt,Shai - I Don't Wanna Be Alone (feat. Jay-Z) [Cassette Cover],,,Photo,,Used,Front Cover,/jayzgold/art/shai-i-don-t-wanna-be-alone-feat-jay-z-cassette-cover.jpg
"In My Lifetime, Vol 1","In My Lifetime, Vol 1",,,Digital,,Used,Front Cover,/jayzgold/art/in-my-lifetime-vol-1.jpg
"In My Lifetime, Vol 1",,,,Scan,,Used,Back Cover,
"In My Lifetime, Vol 1",,,,Photo,,Used,Back Cover,
"In My Lifetime, Vol 1",,,,Photo,,Used,Back Cover,
"In My Lifetime, Vol 1",,,,Scan,,Used,Back Cover,
"In My Lifetime, Vol 1",,,,Scan,,Used,Front Cover,
