Era,Name,Notes,Made By,Type,Available Length,Link(s)
Preasonable Doubt,Murda Murda,"Sounds like somebody imitate Jay-Z voice & flow, this might be a NY rapper called Bathgate who was accused of sounding like Jay-Z and ironically later got signed to Roc-A-Fella.",,Fake Leak,Full LQ,https://www.youtube.com/watch?v=_mKqTcY-EZI
The Blueprint 2,"Dr. Dre - Nigga Like Me
(feat. Jay-Z & JB) (prod. Dr. Dre & Scott Scortch)
(Get Your Money Right)","Jay-Z Verse is edited and comes from an unreleased version of ""So Right"" by The Lox. Originally, Jay wanted to be on ""Money, Power & Respect,"" but The LOX had already chosen DMX for that track and only wanted Jay on ""So Right."" Since they wouldn't let him be on both songs, Jay decided not to clear his verse for ""So Right"" Still, his vocals somehow ended up on the acapella version included with some single releases. DJ Vlad later took those vocals and blended them into this track. Dre and JB's parts are real.",DJ Vlad,Fake Leak,Full HQ,https://pillows.su/f/6f6dbcaee33d77094e84520594ae979f
Kingdom Come,"The Game - Get Your Money Right
(feat. Dr. Dre, Jay-Z & JB) (prod. Dr. Dre & Scott Scortch)
(Nigga Like Me)","DJ Vlad eventually passes this song onto ""The Game"" and he releases it on the G-Unit Mixtape",DJ Vlad,Fake Leak,Full HQ,https://www.youtube.com/watch?v=fFT4tokkwl0
Kingdom Come,"Lupe Fiasco - Sittin Sideways (Remix)
(feat. JAY-Z)","Jay-Z Verse is taken from ""Back Then (Freestyle)""",Lupe Fiasco,Fake Leak,Full HQ,https://www.youtube.com/watch?v=LFSCUsi516M
Kingdom Come,"Kanye West - We Major
(feat. Nas & JAY-Z)","The Prelude to the Throne was a mixtape planning to be made to gain hype for Watch The Throne, yet was never released. JAY-Z was supposed to be on the original ""We Major"", but after a feud with Nas he never recorded for it. The mixtape was supposed to have all songs Jay and Ye were on together, along with this exclusive remix with JAY-Z on the track. A video surfaced on Youtube and fooled many, but it was ultimately discovered to be fake.",GramFam01,Fake Leak,Full HQ,https://www.youtube.com/watch?v=_4ZItPOYsEs
Magna Carta.. Holy Grail,"Dr. Dre - Under Pressure
(feat. Jay-Z & Diablo Vazquez) (prod. Dr. Dre)","Later version of ""Under Pressure"" featuring little-known artist Diablo Vazquez filling in the previously open sections of the song with a hook, often mistaken for Sly Pyper. The legitimacy and origin of this version is a bit unclear, it surfaced sometime around September 2010, but given the artists' obscurity and the song having leaked already it's possible it's a remix of sorts being passed off as official. Only a very low-quality version has surfaced.",Diablo Vazquez,Fake Leak,Full HQ,https://pillows.su/f/6381b4a9718fe200c78f361e1b87248c
4:44,Voice,"First track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,War On Terror,"Second track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,"Till
(feat. Kendrick Lamar & Kanye West)","Third track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,"Kevlar Tux
(feat. André 3000)","Fourth track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,Garda to Comerica,"Fifth track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,"Black Hoodie
(feat. Travis Scott)","Sixth track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,"Baby, Baby
(feat. Chance The Rapper)","Eighth track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,Stones,"Ninth track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,"Hold The Cream
(feat. Swizz Beatz & Future)","Tenth track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,Ring Around,"Eleventh track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,untitled,"Twelfth track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,Big Woulda Said...,"Thirteenth track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,"4:44
(feat. Beyoncé)","Fourteenth track on a fake 4:44 tracklist that ""leaked"" on June 29th, 2017.",Unknown,Fake Leak,N/A (just rumors),
4:44,"Helicopter Addicts
(prod. NO I.D. & DJ Dahi)",😭,Boogie Nights,Fake Leak,Full HQ,https://www.youtube.com/watch?v=nYzCV1V8ZPM
LP14,"Kanye West - Follow God 2
(feat. JAY-Z)",Mentioned in a now-deleted tweet by Xcelence after he was hacked.,Unknown,Fake Rumor,N/A (just rumors),
