Era,Name,Notes,Copy Length,File Date,Type,Available Length,Link(s)
Preasonable Doubt,I Can't Get Wit That,"Unreleased music video from 1994 for the song ""I Can't Get Wit That"" which was released as a Side B to the single ""In My Lifetime"" from 1995.",,,Music Video,High-Res,https://www.youtube.com/watch?v=YfavM9f9Flk
Reasonable Doubt,In My Lifetime,,,,Music Video,High-Res,https://www.youtube.com/watch?v=Uzy_Owko-wU
Reasonable Doubt,Feelin' It,,,,Music Video,High-Res,https://www.youtube.com/watch?v=DvTcUCeIJEc
Reasonable Doubt,"Can't Knock the Hustle
(feat. Veronica) (prod. Knobody, Nomad & Sean C)","Confirmed in an interview with the song's producer, Knobody, who said that a space was left for the hook, which the Latin singer Veronica was originally supposed to sing, but then Mary J. Blige stepped in after Roc-A-Fella had contacted her and she had heard the track and immediately wanted to get involved.",,,Other,Never Recorded,https://web.archive.org/web/20120217105316/http://www.hitquarters.com/index.php3?page=intrview/opar/intrview_JeromeFoster.html
Reasonable Doubt,"Bring It On
(feat. Nas & AZ)","According to Dame Dash, ""Nas and AZ was supposed to be on 'Bring It On,' they kept not showing up. That's when we wanted to put out The Firm. They didn't show up. We was meeting and they was saying, 'Yeah,' but they wasn't showing up. We would be waiting and we would be getting offended. So we brought Sauce [Money] and [Big] Jaz on the song""",,,Other,Never Recorded,https://web.archive.org/web/20150415233324/http://www.mtv.com/news/1571980/kanye-west-and-jim-jones-paying-tribute-to-jay-z-online-thanks-to-dame-dash-its-odd-no-doubt/
Reasonable Doubt,"Can I Live
(feat. Nas)","Irv Gotti revealed Nas was supposed to appear on "Can I Live," on a Drink Champs Interview.

""We was waiting for Nas to get on 'Can I Live,'"" Gotti revealed at the 2:06:30-minute mark, much to N.O.R.E. and DJ EFN's surprise. ""N-gga, no one knows [this] — yeah, they know now. We was waiting for Nas to do the second verse! ... He didn't show. That's the end of the story!""",,,Other,Never Recorded,https://youtu.be/I5oh8XHPKf0
Vol 1,Always Be My Sunshine,,,,Music Video,High-Res,https://www.youtube.com/watch?v=MZAakjGosgI
Vol 1,The City Is Mine,,,,Music Video,High-Res,https://www.youtube.com/watch?v=HGrnjqCPAGM
Vol 2,Can I Get A...,,,,Music Video,High-Res,https://www.youtube.com/watch?v=5W1WirHKz0U
Vol 2,Hard Knock Life (Ghetto Anthem),,,,Music Video,High-Res,https://www.youtube.com/watch?v=lpZgKI97K1M
