Era,Name,Notes,Length,Date,Release Date,Streaming,Link(s)
"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""!
Do NOT do this if you are an Editor!",,,,,,,
Streets Is Watching,Streets Is Watching [FULL MOVIE],Message: Don't use archive.org links as they get taken down very easily. Upload to pillows.su instead. I'm pretty sure you can upload folders there.,1:01:01,"May 12, 1998",Movie,No,https://www.youtube.com/watch?v=tximPdIq_kM
The Best Of Both Worlds,The Best Of Both Worlds [FULL ALBUM],,49:16,"Mar 26, 2002",Album,No,LINK NEEDED
Unfinished Business,Unfinished Business [FULL ALBUM],,44:34,"Oct 26, 2004",Album,No,LINK NEEDED
The Black Album,The S. Carter Collection [MIXTAPE],"
",,"Apr 18, 2003",Mixtape,No,LINK NEEDED
The Black Album,Roc-A-Fella Records Presents The Roc Files Volume 1 [FULL ALBUM],under various artists on spotify. kinda glitched too,48:01,"Dec 16, 2003",Album,Yes,https://open.spotify.com/album/0032kwtQmNuawKYX4Wh4I6?si=Hr8kT_vhQleIXawUBQuS2g
"13 Full
5 Tagged
0 Partial
1 Snippet
0 Production
1 Unavailable",Pre-sonable Doubt,(1986) (Jay-Z begins Rapping),,"JAY-Z made his early appearances on tracks by Jaz-O, Big Daddy Kane, and others in the late 1980s and early 1990s. He was involved in a rap feud with LL Cool J during this time. JAY-Z's big break came with the 1994 song ""Show and Prove"" on Big Daddy Kane's album ""Daddy's Home"". He also appeared on tracks by Big L, Mic Geronimo, and others in the mid-1990s. In 1995, JAY-Z released his first official rap single, ""In My Lifetime"", along with a music video.                        ",,,
Preasonable Doubt,In My Lifetime,"Released on a promo 12"" in 1995.",,,Single,No,https://www.youtube.com/watch?v=6rVJaeWKySw
Preasonable Doubt,I Can't Get Wit That,"Released on a promo 12"" in 1995.",,,Single,No,https://www.youtube.com/watch?v=bi628XpuImk
Preasonable Doubt,"Jaz-O - Hawaiian Sophie
(feat. JAY-Z)",Released in 1989,,,Feature,Yes,https://open.spotify.com/track/1W1DgQEAEeCS7pGeWzzDFO?si=fb4609c7ce694d0a
Preasonable Doubt,"Jaz-O - It's That Simple
(feat. JAY-Z)",Released in 1990,,,Feature,Yes,https://open.spotify.com/track/0neVo4dbwXelWrhuFkSNOl?si=6a320833afd943ab
Preasonable Doubt,"Jaz-O - The Originators
(feat. JAY-Z)",Released in 1990,,,Feature,Yes,https://open.spotify.com/track/0y1Riv6dx8aQcCayqKoNqU?si=d9a6473ebab84257
Preasonable Doubt,"Big Daddy Kane - Show & Prove
(feat. JAY-Z)",Released in 1994,,,Feature,Yes,https://open.spotify.com/track/6fv8qrWMteFmNGzU6Jo0E4?si=721aa254ea7b4e7f
Preasonable Doubt,Stretch And Bobbito - Jay-Z & Big L Freestyle,"Made in '95. Cuts off. If anyone has a better link, share it with me or just put it there.",,,Feature,No,https://www.youtube.com/watch?v=mW82DvUdv5E
Preasonable Doubt,"Big L - Da Graveyard
(feat. JAY-Z)",Released in 1995,,,Feature,Yes,https://open.spotify.com/track/04Rz403IY7QUqgfrTWX6OU?si=c03bda0324ea4e97
Preasonable Doubt,"Mic Geronimo - Time To Build
(feat. Murder Inc.)",Released in 1995,,,Feature,Yes,https://open.spotify.com/track/3rfRoCu15E8MVl3505mHFW?si=757f5e9c26a64fd4
Preasonable Doubt,"Shai - Don't Wanna Be Alone (Remix)
(feat. JAY-Z)","Released on a promo 12"" in 1996.",,,Feature,No,https://www.youtube.com/watch?v=eZvVESpGl84
"4 Full
0 Tagged
0 Partial
1 Snippet
0 Production
6 Unavailable","Reasonable Doubt
(Heir To The Throne)","(1994) (Reasonable Doubt begins recording)
(June 25th, 1996) (Reasonable Doubt is released)",,,"After being rejected by major labels, Jay-Z started selling burned CDs out of his car. He teamed up with Damon ""Dame"" Dash and Kareem ""Biggs"" Burke to create Roc-A-Fella Records, an independent label in 1995. After striking a distribution deal with Priority, Jay-Z released his 1996 debut album Reasonable Doubt with beats from acclaimed producers such as DJ Premier and Super DJ Clark Kent and an appearance by The Notorious B.I.G. The album reached number 23 on the Billboard 200, and was generally favored by critics.",,
Reasonable Doubt,Dead Presidents,"Released on 12"" Vinyl single.",,,,No,https://www.youtube.com/watch?v=2B1SqQIdvnk
Reasonable Doubt,"Can't Knock The Hustle
(feat. Mary J. Blige & Pain In Da Ass)
(prod. Dahound, Sean C & Knowbody)","Track 1 of the 1996 album Reasonable Doubt. Features Mary J. Blige and Pain In Da Ass. Produced by Dahound, Sean C and Knowbody. Written by JAY-Z, Mary J. Blige, Sean C, Dahound, Pain In Da Ass, Knowbody, Marcus Miller.",,,,Yes,https://open.spotify.com/track/05Iawel3maRW3mSHYmXxMZ?si=6b006bd7adfd42c0
Reasonable Doubt,"Politics As Usual
(prod. Ski Beatz)","Track 2 of the 1996 album Reasonable Doubt. Produced by Ski Beatz. Written by JAY-Z, Ski Beatz and Cynthia Biggs. ",,,,Yes,wip
Reasonable Doubt,"Brooklyn's Finest
(feat. The Notorious B.I.G.)","Track 3 of the 1996 album Reasonable Doubt. Features The Notorious B.I.G. Produced by DJ Clark Kent. Written by JAY-Z, The Notorious B.I.G., DJ Clark Kent, Marvin Pierce, Marshall ""Rock"" Jones, Junie Morrison, Andrew Noland, Greg Webster, Sugarfoot and Ralph Middlebrooks. everything below this ill do l8r lol",,,,Yes,im too tired to do this rn bro
Reasonable Doubt,Dead Presidents II,Track 4 of the 1996 album Reasonable Doubt. ,,,,Yes,wip
Reasonable Doubt,"Feelin' It
(feat. Mecca)",Track 5 of the 1996 album Reasonable Doubt. Features Mecca.,,,,Yes,wip
Reasonable Doubt,D'evils,Track 6 of the 1996 album Reasonable Doubt. ,,,,Yes,wip
