Era,Name,Notes,"Track
Length","Leak
Date",Type,Currently Available,Quality,Link(s)
"13 Full
5 Tagged
0 Partial
1 Snippet
0 Production
1 Unavailable",Pre-sonable Doubt,(1986) (Jay-Z begins Rapping),,"JAY-Z made his early appearances on tracks by Jaz-O, Big Daddy Kane, and others in the late 1980s and early 1990s. He was involved in a rap feud with LL Cool J during this time. JAY-Z's big break came with the 1994 song ""Show and Prove"" on Big Daddy Kane's album ""Daddy's Home"". He also appeared on tracks by Big L, Mic Geronimo, and others in the mid-1990s. In 1995, JAY-Z released his first official rap single, ""In My Lifetime"", along with a music video.                        ",,,,
Preasonable Doubt,"Broken English & Drug Selling
(prod. Clark Kent)","Song from 1994. Samples Biggie Smalls song ""Hypnotize"" and also Boogie Down Production's song ""My Production""",3:30,,,Full,LQ,https://pillows.su/f/ad673f30fad8d9e85efd0b9d9c4568bf
Preasonable Doubt,"Buckle My Shoe
(feat. Sauce Money) (prod. Fresh Gordon)","Song is said to be from 1985 - 1986 but mentions References to Marley Marls Song ""The Symphony"" which came out in 1988, and also References Murder of Yusef Hawkins which was on August 23rd 1989. Song was most likely recorded in Late 1989 or somewhere in the year 1990",5:01,,,Full,HQ,https://pillows.su/f/1b38a9ee54c52a4cde972d7417ffd17f
Preasonable Doubt,"Get Off My Dick
(feat. Sauce Money) (prod. Clark Kent)",Song from 1994.,4:46,,,Full,LQ,https://pillows.su/f/d84f807575cdad08e235d3eec148b792
Preasonable Doubt,"Greatest MC [V1]
(prod. Clark Kent)",Has different lyrics and production differences not present in V2.,4:16,,,Full,LQ,https://pillows.su/f/08f00994396c0c4f0b492945ca358ac6
Preasonable Doubt,"⭐Greatest MC [V2]
(prod. Clark Kent)",Has different lyrics and production differences not present in V1.,3:23,,,Full,HQ,https://pillows.su/f/d5bea01c652d716b59d5f7408d12f937
Preasonable Doubt,"Under Pressure
(feat. Sauce Money) (prod. Ski Beatz)",Song from 1994. Has some glitches throughout the song.,,,,Full,HQ,https://pillows.su/f/af67670316fe95d2afb17cec9598c763
Preasonable Doubt,"⭐Understand Me
(prod. DJ Peter Panic)","Song from 1994. Has some lag in some parts. Samples 2Pac saying ""Maybe if they tried to understand me – what should I do?
I had to feed my fuckin' family – what else could I do"" from the original version of his song ""Pain""",4:03,,,Full,LQ,https://pillows.su/f/5197549cad8d8b4c0cfc02c1154d4fca
Preasonable Doubt,"My Kind Of Lady
(feat & prod. Ski Beatz)
(My Kinda Girl, Good Thang, She's Playing Hard To Get)","Later was turned into a Rude Boys song, with Hov as a feature. Made around 1992. ",3:30,,,Full,HQ,https://pillows.su/f/276f9abe5b8ea593de7b5465ecc2c852
Preasonable Doubt,"Scratch My Back
(feat. Jaz-O & Sauce Money)","Unknown what year this was, I assume it is 1992/1993.",4:04,"Feb 13, 2012",,Tagged,HQ,https://pillows.su/f/4eb76bf2983bee1de9437e20b6c3646e
Preasonable Doubt,"Team Roc '95
(feat. Jaz-O & Sauce Money) ","Recorded in 1994, and features Jay's mentor Jaz-O, and frequent early collaborator Sauce Money.",4:23,,,Full,HQ,https://pillows.su/f/48dd6dc9f27a8c6512df8cbec7f5d9eb
Preasonable Doubt,"The Roc Lounge
(feat. Original Flavour & Ruffness) ",,,,,Tagged,HQ,https://pillows.su/f/859d76adcbf52e3764ada4df6bdd36b2
Preasonable Doubt,"The Life I Chose
(feat. Big Jaz)",Song from around 1994??,4:00,,,Tagged,HQ,https://pillows.su/f/4c96b21bbf2bf0ba7a5dffc20c5074f7
Preasonable Doubt,Pass The Roc,Song from 1994. Apparently premiered by DJ Red Alert.,3:09,,,Full,LQ,https://pillows.su/f/906f8f0c6b3814e8767bc2d043bf6b3c
Preasonable Doubt,"⭐Reach The Top
(prod. Clark Kent)","Song from 1995. Dame Dash wanted this song to appear on Reasonable Doubt, according to genius.",4:05,,,Tagged,LQ,https://pillows.su/f/bf6513d2347fa14a328298e703a4e9ed
Preasonable Doubt,"Rippin' It Up
(feat. Sauce Money)
(Rippin' It Up Right)",Song from 1994. Known as Rippin' It Up aswell as Rippin' It Up Right.,4:32,,,Full,LQ,https://pillows.su/f/bce4e070e44870d46e72e621ac1bd43a
Preasonable Doubt,In The Park,From 1994,1:30,,,Full,LQ,https://pillows.su/f/938780487617fba89458de75081d928a
Preasonable Doubt,What's In A Name,"Makes a Reference to Nature album ""19 Naughty III"" which was Released in February 1993, Song was most likely recorded in 1993 or 1994",3:55,,,Tagged,LQ,https://pillows.su/f/bdb782a74f946ab4b7613b7dc7ed876e
Preasonable Doubt,"Nuthin' But Love
(feat. Sauce Money) (prod. Clark Kent)","Jay-Z recorded this Marvin Gaye-sampling track with longtime mentor DJ Clark Kent and his childhood friend Sauce Money, circa-1994.

This was one of many tracks lost to the streets, but luckily for rap fans in 2001 DJ Rhude released the full track of Hov's pre-Reasonable Doubt tracks on his mixtape, BC: Before the Roc.",2:32,,,Tagged,LQ,https://pillows.su/f/0f665c7140ff4a0e4c39c4e5ba76c14e
Preasonable Doubt,"Ranjahz - Bulletproof
(feat. JAY-Z)",From 1995,3:08,,,Full,HQ,https://pillows.su/f/0028226bb9e23cbe298b2b8eb7c2555d
Preasonable Doubt,"Cash Money Click - If It's On It's On
(feat. JAY-Z, DMX, Infared, Black Child) (prod. Irv Gotti)","Cash Money Click was a Rap Group that lasted from 1994 to 1995 that featured Ja Rule, O1 and Chris Black",5:46,,,Full,LQ,https://pillows.su/f/38b2760d8f35254f78e42aa7e4f43e5e
,,Snippets/Unavailable,,,,,,
Preasonable Doubt,"🏆95 South [V?]
(prod. Clark Kent)","Unknown track made in 1995, apperantly has 6 verses",,,,Snippet,HQ,https://pillows.su/f/4176f6bde80e603ca387c30b61804c2e
Preasonable Doubt,"95 South [V?]
(prod. Clark Kent)","DJ Clark Kent said they made two versions of the song, Unknown which version is which",,,,Confirmed,Not Available,
"4 Full
0 Tagged
0 Partial
1 Snippet
0 Production
5 Unavailable","Reasonable Doubt
(Heir To The Throne)","(1994) (Reasonable Doubt begins recording)
(June 25th, 1996) (Reasonable Doubt is released)",,,"After being rejected by major labels, Jay-Z started selling burned CDs out of his car. He teamed up with Damon ""Dame"" Dash and Kareem ""Biggs"" Burke to create Roc-A-Fella Records, an independent label in 1995. After striking a distribution deal with Priority, Jay-Z released his 1996 debut album Reasonable Doubt with beats from acclaimed producers such as DJ Premier and Super DJ Clark Kent and an appearance by The Notorious B.I.G. The album reached number 23 on the Billboard 200, and was generally favored by critics.",,,
Reasonable Doubt,"Ain't No Nigga [V1]
(feat. Foxy Brown) (prod. Big Jaz/Jaz-O)",Has a different intro,4:36,,OG,Full,HQ,https://pillows.su/f/842420a4726738995821804e5a656b9c
