"Era","Name","Notes","Quality","Creator","Image","Link(s)"
"TEMPURA BOYZ","@yobigfatmamablack - YouTube [Profile Picture]","Profile Picture for the ""yobigfatmamablack"" YouTube account.","360x360","","","https://drive.google.com/file/d/1dm4OoBKurzCTJDN-wLCzifdaheeTZtcQ/view"
"Before Pink Guy","@2cool4u92 - YouTube [Profile Picture]","Profile Picture for the ""2cool4u92"" YouTube channel.","360x360","","","https://drive.google.com/file/d/1nMh-BHETcMqDViuDPmvmKEGgjXPCwd-I/view"
"Before Pink Guy","@AussieAsianBoyz - YouTube [Profile Picture]","Profile Picture for the ""AussieAsianBoyz"" YouTube channel.","360x360","","","https://drive.google.com/file/d/1MfWDwXGyzdK078InvmCLr898YV-lwlKg/view"
"Before Pink Guy","@DizastaMusic - YouTube [Profile Picture #1]","Original Profile Picture of the DizastaMusic account.
Taken from a 2009 Wayback Machine capture.","88x88","","","https://drive.google.com/file/d/1StrwFUu2vA2CHx0kREM-duws1gHkw5Rt/view"
"Before Pink Guy","@DizastaMusic - YouTube [Background #1]","Original Background of the DizastaMusic account.
Taken from a 2009 Wayback Machine capture.","500x333","","","https://drive.google.com/file/d/1Xn8lLq1_IpoAZ1q3evZZ54HGtTK4OHhb/view"
"Before Pink Guy","@JapanWalkers - YouTube [Profile Picture]","Profile Picture of the ""JapanWalkers"" YouTube channel.","360x360","","","https://drive.google.com/file/d/1ZfMWxaiOgYatkTfJXwk8Ln5vtTqBgUhX/view"
"Before Pink Guy","@StupidGeorgie - YouTube [Profile Picture]","Profile Picture for the ""StupidGeorgie"" YouTube channel.","489x489","","","https://drive.google.com/file/d/1kcZf9KouhTJV_YPW3gwjwD4PgS3JvL4i/view"
"Before Pink Guy","@george-miller-3 - SoundCloud [Profile Picture]","Profile Picture for the ""George Miller 3"" SoundCloud account.
Ripped from the reupload account.","432x432","","","https://drive.google.com/file/d/1ppaGZ00t_7hZ1SdDWLWp29nVV6QD-rDv/view?usp=drive_link"
"Before Pink Guy","DICKS (SWAG SWAG SWAG)","Cover Art for ""DICKS (SWAG SWAG SWAG)"".
Ripped from the reupload account.","1865x1865","","","https://drive.google.com/file/d/1Zl-czaihR4XvXvaGFlLeUtQpib3UBjM7/view?usp=drive_link"
"Before Pink Guy","PEDOPHILE SWAG","Cover Art for ""PEDOPHILE SWAG"".
Ripped from the reupload account.","417x417","","","https://drive.google.com/file/d/1oCHf9HgLqUTs9qV-csBl-uzuDZKLDJzp/view?usp=drive_link"
"Before Pink Guy","The Foreskin","Cover Art for ""The Foreskin"".
Ripped from the reupload account.","861x861","","","https://drive.google.com/file/d/1C9xBB8oSu5L6Ckmzvdd7cl-xuyhRyosF/view?usp=drive_link"
"Filthy Frank","@DizastaMusic - YouTube [Profile Picture #2/4]","Second Profile Picture of the DizastaMusic YouTube channel.
The channel later reverted back to this Profile Picture.","640x640","","","https://drive.google.com/file/d/1WOXEILN4gU6yQ5e9C9vNYjKVE46WQsld/view"
"JOJI [V1]","@jennyhashimoto - Vimeo [Profile Picture]","Profile Picture for the jennyhasimoto (橋本ジェニー) Vimeo account.","500x414","","","https://drive.google.com/file/d/1UWn_hUchhIjlzzd3Ajb_aaw8XUFeLK27/view?usp=drive_link"
"JOJI [V1]","@noodlemayne9005 - YouTube [Banner]","Banner for ""@noodlemayne9005"", one of Joji's personal YouTube accounts.","2555x1440","","","https://drive.google.com/file/d/1c6bGJ28JRGFltZtsZgNJQohTBxj_kr-v/view"
"JOJI [V1]","rei brown - Cobbled Stones (cover)
aka. Once In A While, Cobbled Stones","Cover Art attached to the OG File of ""Cobbled Stones (cover)"".","1435x1435","","","https://drive.google.com/file/d/1ibtzKs5mseMzM_CJiHqZzPzsJATQGnsH/view"
"JOJI [V1]","medicine beat","Cover Art for ""medicine beat"" on the jojikansai / PINK GUY SoundCloud account.
Created on July 6th, 2007.","860x1154","","","https://drive.google.com/file/d/179peYEbs0t3BBL8i-TFscwODSef4gecl/view?usp=drive_link"
"Jojivlogs","@jojivlogs - YouTube [Profile Picture #1]","Profile Picture for the jojivlogs YouTube account.","900x900*","","","https://drive.google.com/file/d/1eTIhfxvU6Ke7vUwKbKDt891dAO6bwVTx/view"
"Jojivlogs","@jojivlogs - YouTube [Profile Picture #2]","Profile Picture for the jojivlogs YouTube account.
This was changed to this after the channel was shut down.","808x807","","","https://drive.google.com/file/d/1YwMS396JLJ0mhusgnRne7o-4iYgq0t0S/view"
"Jojivlogs","@jojivlogs - YouTube [Banner #1]","First banner for the jojivlogs YouTube channel.","2560x1440","","","https://drive.google.com/file/d/1cgKoIno0m6KXHG_Vs0aYbKah65OcqSpC/view"
"Jojivlogs","@jojivlogs - YouTube [Banner #2]","Second banner for the jojivlogs YouTube channel.","2048x1152","","","https://drive.google.com/file/d/1A3n7wYWVRXMYzrNJDKXjaBFEXzwBkpTg/view"
"オメガピンク PinkΩmega","@pinkomega6154 YouTube [Profile Picture]","Profile Picture for the PinkOmega YouTube account.","309x308","","","https://drive.google.com/file/d/1aDuY_mvxvJ8ln2JFX4oZQFr2-tJEgbB7/view"
"オメガピンク PinkΩmega","@pinkomega6154 YouTube [Banner]","Banner for the PinkOmega YouTube channel.","2048x1152","George Miller","","https://drive.google.com/file/d/1iUK2i3QbtoMRQQVl4osbnifnp4SN4hx6/view"
"オメガピンク PinkΩmega","Dumplings
aka. Trap Dumplings","Cover Art for ""Dumplings"". Created on May 31st, 2015.","1125x720","George Miller","","https://drive.google.com/file/d/1UW22rlTFsomULVOuZHDWpZjKcS2dA81i/view"
"オメガピンク PinkΩmega","We Fall Again
aka. wefllagn.ii ５, Animal Man, wefllagn.ii (tinybeat)","Cover Art for ""We Fall Again"" on the PINK GUY SoundCloud.","252x252","","","https://drive.google.com/file/d/1ux3UYpiJySiIYribQFbn52S6oBqSaztA/view"
"Chloe Burbank Volume 1 [V2]","@CollegeFoodPorn - Youtube [Profile Picture]","Profile Picture for the ""anna gold / CollegeFoodPorn"" YouTube account.","445x444","","","https://drive.google.com/file/d/1m6-hSVVekqQC2jyPu_pj0mXl9Nr1TlUs/view"
"Chloe Burbank Volume 1 [V2]","@chloeburbank - SoundCloud [Profile Picture #1]","Original Profile Picture for the chloeburbank SoundCloud account.","461x432","","","https://drive.google.com/file/d/1M32DPEV11aKqLxevIXmhnHsoQqMS6UEo/view"
"Chloe Burbank Volume 1 [V2]","@chloeburbank - SoundCloud [Profile Picture #2]","Profile Picture for the chloeburbank SoundCloud account.
It is just the original Chloe Burbank Album Art.","1000x1000","George Miller","","https://drive.google.com/file/d/1vPKcOfdJFVxYtaHj6uFi-5yMUz1aBV80/view"
"Chloe Burbank Volume 1 [V2]","@chloeburbank - SoundCloud [Profile Picture #3]","Profile Picture for the chloeburbank SoundCloud account.","500x500*","","","/jojigold/art/chloeburbank-soundcloud-profile-picture-3.jpg"
"Chloe Burbank Volume 1 [V2]","@chloeburbank - SoundCloud [Profile Picture #4]","Profile Picture for the chloeburbank SoundCloud account.","500x500*","","","https://drive.google.com/file/d/1Sx06l1JvvoyRqUq6oPYJRnxhft0XT8FF/view?usp=drive_link"
