Era,Name,Notes,Length,Date,Type,Link(s)
,Chloe Burbank Volume 1 [V2],"(05/11/2014) (A ""JOJI"" album is announunced in the video ""CHIN CHIN IS NOT PLEASED"")
(??/??/2017) (Chloe Burbank is scrapped because of sample clearance issues and is then reworked into two seperate EPs, which later become Lost Instruments and In Tongues)",,,,
Chloe Burbank Volume 1 [V2],"#1
(prod. Thom Leaf)","AI fake that was tried to be passed off as real and tried to sell. Uses a
Joji type beat by Thom Leaf after many others were found to do the same.",,,AI,
Chloe Burbank Volume 1 [V2],Grow,Snippet sourced from DBREE before it's shut down.,,,Fake,
Chloe Burbank Volume 1 [V2],Leann Rimes,Snippet sourced from DBREE before it's shut down.,,,Fake,
Chloe Burbank Volume 1 [V2],"Nuthing
(prod. Thom)
aka. Tranquil","AI fake that ""DrunkSigh"" tried passing off as real and tried to sell. Uses
a Joji type beat by Thom after many others were found to do the same.",,,Fake,
Chloe Burbank Volume 1 [V2],Teardrops,"Extended version of the foie demo snippet that has
appeared in numerous Chloe Burbank compilations.
Shits peak though...",,,Edit,
Chloe Burbank Volume 1 [V2],They Don't Understand*,"Edit uploaded to YouTube by KΞNNY ØRTΞGΛ, claiming it was the
complete version. However, it is just an edit, not the original song.",2:50,,Edit,Link
Chloe Burbank Volume 1 [V2],"waste my time
(prod. Joji)
aka. i don't wanna waste my time","OG Filename: waste my time - 9.30.16, 5.22 PM
Edit of ""i don't wanna waste my time"" that was attempted to be passed off as real.
It has a few differences like a different pitch but it's essentially just the same song.",3:34,,Edit,
Chloe Burbank Volume 1 [V2],Winds,Snippet sourced from DBREE before it's shut down.,1:17,"May 10, 2022",Fake,
Chloe Burbank Volume 1 [V2],Chloe Burbank Volume 1 [Tracklist],"From a website which had an ""official"" tracklist from 2014, which
just ended up being a compilation of songs available at the time.",,2014,Rumor,
Chloe Burbank Volume 1 [V2],"serafim - Cold
(prod. audelio)","OG Filename: COLDFINALFORREALTHISTIME
Featured in numerous Chloe Burbank compilations since 2018.
However, it was quickly discovered that it was actually by serafim.",2:02,2014,Other Artist,Link
Chloe Burbank Volume 1 [V2],YungJorge - irememberwhyicalledthistrackwarmcoffee,"Sometimes confused with being a Joji song.
Later confirmed to be a song by YungJorge.",1:00,"Nov 23, 2015",Other Artist,Link
Chloe Burbank Volume 1 [V2],Yabujin - yellow.salt,"Song by Yabujin from 2016. It was mistaken as an official Joji song
during the Chloe Burbank era for sampling They Don't Understand*.",,2016,Other Artist,
,"PG3
aka. Pink Bungalow, Pink Finale","(01/04/2017) (Pink Season is released)
(12/29/2017) (Joji makes the announcement that he’s retiring from being Pink Guy)",,,,
PG3,Bungalow Hoes,Fake title that was attempted to be passed off as real for a short time.,,"Nov 26, 2021",Fake Title,
PG3,Redneck,Fake title that was attempted to be passed off as real for a short time.,,"Nov 26, 2021",Fake Title,
PG3,Salmon,Fake title that was attempted to be passed off as real for a short time.,,"Nov 26, 2021",Fake Title,
PG3,You Must Be Gay*,"A likely fake snippet to the ending of the track ""You Must Be Gay*"".",,,,
PG3,"???
aka. Oliver Tree - ???","OG Filename: e_1.mp3
OG Filename (Metadata): vocalremover.org — AI Vocal Remover and Isolation
Instrumental that was passed off as real and was attempted to be sold. Later undiscovered to just be an AI extracted instrumental was from an Oliver Tree song.
Didn't even sound like a Pink Guy instrumental at all anyways.",?:??,,Other Artist,
,In Tongues,"(10/27/2017) (Lost Instruments is released as promotion for In Tongues)
(11/03/2017) (In Tongues is released)",,,,
In Tongues,Thom [In Tongues Ver.],"Rumors of an ""In Tongues"" version of Thom existing was false information.",,Dec 2024,Rumor,
