Era,Name,Notes,Length,File Date,Leak Date,Type,Available,Quality,Link(s)
,"JOJI [V1]
aka. Chloe Burbank [V1]","(05/11/2014) (A ""JOJI"" project is announced, intended for release in the summer of 2014)
(01/13/2016) (Chloe Burbank Volume 1 is announced)",,,"Before the release of ""PINK GUY"" a ""JOJI"" album was announced in ""CHIN CHIN IS NOT PLEASED"". It was intended for release in the summer of 2014, and was said to have ""nearly everything we've heard before that wasn't on the Pink Guy album"". However, the project of course never ended up releasing in 2014, and was it later revamped and worked on further.",,,,
JOJI [V1],???,"Audio recording at the end of jojivlogs 1. Could have been an ending track / outro
to the album, much like ""Filthy"" and ""Pussy Tonight"" on the ""PINK GUY"" album.",0:04*,,"May 20, 2014",Outro,Full,High Quality,Link
JOJI [V1],???,"Audio recording at the end of jojivlogs 2. Could have been an ending track / outro
to the album, much like ""Filthy"" and ""Pussy Tonight"" on the ""PINK GUY"" album.",0:05*,,"May 27, 2014",Outro,Full,High Quality,Link
JOJI [V1],???,"Audio recording at the end of jojivlogs 3. Could have been an ending track / outro
to the album, much like ""Filthy"" and ""Pussy Tonight"" on the ""PINK GUY"" album.",0:03*,,"Jun 3, 2014",Outro,Full,High Quality,Link
,"Chloe Burbank Volume 1 [V2]
aka. JOJI [V2]","(01/13/2016) (Chloe Burbank Volume 1 is announced)
(12/26/2016) (Rollout for Chloe Burbank begins from 88rising)
(??/??/2017) (Chloe Burbank is scrapped and is then reworked into two seperate EPs)",,,"Two singles released a year later in 2015 with an announcement for ""Chloe Burbank Volume 1"" on social media. Joji began releasing more tracks on SoundCloud throughout the following years before signing to 88rising in hopes of releasing the project, but he was unfortunately met with sample clearance issues that he'd complain about on Twitter, and ultimately decided the decision to scrap the project, and began converting the project into a smaller EP.",,,,
Chloe Burbank Volume 1 [V2],"shamana - BOOMBOOMBOOM
(prod. shamana)","OG Filename: BOOMBOOMBOOM.wav
Beat of shamana's that leaked with a very similar filename of the original filename
for ""BESIDJU"". It's very unlikely that Joji ever recorded vocals for it or even touched it.",0:44,,"Apr 17, 2020",Beat,OG File,"Lossless
(6144kbps)",Link
,In Tongues,"(10/27/2017) (Lost Instruments is released as promotion for In Tongues)
(11/03/2017) (In Tongues is released)",,,"After scrapping most of ""Chloe Burbank Volume 1"", Joji began to work on converting the project into an EP for the following months, eventually becoming ""In Tongues"". Some reminants of the ""Chloe Burbank Volume 1"" project can be found throughout the EP, as ""Pills"" actually interpolates ""Thom"" from the previous project.",,,,
In Tongues,"Medasin - Untitled
(prod. Medasin)","OG Filename: MEDASIN melody loop jojichords 95 F#min.wav
Loop from Medasin that was posted in his Discord server and later to Splice. Unused.",0:10,,,Loop,Full,Lossless,Link
In Tongues,"Joji Boiler Room [Live Set]
(prod. Joji & rei brown)","OG Filename: Joji.mp3
Official Export from Boiler Room made some time after the show.",13:32,"July 10, 2017","Sep 19, 2017",Live Set,Full,"High Quality
(256kbps)",Link
In Tongues,"Will He [Teaser]
(prod. West1ne & Joji)","OG Filename: will he teas.aif
Teaser for ""Will He"" that was released on Joji's SoundCloud.",0:35,,"Oct 17, 2017",Teaser,Full,"High Quality
(256kbps)",Link
,BALLADS 1,"(11/03/2017) (In Tongues is released)
(10/26/2018) (BALLADS 1 is released)",,,"After the release of the ""In Tongues"" EP. Joji began to work on his next project, his first full length album under Joji, which he would work on alongside the ""Head In The Clouds"" project. Joji would begin working with a lot more producers and artists, and do lots of live shows while working on the project, even performing unfinished versions of songs.",,,,
BALLADS 1,"✨ I'LL SEE YOU IN 40 [Teaser]
(prod. Joji)","Previewed on Joji’s Instagram account just days before the release of BALLADS 1.
Nothing is currently known about it besides that it has a changed pitch and speed.
It could just be that the song was edited only for the intention of the Instagram post.",0:17,,"Oct ??, 2018",Teaser,Full,Recording,Link
,Nectar,"(10/26/2018) (BALLADS 1 is released)
(08/25/2020) (Nectar is finished)
(09/25/2020) (Nectar is released)",,,"After the release of the ""BALLADS 1"" project, Joji would begin working with more and more producers and writers, and eventually leaving behind the lofi & trap sounds that many of us became used to over the years. There was lots of marketing in between the releases, which made the project very memorable as well. The project was announced on April 17th 2020, and was planned for release on July 10th 2020. However, on June 12th 2020, Joji announced that the album had been delayed to September 25th, 2020, citing the COVID-19 pandemic. A month after the project's release, Joji would do a paid virtual live stream titled ""The Extravaganza"" with live perfomances and comedic skits.",,,,
Nectar,Like You Do [Visualizer Proposal],,,,,Proposal,Full,High Quality,
Nectar,"pretty boy [Teaser]
(prod. Patrick Wimberly, John Durham & Joji)","Teaser for ""Pretty Boy"". The version used in the teaser didn't feature Lil Yachty.
The song was seemingly not intended for the album until Lil Yachty featured on it.",1:00,,"Apr 9, 2020",Teaser,Full,High Quality,Link
