Era,Name,Notes,Length,Date Made,Type,Available Length,Quality,Link(s)
,Before Pink Guy,"(??/??/2008) (George produces his first beat in GarageBand)
(12/06/2012) (George starts releasing music under Pink Guy)",,"This era contains all of Joji's music before he started making music with the
Pink Guy character. He first went by ""MC George"" in the video ""Greatest Song Ever"" before he performed with the rap group Beats N' Baby Miso, which was when he started going by ""MC Rukuss"". He would create his first ""song"" with the Filthy Frank character in the video ""ASIAN NERD RAPS"" and another year later he created a SoundCloud account where he published songs under ""LIL D"".",,,,
,Interviews,,,,,,,
Before Pink Guy,Documentary-George Miller,Released on Alex Hirota's Vimeo account.,14:25,"May 8, 2012",Documentary,No,,Link
,Features With George,,,,,,,
Before Pink Guy,THis is just the beginning,"A video posted on Rei Brown's old FaceBook page with George.
Posted in the ""APAC Choir 2010"" Facebook group.",1:07,"Feb 18, 2011",Feature,No,,Link
Before Pink Guy,"Breach - WOFGA Production
aka. Listen","Uploaded to Raymond Lin's YouTube channel for a school project.
Features an unreleased song from George as the background music for the film.",2:12,"Apr 12, 2011",School Project,No,,Link
,JOJI [V1],"(05/11/2014) (A ""JOJI"" album is announced in the video ""CHIN CHIN IS NOT PLEASED"" and was intended for release in the Summer of 2014)",,"Before the release of ""PINK GUY"", a ""JOJI"" album was mentioned in the video ""CHIN CHIN IS NOT PLEASED"". Intended for release in the summer of 2014, said to have nearly everything that we've heard before that wasn't on ""PINK GUY"". However, the project of course never ended up releasing in 2014, and was it later revamped and worked on further.

Note: The cover art used is from 'medicine beat' on the pinkomega SoundCloud.",,,,
JOJI [V1],"lov u [Visualizer]
aka. Sure Thing (Remix)","Partial Visualizer for ""lov u"".
Released on the ""jennyhashimoto / 橋本ジェニー"" Vimeo account.
Reuses some shots from ""jojivlogs 1"".",1:12,"Nov 19, 2014",Visualizer,No,,Link
,In Tongues,"(10/27/2017) (Lost Instruments is released as promotion for In Tongues)
(11/03/2017) (In Tongues is released)",,"After scrapping most of ""Chloe Burbank Volume 1"", Joji began to work on converting the project into an EP for the following months, eventually becoming ""In Tongues"". Some reminants of the ""Chloe Burbank Volume 1"" project can be found throughout the EP, as ""Pills"" actually interpolates ""Thom"" from the previous project.",,,,
,Teasers,,,,,,,
In Tongues,this is ... in tongues by joji ---- november third,"A teaser for ""In Tongues"" that was uploaded a few days before the EP's release.
Has ""nightmares of the invertebre"" playing in the background, which was released a few days prior on the ""Lost Instruments"" EP.",0:32,"Oct 29, 2017",Teaser,No,,Link
In Tongues,"Window [Music Video Teaser]
(dir. BRTHR) 
aka. window (soon)","Teaser for the music video of ""Window"".",0:51,"Nov 15, 2017",Teaser,No,,Link
,"Head In The Clouds
aka. 88 Degrees and Rising","(05/07/2018) (Sean Miyashiro announces the Head In The Clouds album)
(09/22/2018) (Head In The Clouds is released)",,"The first collaborative project between all of the artists that are signed to 88rising's label. Joji would work on the ""Head In The Clouds"" project alongside working on his first full length album under Joji. This project would influence Joji to begin working on more pop songs, which is very distinct in his songs that would follow after ""BALLADS 1"".",,,,
,Teasers / Trailers,,,,,,,
Head In The Clouds,88rising - Midsummer Madness [Teaser],"Teaser for ""Midsummer Madness"". Previewed on 88rising's Twitter. Uses an earlier mix.",0:28,"May 17, 2018",Teaser,No,,Link
,BALLADS 1,"(11/03/2017) (In Tongues is released)
(10/26/2018) (BALLADS 1 is released)",,"After the release of the ""In Tongues"" EP. Joji began to work on his next project, his first full length album under Joji, which he would work on alongside the ""Head In The Clouds"" project. Joji would begin working with a lot more producers and artists, and do lots of live shows while working on the project, even performing unfinished versions of songs.",,,,
,Teasers / Trailers,,,,,,,
BALLADS 1,😈😈🤑,"A teaser for the ""BALLADS 1"" album released on Joji's Instagram.
Uses slowed down versions of YEAH RIGHT and Once In A While as BGM.",0:48,"Jul 17, 2018",Teaser,No,,Link
,Nectar,"(10/26/2018) (BALLADS 1 is released)
(09/25/2020) (Nectar is released)",,"After the release of the ""BALLADS 1"" project, Joji would begin working with more and more producers and writers, and eventually leaving behind the lofi & trap sounds that many of us became used to over the years. There was lots of marketing in between the releases, which made the project very memorable as well. The project was announced on April 17th 2020, and was planned for release on July 10th 2020. However, on June 12th 2020, Joji announced that the album had been delayed to September 25th, 2020, citing the COVID-19 pandemic. A month after the project's release, Joji would do a paid virtual live stream titled ""The Extravaganza"" with live perfomances and comedic skits.",,,,
,Teasers,,,,,,,
Nectar,crash_landing.mp4,A deleted video from Joji's Youtube account.,0:13,,Teaser,No,,Link
Nectar,Gimme Love [Teaser],"A deleted teaser for ""Gimme Love"" from Joji’s Facebook account.
Only a low quality screen-recorded video is currently available.",0:30,2020,Teaser,No,,Link
,SMITHEREENS,"(09/25/2020) (Nectar is released)
(11/04/2022) (SMITHEREENS is released)",,"After the release of ""Nectar"" and after the ""Nectar: The Finale"" tour had concluded, there was hiatus from Joji for six months before the release of the lead single ""Glimpse of Us"" which leaked days prior to the song's announcement, with the ""SMITHEREENS"" album releasing a few months later. The project has two discs, the first disc includes songs that Joji only wrote on and sang, but the second disc starts off with ""NIGHT RIDER"" which switches up the flow of the project, going from melancholic ballads to a trap beat with electronic-like elements. Sadly, the project continues with more songs that Joji only wrote on and sang like ""1AM FREESTYLE"", with the exception of ""YUKON (INTERLUDE)"".",,,,
,Miscellaneous,,,,,,,
SMITHEREENS,Joji [Apple Music Banner],Banner for Joji's Apple Music Profile.,0:30,2022,Banner,Yes,,Link
,Promotional Media,,,,,,,
