Era,Name,Notes,Length,File Date,Leak Date,Type,Available,Quality,Link(s)
Piss In The Wind,LOVE YOU LESS (Live Version),"Live Version of ""LOVE YOU LESS"". Performed at the Prudential Center in Newark, NJ.",?:??,,"Jun 16, 2026",Live Ver.,Full,Recording,Link Needed
Piss In The Wind,Sojourn (Live Version),"Live Version of ""Sojourn"". Performed at the Prudential Center in Newark, NJ.",?:??,,"Jun 16, 2026",Live Ver.,Full,Recording,Link Needed
Piss In The Wind,PIXELATED KISSES (Live Version),"Live Version of ""PIXELATED KISSES"". Performed at the Prudential Center in Newark, NJ.",?:??,,"Jun 16, 2026",Live Ver.,Full,Recording,Link Needed
Piss In The Wind,Ew x Sojourn,"OG Filename: Ew + Sojourn
Mashup used in a SOLARIS tour promotional video released on March 17th, 2026.
A full length mashup of the two tracks was never made however.",0:35,,"May 20, 2026",Mashup,OG File,Lossless,Link Needed
Piss In The Wind,Dissolve x Hotel California,"OG Filename: Dissolve + Hotel California
Mashup used in a SOLARIS tour promotional video released on May 20th, 2026.
A full length mashup of the two tracks was never made however.",0:36,,"May 20, 2026",Mashup,OG File,Lossless,Link Needed
Piss In The Wind,Glimpse of Us x PIXELATED KISSES,"OG Filename: Glimpse of Us + PIXELATED KISSES
Mashup used in a SOLARIS tour promotional video released on March 6th, 2026.
A full length mashup of the two tracks was never made however.",0:33,,"Mar 6, 2026",Mashup,OG File,Lossless,Link Needed
Piss In The Wind,"If It Only Gets Better (Interlude)
(prod. Wonton & Joji)","Interlude version made for the SOLARIS show in Newark, New Jersey.
Pretty much the same thing as the actual release.",1:15,,"Jun 16, 2026",Live Ver.,Full,High Quality,Link Needed
Piss In The Wind,"Rain On Me (Interlude)
(prod. Joji)","Interlude version made for the SOLARIS show in Newark, New Jersey.
This version doesn't have the second part / the outro like on SoundCloud.",2:25,,"Jun 16, 2026",Live Ver.,Full,High Quality,Link Needed
Piss In The Wind,"Reanimator (Interlude)
(prod. Reske & Yves Tumor)","Interlude version made for the SOLARIS show in Newark, New Jersey.
This version has additional guitar but doesn't include Joji's verse.",1:40,,"Jun 16, 2026",Live Ver.,Full,High Quality,Link Needed
Nectar,⭐️ Focus,"OG Filename: Focus - Joji - FR Ruff 2.mp3
OG Filename (Metadata): Focus
Leaked after a groupbuy was completed on May 14th, 2026.",3:18,2019,"May 14, 2026",Throwaway,OG File,CD Quality,Link
Nectar,"Lone Ranger [OG Bounce]
(ref. Trey Campbell) (writ. Trey Campbell)","OG Filename: Joji - Lone Ranger RUFF1.1.mp3
OG Filename (Metadata): Lone Ranger (Trey Campbell Topline)
Original Bounce for ""Lone Ranger"". Leaked as a bonus to a groupbuy on May 14th, 2026.
Encoded by Logic Pro X 10.4.6, which released on July 9th, 2019.",2:42,2019,"May 14, 2026",Demo,OG File,CD Quality,Link
Nectar,⭐️ Bad Feelings [OG Bounce],"OG Filename: Bad Feelings.mp3
A scrapped song that was recorded sometime in 2019. It was bounced again sometime later in 2021, and forceleaked on January 26th, 2024, with the OG file leaking as part of a Groupbuy bonus on May 12th, 2026. It's a pretty different style to a lot of Joji's other work. He also has a rap-like verse on the track as well.",2:48,2019,"May 12, 2026",Throwaway,OG File,CD Quality,Link
