Era,Name,Notes,Length,File Date,Leak Date,Type,Available,Quality,Link(s)
,Before Pink Guy,"(??/??/2008) (George produces his first beat in GarageBand)
(12/06/2012) (George starts releasing music under Pink Guy)",,,"This era contains all of Joji's music before he started making music with the 
Pink Guy character. He first went by ""MC George"" in the video ""Greatest Song Ever"" before he performed with the rap group Beats N' Baby Miso, which was when he started going by ""MC Rukuss"". He would create his first ""song"" with the Filthy Frank character in the video ""ASIAN NERD RAPS"" and another year later he created a SoundCloud account where he published songs under ""LIL D"".",,,,
Before Pink Guy,"Greatest Song Ever [Instrumental]
(prod. SINIMA BEATS)
aka. The Greatest Song Ever","OG Filename: SINIMA BEATS - Listen Close (Instrumental 82.5 bpm).mp3
Instrumental for ""Greatest Song Ever"". Released on the producer's SoundCloud.",4:19,,"Jan 28, 2013",Instrumental,Full,High Quality,Link
Before Pink Guy,"Waffle House In Guam [Instrumental]
(prod. Allrounda Beats)","OG Filename: For My Mother.m4a
OG Filename (Metadata): For My Mother
Instrumental for ""Waffle House In Guam"". Released on the producer's SoundCloud.",4:02,"Aug 14, 2011","Oct 16, 2013",Instrumental,Full,"High Quality
(256kbps)",Link
"7 Full
0 Tagged
1 Partial
0 Snippet
0 Unavailable",In Tongues,"(10/27/2017) (Lost Instruments is released as promotion for In Tongues)
(11/03/2017) (In Tongues is released)",,,"After scrapping most of ""Chloe Burbank Volume 1"", Joji began to work on converting the project into an EP for the following months, eventually becoming ""In Tongues"". Some reminants of the ""Chloe Burbank Volume 1"" project can be found throughout the EP, as ""Pills"" actually interpolates ""Thom"" from the previous project.",,,,
,Acapellas,,,,,,,,
In Tongues,"Bitter Fuck [Acapella] [V1]
aka. Bitter","OG Filename: 1 bitter fuck vocals.aif
Official Acapella for ""Bitter Fuck"".",2:34,"Aug 16, 2017","Mar 5, 2024",Acapella,OG File,Lossless,Link
In Tongues,"Bitter Fuck [Acapella] [V2]
aka. Bitter","OG Filename: bitter fuck vocals.aif
Official Acapella for ""Bitter Fuck"". This version has a fade in vocal at the second chorus.",2:34,"Oct 21, 2017","Mar 5, 2024",Acapella,OG File,Lossless,Link
,Instrumentals,,,,,,,,
In Tongues,"Will He [Instrumental]
(prod. West1ne & Joji)
aka. Will He?","OG Filename: will he (rough instrumental).mp3
Official Instrumental for ""Will He"". The audio quality is only 96kbps.",2:44,"Nov 15, 2017","Mar 5, 2024",Instrumental,OG File,Low Quality,Link
In Tongues,"Pills [Instrumental]
(prod. Joji)","OG Filename: pills inst.mp3
Official Instrumental for ""Pills"".",3:11,"Nov 15, 2017","Mar 5, 2024",Instrumental,OG File,High Quality,Link
In Tongues,"Demons [Instrumental]
(prod. Joji)","OG Filename: demons inst.mp3
Official Instrumental for ""Demons"".",2:56,"Nov 15, 2017","Mar 5, 2024",Instrumental,OG File,High Quality,Link
In Tongues,"Bitter Fuck [Instrumental]
(prod. Joji)
aka. Bitter","OG Filename: joji bitter fuck 3instru.wav
Official Instrumental for ""Bitter Fuck"".",2:34,"Oct 21, 2017","Mar 5, 2024",Instrumental,OG File,Lossless,Link
,Stems,,,,,,,,
In Tongues,"Window [Stems]
(prod. Joji)
aka. Antidote","OG Filename: ANTIDOTE STEMS.zip
Official Stems for ""Antidote"". Seen on an Instagram Story from Joji on June 29th, 2017.
Partially leaked on December 24th, 2025.",,,"Dec 24, 2025",Stems,Partial,Lossless,Link
In Tongues,"Bitter Fuck [Stems]
(prod. Joji)
aka. Bitter","OG Filename: bitter fuck.zip
Official Stems for ""Bitter Fuck"" which includes everything used in the song.
The zip file with the stems was seen on Joji's laptop in his VICE interview.",2:34,"Aug 16, 2017","Mar 5, 2024",Stems,OG File,Lossless,Link
"4 Full
0 Tagged
1 Partial
0 Snippet
2 Unavailable",BALLADS 1,"(11/03/2017) (In Tongues is released)
(10/26/2018) (BALLADS 1 is released)",,,"After the release of the ""In Tongues"" EP. Joji began to work on his next project, his first full length album under Joji, which he would work on alongside the ""Head In The Clouds"" project. Joji would begin working with a lot more producers and artists, and do lots of live shows while working on the project, even performing unfinished versions of songs.",,,,
BALLADS 1,"SLOW DANCING IN THE DARK [Instrumental]
(prod. Joji & Patrick Wimberly)
aka. SLOW DANCE IN THE DARK","Official Instrumental for ""SLOW DANCING IN THE DARK"".",3:29,,"Nov 28, 2018",Instrumental,Full,High Quality,Link
BALLADS 1,"YEAH RIGHT [Instrumental]
(prod. Joji)","Official Instrumental for ""YEAH RIGHT"". Used as background music in a video.",,,,Instrumental,Confirmed,Unavailable,Video
BALLADS 1,"NO FUN [Instrumental]
(prod. Jam City)","Official Instrumental for ""NO FUN"". Hosted on the website DIGTRACKS.com.",2:48,,"Dec 30, 2020",Instrumental,Full,CD Quality,Link
BALLADS 1,"R.I.P. [Instrumental]
(prod. Ryan Hemsworth & Joji)","Official Instrumental for ""R.I.P."". Previewed in a video on 88rising's YouTube channel.",,,,Instrumental,Partial,High Quality,Link Needed!
BALLADS 1,"XNXX [Instrumental]
(prod. John Durham & Joji)","Official Instrumental for ""XNXX"" is said to have surfaced long ago but was lost.",,,,Instrumental,Rumored,Unavailable,
BALLADS 1,"SLOW DANCING IN THE DARK (Loud Luxury Remix) [Instrumental]
(prod. Loud Luxury)","Official Instrumental for ""SLOW DANCING IN THE DARK (Loud Luxury Remix)"".",2:56,,,Instrumental,Full,High Quality,Link
BALLADS 1,"RL Grime - OMG [Instrumental]
(prod. RL Grime, Diplo & Boaz van de Beatz)","OG Filename: 06 RL Grime - OMG (Instrumental).wav
Official Instrumental for ""OMG"" by RL Grime. Released onto streaming.",3:16,,"May 10, 2019",Instrumental,Full,Lossless,Link
"14 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable","Head In The Clouds II
aka. Head In The Clouds 2","(09/22/2018) (Head In The Clouds is released)
(10/11/2019) (Head In The Clouds II is released)",,,"The first collaborative project between the artists signed to 88rising.
Joji was also the album's executive producer.",,,,
,Instrumentals,,,,,,,,
Head In The Clouds II,"Breathe [Instrumental]
(prod. DVBBS, Diamond Pistols, Don Krez & Flosstradamus)","Official Instrumental for ""Breathe"". Hosted on the website DIGTRACKS.com.",2:05,,"Sep 14, 2019",Instrumental,Full,CD Quality,Link
Head In The Clouds II,"Walking [Instrumental]
(with. Jackson Wang) (prod. Major Lazer & 1Mind)","Official Instrumental for ""Walking"". Hosted on the website DIGTRACKS.com.",2:47,,"Oct 12, 2019",Instrumental,Full,CD Quality,Link
,Sessions,,,,,,,,
Head In The Clouds II,"Lovin You [Sessions]
(prod. Aryay)
aka. Loving You","Ableton Sessions for ""Lovin' You"".",N/A,"Nov 2, 2018","Mar 29, 2026",Sessions,OG File,Lossless,
Head In The Clouds II,"Skeletons [Sessions]
(prod. Aryay)","Ableton Sessions for ""Skeletons"".",N/A,"Nov 2, 2018","Mar 29, 2026",Sessions,OG File,Lossless,
Head In The Clouds II,"Victor Sesh [Sessions]
(prod. Aryay)
aka. Victor","Ableton Sessions for ""Victor Sesh"".",N/A,"Nov 2, 2018","Mar 29, 2026",Sessions,OG File,Lossless,
Head In The Clouds II,"Who Made You [Sessions]
(prod. Aryay)
aka. God Complex","Ableton Sessions for ""Who Made You"".",N/A,"Nov 2, 2018","Mar 29, 2026",Sessions,OG File,Lossless,
,Unreleased Instrumentals,,,,,,,,
Head In The Clouds II,"Lovin' You [Instrumental] [V1]
(prod. Aryay)
aka. Loving You","OG Filename: Rock vibes 78 BPM trap drums.wav
Original Beat for ""Lovin' You"".",0:49,,"Mar 29, 2026",Instrumental,OG File,"Lossless
(2116kbps)",Link
Head In The Clouds II,"Lovin' You [Instrumental] [V2]
(prod. Aryay)
aka. Loving You","OG Filename: Loving You - Inst 78 (11.02.18).mp3
Instrumental for ""Lovin' You"".",1:16,"Nov 2, 2018","Mar 29, 2026",Instrumental,OG File,CD Quality,Link
Head In The Clouds II,"Skeletons [Instrumental] [V1]
(prod. Aryay)","OG Filename: Skeletons instru.mp3
Original Instrumental for ""Skeletons"".",1:43,2018,"Mar 29, 2026",Instrumental,OG File,CD Quality,Link
Head In The Clouds II,"Skeletons [Instrumental] [V2]
(prod. Aryay)","OG Filename: Skeletons - Inst 100 (11.02.18).mp3
Instrumental for ""Skeletons"".",1:16,"Nov 2, 2018","Mar 29, 2026",Instrumental,OG File,CD Quality,Link
