Era,Title,Notes,Length,Reveal Date,Release Date,Type,Image,Link(s)
JOJI [V1],JOJI,"Joji confirmed in YouTube comments that ""They Don't Understand"" will be on the album.

?. They Don't Understand*
?. Jungle Boy Pt. 2",,,,,,
Chloe Burbank Volume 1 [V2],Chloe Burbank Volume 1,"?. Thom
?. you suck charlie
?. Miles
?. Rajvi",,,,,,
Lost Instruments,Lost Instruments,"1. diamondsonmydick
2. Amazonian Pet
3. nightmares of the invertebre",4:43,,"Oct 27, 2017",EP,,
In Tongues,In Tongues,"1. Will He
2. Pills
3. Demons
4. Window
5. Bitter Fuck
6. worldstar money (interlude)",16:29,,"Nov 3, 2017",EP,,
In Tongues (Deluxe),In Tongues (Deluxe),"The remix of ""Window"" on the deluxe version is not actually the remix,
and is actually an early version of his own song ""Fire and Light"".

1. Will He
2. Pills
3. Demons
4. Window
5. Bitter Fuck
​6. worldstar money (interlude)
7. ​Plastic Taste
8. I Don't Wanna Waste My Time
9. Will He (Medasin Remix)
10. Will He (Ryan Hemsworth Remix)
11. Demons (Lapalux Remix)
12. Demons (Lunice Remix)
13. Window (Actress Remix)
14. Pills (HWLS Remix)
15. Bitter Fuck (salute Remix)
16. I Don't Wanna Waste My Time (SwuM Remix)",54:16,,"Feb 14, 2018",Deluxe,,
Green Echo,Green Echo,?. Once In A While,,,,,,
Head In The Clouds,Head In The Clouds,"1. La Cienega
2. Red Rubies
3. Swimming Pool
4. Peach Jam
5. Midsummer Madness
6. Plans (feat. Vory)
7. History
8. Lover Boy 88
9. Poolside Manor
10. Beam (feat. Playboi Carti)
11. Let It Go
12. Disrespectin
13. Warpaint
14. I Want In
15. Japan 88
16. Nothing Wrong (feat. GoldLink)
17. Head In The Clouds",56:04,,"Jul 20, 2018",Album,,
BALLADS 1,BALLADS 1,"1. ATTENTION
2. SLOW DANCING IN THE DARK
3. TEST DRIVE
4. WANTED U
5. CAN'T GET OVER YOU (feat. Clams Casino)
6. YEAH RIGHT
7. WHY AM I STILL IN LA (feat. Shlohmo & D33J)
8. NO FUN
9. COME THRU
10. R.I.P. (feat. Trippie Redd)
11. XNXX
12. I'LL SEE YOU IN 40",35:06,,"Oct 26, 2018",Album,,
Head In The Clouds II,Head In The Clouds II,"1. These Nights
2. Strange Land
3. Need Is Your Love
4. Tequila Sunrise (feat. AUGUST 08 & GoldLink)
5. Walking (feat. Swae Lee & Major Lazer)
6. Breathe
7. Shouldn't Couldn't Wouldn't
8. Just Used Music Again
9. Indigo
10. Hopscotch (feat. Barney Bones & Rich Brian)
11. Calculator
12. La La Lost You
13. Hold Me Down
14. I Love You 3000 II
15. 2 The Face
16. Gold Coast",51:16,,"Oct 11, 2019",Album,,
Nectar,Nectar [V1],"Pretty Boy wasn't originally going to be on the album, and was only intended for promotion,
as the description for the video said ""NOT SONG"". However, after Lil Yachty's reaction to the song
on Twitter, he likely got on the song afterwards. The final version of ""Afterthought"" was also not 
done until sometime after August 17th, 2020.

1. Ew
2. MODUS
3. Tick Tock
4. Daylight
5. Upgrade
6. Gimme Love
7. Run
8. Sanctuary
9. High Hopes (feat. Omar Apollo)
10. NITROUS
11. ???
12. Normal People (feat. rei brown)
13. ???
14. Mr. Hollywood
15. 777
16. Reanimator (feat. Yves Tumor)
17. Like You Do
18. Your Man",,,"Jul 10, 2020",Album,,
Nectar,Nectar [V2],"1. Ew
2. MODUS
3. Tick Tock
4. Daylight
5. Upgrade
6. Gimme Love
7. Run
8. Sanctuary
9. High Hopes (feat. Omar Apollo)
10. NITROUS
11. Pretty Boy (feat. Lil Yachty)
12. Normal People (feat. rei brown)
13. Afterthought
14. Mr. Hollywood
15. 777
16. Reanimator (feat. Yves Tumor)
17. Like You Do
18. Your Man",53:14,,"Sep 25, 2020",Album,,
SMITHEREENS,SMITHEREENS,"DISC 1:
1. Glimpse of Us
2. Feeling Like The End
3. Die For You
4. Before The Day Is Over
5. Dissolve
DISC 2:
6. NIGHT RIDER
7. BLAHBLAHBLAH DEMO
8. YUKON (INTERLUDE)
9. 1AM FREESTYLE",24:19,,,Should've Been An EP,,
