Era,Name,Notes,Length,File Date,Leak Date,Type,Available,Quality,Link(s)
"0 Full
0 Tagged
1 Partial
0 Snippet
0 Unavailable",Before Green Echo,(??/??/????) (George and Ray begin making music together throughout middle school and high school),,,,,,,
Before Green Echo,"rei brown - ???
(prod. rei brown)
aka. Kusonoki*","From the video ""FILTHY FRANK & FRIENDS BLOOPERS AND OUTTAKES"".
Recorded and produced by Ray, telling George to wash his belly button.",,,"Mar 14, 2013",Demo,Partial,High Quality,"Snippet #1
Snippet #2"
"1 Full
0 Tagged
1 Partial
0 Snippet
5 Unavailable","George Miller
aka. MC George","(??/??/2008) (George produces his first beat in GarageBand)
(??/??/2010) (George begins performing with Beats N' Miso)",,,"This era contains all of Joji's music before he started making music with the 
Pink Guy character. He first went by ""MC George"" in the video ""Greatest Song Ever"" before he later performed with the rap group Beats N' Baby Miso, which was when he started going by ""MC Rukuss"". In interviews, he stated that he started creating his first songs when he was 16, which would've been in 2008. He only ever released one song under the ""MC George"" name. He would also be in ""BUSHIDO"", which was uploaded to his friend's channel.",,,,
George Miller,"🏆 A Milli (Lil Wayne Cover)
(prod. George Miller)","In an interview with HYPEBEAST, Joji mentioned that the first beat he
ever produced was a recreation of the beat from ""A Milli"" by Lil Wayne.
He stated that he whispered real low when recording the ""A Milli"" loop.",,2008,,Cover,Confirmed,Unavailable,Interview
George Miller,"Bleep Blap
(prod. George Miller)
aka. Onigiri, Rice Balls","Rumored Filename: bleep blap
From the video ""PINK GUY DANCE"" and a Vine. This version doesn't have any vocals.
Joji mentioned in a tweet that he made the beat in a day when he was 16 years old.",,2008,"Oct 1, 2013",Beat,Partial,High Quality,"Snippet #1
Snippet #2"
George Miller,"🏆 ???
(prod. George Miller)
aka. Pretty Boy*","In an interview with Schön! on July 17th 2020, Joji says that one of the yet to be announced tracks on Nectar was produced by him when he was only sixteen years old. The song Joji was talking about during the interview may have been ""Pretty Boy"".
Possibly in circulation, as skyupsahl claimed to have the original beat of the song.",,2008,,Beat,Confirmed,Unavailable,Interview
George Miller,"???
(prod. George Miller)",George produced 3 of the beats performed with Beats N' Miso in 2010.,1:16,,,Beat,Confirmed,Unavailable,
George Miller,"???
(prod. George Miller)",George produced 3 of the beats performed with Beats N' Miso in 2010.,1:12,,,Beat,Confirmed,Unavailable,
George Miller,"???
(prod. George Miller)",George produced 3 of the beats performed with Beats N' Miso in 2010.,0:47,,,Beat,Confirmed,Unavailable,
George Miller,"SINIMA BEATS - Listen Close
(prod. SINIMA BEATS)
aka. Greatest Song Ever, The Greatest Song Ever","Original Beat that was used in ""Greatest Song Ever"" by MC George.
Uploaded to the SINIMA BEATS SoundCloud account on January 28th, 2013.",4:19,,,Beat,Full,High Quality,
"5 Full
0 Tagged
2 Partial
1 Snippet
9 Unavailable","MC Rukuss
aka. Russ Ruckus","(??/??/2010) (George begins performing with Beats N' Miso)
(07/20/2010) (The ""RukussMC"" YouTube channel is created)
(??/??/2010) (George stops performing with Beats N' Miso)
(??/??/2013) (George privates all videos on the ""RukussMC"" channel)",,,"Sometime between early to mid 2010, George would go under the alias of ""MC Rukuss"". He created a YouTube channel under that name and uploaded several skits and songs. During that time, he briefly joined a local Hip-Hop group named ""Beats N' Miso"" and performed with them throughout 2010. Between 2010 and 2011, he changed his alias to ""Russ Rukuss"". In 2013, he privated all videos on the ""RukussMC"" YouTube channel.",,,,
MC Rukuss,"🏆 Blind Man (Remix)
(prod. George Miller)","Remix of ""Blind Man"" by Little Milton. Taken from ""ANIME HUNTER - CHIN CHIN ARRIVES""  and ""Black People Don't Let Me Freestyle"". The drums are reused in ""OSAMA IS DEAD"".",,2011,"Aug 20, 2011",Remix,Partial,High Quality,"Snippet #1
Snippet #2"
MC Rukuss,🏆 Broken Neck,"Uploaded to the RukussMC YouTube account sometime between 2010 - 2012.
Discovered in an old YouTube dataset. Released under the alias ""Russ Ruckus"".",1:34,,2010 - 2012,Throwaway,Confirmed,Unavailable,
MC Rukuss,"🏆  Dreamy (J Dilla Cover)
(prod. MC Rukuss)","Uploaded to the RukussMC YouTube account sometime between 2010 - 2012.
Discovered in an old YouTube dataset.",1:28,,2010 - 2012,Cover,Confirmed,Unavailable,
