"Era","Name","Notes","Track Length","File Date","Leak Date","Available Length","Quality","Link(s)"
"Goodbye & Good Riddance","⭐ Switch
(prod. Nick Mira)
(Never Switch, Cradle)","OG Filename: Switch
One of the most highly anticipated Juice WRLD songs of all time, recorded alongside ""Whatever,"" ""Psychedelic,"" and ""I'm Still."" Previewed twice fully by Juice WRLD in an Instagram live on February 17th, 2018. A high quality VC recording leaked on July 19th, 2025. Another recording leaked on November 28th, 2025. Distorted HQ snippet leaked on January 17th, 2026. Another HQ snippet leaked on January 26th, 2026, and Cold shared an 18 second one on January 28th, 2026. 1:19 recording shared by Cold on February 5th, 2026. Finally leaked on May 31st, 2026. OG File leaked on June 5th, 2026.","3:31","Feb 17, 2018","May 31, 2026","OG File","High Quality","https://lastshare.org/share/80HFo1BR4bG3TDz
https://pixeldrain.com/u/5enMCc4c"
"Goodbye & Good Riddance","⭐️ Listen To This If You're Lost
(prod. DT & Nick Mira)
(Toxic Humans, Contemplating, Made Me Whole)","OG Filename: LISTEN TO THIS IF YOU'RE LOST (MIX 1) 170bpm
By far the most wanted Juice WRLD song. Initially previewed by Juice during an Instagram live, and a Twitter live, on April 14th, 2018. @vaultofjuice previewed the song again during an Instagram live on March 19th, 2025. 2 short LQ snippets surfaced due to drama on June 13th, 2025. A VC recording leaked on November 28th, 2025. A screenshot of the session folder revealing the title and date for the song leaked on Janaury 25th, 2026. A HQ snippet was shared by Cold the day after, and another slightly extended LQ recording leaked a couple hours later. Another longer HQ snippet was shared by Cold on January 27th, 2026. Yet another HQ snippet leaked the day after that. 1:21 recording shared by Cold on February 5th, 2026. Cold played the song once more in a VC the day after. Finally leaked in full alongside the session on May 31st, 2026. Among the Top 10 songs chosen by fans during the voting for the deluxe edition of The Party Never Ends.","2:57","Apr 14, 2018","May 31, 2026","OG File","Lossless","https://lastshare.org/share/zk5NIXHY4JsVSjF
https://pixeldrain.com/u/G5cZTdPM"
"The Outsiders","🥇 Timezone*
(prod. Richie Souf)
(Inspired Us)","Throwaway previewed nearly in full by Max Lord during an Instagram live on May 11th, 2023. Played very briefly during a Discord stage event on October 22nd, 2025. A snippet of the footage for the song leaked on March 23rd, 2026. Full footage leaked on May 21st, 2026.","N/A","Mar 2019","","Partial","Recording","https://lastshare.org/share/v3PDyjAn3yoaCaQ"
"The Outsiders","Glo Limit*
(with Chief Keef)","Collaboration between Chief Keef & Juice WRLD. Initially previewed by @vaultofjuice during an Instagram live on March 19th, 2025. A snippet of the footage for the song leaked on February 4th, 2026, and the full footage leaked on March 23rd, 2026. A short HQ snippet leaked on May 15th, 2026.","N/A","Aug 29, 2019","","Partial","Recording","https://lastshare.org/share/bHkLSHeQ3zxdOSn"
"The Outsiders","🥇 Murciélago*
(prod. CuBeatz & Gezin)","Throwaway initially previewed in two Instagram stories on June 4th, 2019, where Juice WRLD is shown recording for the song. After his passing, the real bounce of the song was previewed. A snippet of the footage for the song leaked on February 13th, 2026. The full footage leaked on April 29th, 2026.","N/A","Jun 4, 2019","","Partial","Recording","https://lastshare.org/share/qb7uAWzpndFCSU1"
"The Outsiders","She Know*
(prod. Hit-Boy)","Throwaway initially previewed in a Discord VC on June 9th, 2025. Previewed again on November 20th, 2025. A snippet of the footage for the song leaked on February 13th, 2026. Another footage snippet leaked on March 2nd, 2026. Full footage leaked on April 26th, 2026.","N/A","Apr 15, 2019","","Full","Recording","https://lastshare.org/share/LHYbi7n6UetAPWJ"
"Death Race for Love","Better Myself*","Throwaway heard in the background of a Chris Long Films video. Recorded alongside ""Not My Fault"" and ""She Know."" Second snippet shared by Sharkyz on March 6th, 2026. Full footage for the song leaked on April 20th, 2026.","N/A","Feb 21, 2019","","Partial","Recording","https://lastshare.org/share/spFcMJI8lNqejfm"
"Goodbye & Good Riddance","🏆 Star Of The Show*
(prod. Nick Mira)
(Cite, Hold Hands, Whatever)","Throwaway which shares an instrumental with ""Whatever."" It also interpolates the bridge from ""Whatever."" Initially previewed by @vaultofjuice in an Instagram live on March 19th, 2025. Several more snippets have leaked since.","N/A","Jan 2018","Apr 20, 2026","Partial","Recording","https://lastshare.org/share/ODN3IH1P75Zzeaz"
"Posthumous","✨ Murder Scene [V13]
(prod. Southside, Legion & Max Lord)
(Kimber Crisp, Two Years)","OG Filename: Juice Wrld - murder scene v3.0 4 ss album lg new
Southside & Legion's rage remix of ""Murder Scene,"" intended for the upcoming 808 Mafia album. Leaked in full on April 12th, 2026.","3:22","Feb 2026","Apr 12, 2026","OG File","CD Quality","https://lastshare.org/share/S7NLaIvCH0BlIGo
https://pixeldrain.com/u/j6WCKdqw"
"The Outsiders","Dirt Bike*
(prod. Carlton McDowell & SoundsByB)
(Bike Life)","Throwaway previewed by producer Carlton McDowell sometime in the summer of 2020. He noted it ""didn't get finished tho,"" so it likely has an open verse. Footage of the song's recording leaked sometime after. Another snippet of the footage leaked on March 23rd, 2026.","N/A","Apr 15, 2019","","Partial","Recording","http://music.froste.lol/song/7e0908b2559be45a6af34963361e41ea/play
http://music.froste.lol/song/e43882f37c8d090a28b7a89e0a3b1cd5/play
http://music.froste.lol/song/2e6e913c6acbdbebb1b4a73935ddea54/play
http://music.froste.lol/video/b38b55defc641ea259360b3758cc323c/play
http://music.froste.lol/video/1ba5d758315d26ae27e9415834444db4/play
http://music.froste.lol/video/87d92914f38a0c86e5dfbaef9abc76f5/play"
"Death Race for Love","🥇 Wraith*
(prod. Hit-Boy & G. Ry)","Long throwaway recorded alongside ""The Bees Knees"" in a session on January 19th, 2019. Studio footage snippet leaked on February 2nd, 2026. Two more footage snippets leaked on March 2nd, 2026. Full footage leaked on March 23rd, 2026. Shares an instrumental with Roddy Ricch's ""Forbes.""","4:00+","Jan 19, 2019","","Full","Recording","https://lastshare.org/share/py3In1a5xz3IcB3"
