"Era","Name","Notes","Length","Release Date","Type","Streaming","Link(s)"
"What Is Love?","Forever
(prod. DRMZBeatz)
(Forever (Pt. 1))","OG Filename: g
Juice WRLD's first SoundCloud release, published on February 8th, 2015. It later became track 1 on ""What Is Love?."" Uses a Drake type beat taken from YouTube. Samples the song ""Lullabies"" by Yuna.","","Feb 8, 2015","Mixtape Track","No","https://pixeldrain.com/u/fduqHr4i
https://pixeldrain.com/u/6UrBaF9q
https://soundcloud.com/uiceheidd/forever-juicethekidd"
"What Is Love?","Lost My Mind (Freestyle)
(prod. IGNORVNCE Beats)","OG Filename: juice
Originally released as a single to SoundCloud. It later became track 2 on ""What Is Love?.""","","Feb 10, 2015","Mixtape Track","No","https://pixeldrain.com/u/ibK7sDHt
https://pixeldrain.com/u/8Ztxndxp
https://soundcloud.com/uiceheidd/lost-my-mind-freestyle-juicethekidd?si=e8dbd45579ad4e3ea506ca240f7e20a2&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"What Is Love?","Make It There
(prod. Taz Taylor)","OG Filename: gg
Originally released as a single to SoundCloud. It later became track 3 on ""What Is Love?.""","","Feb 11, 2015","Mixtape Track","No","https://pixeldrain.com/u/S9yWtRfq
https://pixeldrain.com/u/ynVFH49r
https://soundcloud.com/uiceheidd/make-it-there?si=5f2e2a1707a54792a7bd63151b0c9e48&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"What Is Love?","Just Letting You Know
(Letting U Know, Letting You Know)","OG Filename: letting u know
Released on SoundCloud as a single. Rumored to have been apart of ""What Is Love?,"" but this remains unconfirmed.","","Mar 5, 2015","Single","No","https://pixeldrain.com/u/WLXGjXzv
https://pixeldrain.com/u/BrK6vfBV
https://soundcloud.com/uiceheidd/just-letting-you-know?si=dfb5a5bdc09e47f98200e2ac6de8b052&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"What Is Love?","Mmmmm
(prod. SwiftOnDemand)","OG Filename: mmmmm
Released as a single to SoundCloud on June 15th, 2015.","","Jun 15, 2015","Single","No","https://pixeldrain.com/u/tU26YLkt
https://pixeldrain.com/u/H4xh49im
https://soundcloud.com/uiceheidd/mmmmm?si=3d0cf0ac032b48408d7df90faaba3e18&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"What Is Love?","My Side (Remix)
(prod. 40, Boi-1da & Noel Cadastre)
(Where I Stay)","OG Filename: WHER I STAY
Released on SoundCloud as a single. Remixes Drake's ""My Side."" The track was originally titled ""Where I Stay.""","","Oct 12, 2015","Single","No","https://pixeldrain.com/u/1iQy71hZ
https://pixeldrain.com/u/47D7CwqD
https://soundcloud.com/uiceheidd/my-side-remix-juicethekid?si=664f47dedac34fe8aa9021143890ef3e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"JUICED UP THE EP","⭐️ I SWEAR
(prod. Spaycjones)","OG Filename: I SWEAR - JUICETHEKID
Track 1 on JUICED UP THE EP. Engineered by JuiceTheKidd.","","Jan 30, 2016","EP Track","No","https://pixeldrain.com/u/krD9RdMF
https://pixeldrain.com/u/fhDiYxdi
https://soundcloud.com/uiceheidd/i-swear-juicethekid?in=uiceheidd/sets/juiced-up-the-ep&si=426797987ad042d688eb4832a492cfaf&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"JUICED UP THE EP","Pretty Boy
(prod. JuiceTheKidd)","OG Filename: pretty boy-juice
Track 2 on JUICED UP THE EP. Self-produced and engineered by JuiceTheKidd.","","Jan 30, 2016","EP Track","No","https://pixeldrain.com/u/GTia8Scw
https://pixeldrain.com/u/t3UfKbC9
https://soundcloud.com/uiceheidd/pretty-boy-juice?in=uiceheidd/sets/juiced-up-the-ep&si=fcf513ca73514c7589955d8444312c24&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"JUICED UP THE EP","⭐️ Too Smooth
(prod. JuiceTheKidd)","OG Filename: too smooth-juice THE KID
Track 3 on JUICED UP THE EP. Self-produced and engineered by JuiceTheKidd.","","Jan 30, 2016","EP Track","No","https://pixeldrain.com/u/8AXMtNNN
https://pixeldrain.com/u/53YBprLK
https://soundcloud.com/uiceheidd/too-smooth-juice?in=uiceheidd/sets/juiced-up-the-ep&si=a40e4c667c194c04965377f707d3fd5e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"JUICED UP THE EP","RUNNAWAY FREESTYLE
(prod. Kanye West, Emile Haynie, Jeff Bhasker & MIKE DEAN)
(Runaway (Remix))","OG Filename: RUNNAWAY FREESTYLE
Track 4 on JUICED UP THE EP. Remix of Kanye West's ""Runaway."" Engineered by JuiceTheKidd.","","Jan 30, 2016","EP Track","No","https://pixeldrain.com/u/1WNsccjP
https://pixeldrain.com/u/eTRbexcd
https://soundcloud.com/uiceheidd/runnaway-freestyle?in=uiceheidd/sets/juiced-up-the-ep&si=caa9c57c4b634d78ad5fd4b9e9349918&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
