Era,"Name
(Check out the Tracker website!)","Notes
(Join the Discord for updates and suggestions!)","Copy
Length","File
Date",Available Length,Quality,Link(s)
"0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
0 Unavailable","The Hub-City Threat: Minor of the Year
(Youngest Head Nigga in Charge, Hub-City Threat)","(06/17/1987) (Kendrick Lamar was born and raised in Compton, California)
(2001) (Kendrick starts rapping and using the moniker ""K-Dot"" as a stage name)
(Late 2004) (Kendrick puts out his first local mixtape, Youngest Head Nigga in Charge)",,,"The Hub-City Threat: Minor of the Year, alternately titled Y.N.H.I.C. (Youngest Head Nigga in Charge), is Kendrick Lamar’s first local mixtape, released under his former stage name, K-Dot. The project was put out in late 2004 under the ‘Konkrete Jungle Muzik’ label, and surfaced online on April 10, 2013. Made when Kendrick was in 12th grade or 18 years old.",,
Y.H.N.I.C.,"The Hub-City Threat: Minor of the Year
(Youngest Head Nigga in Charge, Hub-City Threat)","Kendrick's first local mixtape, put out in late 2004. Surfaced online on April 10th, 2013. 21 tracks in total.",1:17:17,2004,Full,High Quality,https://pillows.su/f/077cc4b588df5ab49fa5720e67bddf76
"0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
0 Unavailable",Training Day,"(June 17th, 1987) (Kendrick Lamar was born and raised in Compton, California)
(2001) (Kendrick starts rapping and using the moniker ""K-Dot"" as a stage name)
(Late 2004) (Kendrick releases his local mixtape, Youngest Head Nigga in Charge)
(February 16th, 2007) (Kendrick releases his second mixtape, Training Day)",,,"Training Day is Kendrick Lamar’s second mixtape, but formally considered by himself his debut mixtape, he was 18 at the time and went under the name “K-Dot.” In this mixtape, Kendrick raps to many old-school​ beats as well as some new ones, like The Notorious B.I.G’s “Who Shot Ya” and André 3000’s “Prototype.” It also features an interview with DJ Dave, one of the primary beat producers for this tape.",,
Training Day,Training Day,"Kendrick's second but formally considered debut mixtape, released on February 16, 2007. 26 tracks in total.",1:18:34,"Feb 16, 2007",Full,High Quality,https://pillows.su/f/8b0a6cbba57aa1810b0f1f564e35b36f
"0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
0 Unavailable","No Sleep 'Til NYC
(Collaboration with Jay Rock)","(February 16th, 2007) (Kendrick releases his second mixtape, Training Day)
(November 13th, 2007) (Kendrick releases his third mixtape, No Sleep ""Til NYC, with Jay Rock)",,,"No Sleep ""Til NYC is the third mixtape by Kendrick Lamar and his first collaborative mixtape with Jay Rock. It was released on November 13th, 2007. The mixtape contains 26 tracks and features Ab-Soul and Punch on a handful of tracks. The mixtape features a lot of productions from DJs such as DJ Big Mike the Rule, DJ Envy, DJ Skee and DJ Warrior. Like on Training Day, both Kendrick and Jay Rock rap on many old-school​ beats such as ""Electric Relaxation"", ""It ain't Hard To Tell"" and ""Dead Presidents II"".",,
No Sleep 'Til NYC,"No Sleep 'Til NYC
(with Jay Rock)","Kendrick's third mixtape in collaboration with Jay Rock released on November 13, 2007. Later re-released for free on December 15, 2007. 20 tracks in total.",53:57,,Full,High Quality,https://pillows.su/f/5b64ad10195b2c9128af8290dbe015ad
"0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
0 Unavailable",C4,"(November 13th, 2007) (Kendrick releases his third mixtape, No Sleep ""Til NYC, with Jay Rock)
(January 30th, 2009) (Kendrick releases his fourth mixtape, C4)",,,"C4 is the fourth mixtape by American rapper Kendrick Lamar, then known as ""K.Dot"". It was released on January 30, 2009 through Top Dawg Entertainment (TDE). The mixtape was heavily inspired by fellow American rapper Lil Wayne’s 2008 critically acclaimed album, Tha Carter III (C3), being mostly composed of freestyles over instrumentals from Wayne’s album in addition to a couple of original tracks.",,
C4,C4,"Kendrick's fourth mixtape, released on January 30, 2009. 18 tracks in total.",1:07:21,"Jan 30, 2009",Full,High Quality,https://pillows.su/f/348070782008b404b4bad1fbefbf4913
"1 Full
0 Tagged
1 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
1 Unavailable","The Kendrick Lamar EP
(The Kendrick Lamar LP, Kendrick Lamar)","(January 30th, 2009) (Kendrick releases C4 mixtape)
(Mid 2009) (Kendrick scraps the Before I Commit Suicide mixtape and the original version of good kid, m.A.A.d city)
(December 31st, 2009) (Kendrick releases ""The Kendrick Lamar EP"", a street album)",,,"Kendrick Lamar is an EP by American rapper Kendrick Lamar that was released as a free digital download on December 31, 2009 by Top Dawg Entertainment. It is his first project to be released under his birth name, previously releasing music under the moniker K.Dot, from 2006 to mid 2009. Executive produced by DudeDawg, dee:jay:dave and Sounwave.",,
The Kendrick Lamar EP,Before I Commit Suicide,"Unreleased mixtape by Kendrick Lamar. Scrapped Mid 2009 alongside ""Good Kid in a Mad City"". Unknown if it was completed. Only a handful of tracks were released.",?:??,,Partial,High Quality,https://pillows.su/f/e5300c41ebec512da29550bce320d4a3
The Kendrick Lamar EP,"Good Kid in a Mad City
(good kid, m.A.A.d city)","The unreleased orginal version of ""good kid, m.A.A.d city"". First mentioned in an interview to DubCNN published on May 3, 2007. An original version of GKMC was meant to release in 2009 right after the Before I Commit Suicide mixtape but both projects were scrapped. Unknown if it was completed. No known tracks are currently known.",?:??,"May 3, 2007",Confirmed,Not Available,N/A
The Kendrick Lamar EP,"The Kendrick Lamar EP
(The Kendrick Lamar LP, Kendrick Lamar)","Kendrick's first and only extended play, released on December 31, 2009. 15 tracks in total.",1:05:39,"Dec 31, 2009",Full,Lossless,https://drive.google.com/drive/folders/1PVQrPAninfTsLwXrlIprRfaRy1WTnqlO?usp=drive_link
"2 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
0 Unavailable","Overly Dedicated
(The Kendrick Lamar O.D)","(December 31st, 2009) (Kendrick releases self-titled EP)
(Early 2010) (Kendrick scraps The Songs That Didn""t Make The Kendrick Lamar EP)
(September 4th, 2010) (Kendrick releases his fifth and final mixtape Overly Dedicated)",,,"Overly Dedicated—sometimes stylized O(verly) D(edicated)—is Kendrick Lamar’s fifth solo mixtape, released on September 14, 2010 via Top Dawg Entertainment. The cover art features different artists and musicians that have passed away, most of them from drug overdoses. These artists include: Michael Jackson, Pimp C, Ol"" Dirty Bastard, Jimi Hendrix, Jim Morrison, Kurt Cobain, Sacer, Eric Snow, Dashiell “Dash” Snow, Robert Johnson and Bruce Lee.",,
Overly Dedicated,"Overly Dedicated
(The Kendrick Lamar O.D)","The original version of ""Overly Dedicated"", released on September 14th, 2010. The first link is for a flac copy and the second link is the mp3 copy.",1:09:20,"Sep 14, 2010",Full,Lossless,"https://pillows.su/f/a6cc909a3f3cb48e1f2a1e0cea6af274
https://pillows.su/f/a419168c2a3de4da18e3db0277a149fc"
Overly Dedicated,"Overly Dedicated
(The Kendrick Lamar O.D)","The streaming version of ""Overly Dedicated"", missing a few songs due to sample clearnce.",53:35,"Sep 14, 2010",Full,Lossless,https://pillows.su/f/e98223cc3320fad3845829182c19b535
"0 Full
0 Tagged
2 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
1 Unavailable","Collaboration with J. Cole
(Out the Sky, Burning Leather)","(September 4th, 2010) (Kendrick releases Overly Dedicated mixtape)
(Feburary 14th, 2011) (Kendrick & J. Cole played and recorded two songs at a meet and greet)
(May 2012) (Kendrick & J. Cole enter the studio once again)
(November 27th, 2015) (Kendrick & J. Cole drop their ""Black Friday"" tracks teasing a collab album. For unknown reason, it never released)",,,"In late 2010, Kendrick and J. Cole decided to work on a collab project. They were able to finish a couple of songs, with a couple beats laying around waiting to be used. It""s been delayed since, possibly, 2013. The idea of the album coming into fruition is still possible, but as of right now neither Cole or Kendrick are focused on it. Kendrick put his focus on ""To Pimp A Butterfly"" and J. Cole put his focus on ""2014 Forest Hills Drive"". Although they would team up again for the ""Black Friday"" tracks teasing an album, no collab was released. ",,
Collaboration with J. Cole,"???
(with J. Cole)",The original version of the Kendrick Lamar & J. Cole tape. Likely just a mixtape of random songs. Potential songs are Shock The World & Temptation.,?:??,,Partial,High Quality,https://pillows.su/f/6884e651acdf37d13dca0b92565672fb
Collaboration with J. Cole,"Out The Sky
(with J. Cole)","The second version of the Kendrick Lamar & J. Cole tape. The title was revealed to be ""Out The Sky"". The only known track is The Jig Is Up (Dump""n),",?:??,,Partial,High Quality,https://pillows.su/f/3f5b744338a974c3b9cdff3a37051774
Collaboration with J. Cole,"???
(with J. Cole)
(Burning Leather)","The third version of the Kendrick Lamar & J. Cole tape. Kendrick & Cole would collab for the ""Black Friday"" tracks, teasing a collab album, and Kendrick's sister would reveal that the tape would release Feb 16, 2016, but no tape would release. Suspected to be titled ""Burning Leather"" due to a censored word on J. Cole""s Black Friday track matching Kendrick's rhyming scheme at the end of his Black Friday track.",?:??,,Confirmed,Not Available,N/A
"2 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
0 Unavailable","Section.80
(Good Kid in a Mad City)","(September 4th, 2010) (Kendrick releases his fifth and final mixtape Overly Dedicated)
(Feburary 14, 2011) (Kendrick and J. Cole played and recorded two songs at a meet and greet)
(July 2nd, 2011) (Section.80 is released)",,,"Section.80 is Kendrick Lamar’s first full-length project, released on July 2, 2011, via Top Dawg Entertainment; although the project was marketed and distributed like a studio album, Lamar has consistently referred to it as a mixtape. The title, Section.80, is a combination of Section 8 Housing and the decade that Kendrick was born in—the 1980s. “The Spiteful Chant” was notably removed from streaming services in August 2019. (While the issue was never discovered, it’s presumed to be because of sample clearance issues.)",,
Section.80,"Section.80
(Good Kid in a Mad City)","Section.80"" is Kendrick Lamar’s first full-length project, released on July 2, 2011. although the project was marketed and distributed like a studio album, Lamar has consistently referred to it as a mixtape.",,,Full,Lossless,https://pillows.su/f/f8b2029a4cda93c25db9404097899adb
Section.80,"Section.80
(Good Kid in a Mad City)","The Second Version of ""Section.80"" found on streaming services. Lacks ""The Spiteful Chant"" likely due to clearence issues.",,,Full,Lossless,https://open.spotify.com/album/1bkN9nIkkCnXeG4yitVS1J?autoplay=true
"3 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
1 Unavailable","good kid, m.A.A.d city
(good kid, m.A.A.d city: a short film by Kendrick Lamar)","(2009) (Before Dr. Dre contributions there was already a whole finished version of a good kid, m.A.A.d city project that MixedByAli says ""will never see the light of day."")
(July 2nd, 2011) (Section.80 is released)
June 26th, 2012) (The album is officially titled ""good kid, m.A.A.d. city"")
(October 22nd, 2012) (good kid, m.A.A.d city is released)",,,"good kid, m.A.A.d city is Kendrick Lamar’s major label debut, released on October 22, 2012 through Top Dawg Entertainment, Aftermath Entertainment and Interscope Records. Subtitled “A Short Film by Kendrick Lamar,” this concept album depicts a day in the life of a 17-year-old Lamar as he rides around Compton in his mom’s minivan. The album was re-released on March 19, 2013 with a bonus remix of “Bitch, Don’t Kill My Vibe” featuring JAŸ-Z.",,
"good kid, m.A.A.d city","🏆 good kid, m.A.A.d city [Early Version]
(prod. MixedByAli)","First ever mentioned in an interview to DubCNN published on May 3, 2007. An original version of GKMC was meant to release in 2009 right after the Before I Commit Suicide mixtape but both projects were scrapped. In 2021, MixedByAli revealed to the No Jumper Podcast that before Dr. Dre contributions there was already a whole finished version of good kid, m.A.A.d city that he says will never see the light of day. It was 11 tracks, and likely features none of the songs from the finished product. Packed on Ali""s hard drive and owned by MackWop. Begins at 38:55s.",?:??,,Confirmed,Not Available,"https://www.dubcnn.com/2007/05/03/comptons-k-dot-aligns-with-all-stars-for-debut-2/
https://www.youtube.com/watch?v=u3Lk4x4EWVE
https://www.youtube.com/watch?v=_CbLslswk-g"
"good kid, m.A.A.d city","good kid, m.A.A.d city
(Good Kid in a Mad City)","Kendrick's major label debut and second studio album. It was released on October 22, 2012.",1:08:23,"Oct 22, 2012",Full,Lossless,https://pillows.su/f/a46942c73fd47509b4c8c1617f0b71a9
"good kid, m.A.A.d city","good kid, m.A.A.d city [Deluxe Version]
(Good Kid in a Mad City)","Kendrick's major label debut and second studio album. It was released on October 22, 2012.",1:13:00,"Oct 22, 2012",Full,Lossless,https://pillows.su/f/a46942c73fd47509b4c8c1617f0b71a9
"good kid, m.A.A.d city","good kid, m.A.A.d city [iTunes Deluxe Version]
(Good Kid in a Mad City)","Kendrick's major label debut and second studio album. It was released on October 22, 2012. Includes a bonus track titled ""Collect Calls"".",1:35:45,"Oct 22, 2012",Full,Lossless,https://pillows.su/f/4ab242845f6590dc386375461e04adab
