Era,Art,Name,Description,Creator,Review,Downloads,Streaming
"Any comps with a red border have no functioning links, if you have a copy of these contact us!",,,,,,,
Join our discord or DM @sophiecuratedtracker for feedback/suggestions! FUCK YEITS NIGGER,,,,,,,
Curious what dropped recently? Hop over to the Recent Additions tab to catch up with new stuff daily!,,,,,,,
All Pillowcase links will be migrated to alternative file hosting sites soon.,,,,,,,
>>> Check bottom of tracker for better explanations on comp categories and highlights <<<,,,,,,,
"1 Vanilla-style
1 HM",,"Before The College Dropout
(Get Well Soon..., I'm Good..., Kon The Louis Vuitton Don)",,"Highlights:
⭐Dream Killers - SimpleJosh",,,
,Vanilla-style,,,,,,
Before The College Dropout,,⭐Dream Killers,Pre-TCD mixtape-like comp based on Ye's gangsta rap songs from when he just got signed to Roc and on the 2002-2003 tracklists from Jeen-Yuhs. Contains remasters to make the songs more cohesive and higher quality.,"SimpleJosh
(a.k.a. Close Salami)",,MEGA,
,Honorable Mentions,,,,,,
Before The College Dropout,,"Freshmen Year
Remastered",Remastered versions of almost all of Kanye's pre-TCD mixtape songs.,u/fosterlynch,,"MEGA
Pillowcase",
"1 Extension
1 HM",,The College Dropout,,"Highlights:
⭐Most Unlikely To Succeed - BSB Dante",,,
,Extensions,,,,,,
The College Dropout,,⭐Most Unlikely To Succeed,"High quality BSB Dante extension, with sample showcases, added non-album tracks and any extra official elements available around the era.",BSB Dante,,"MEGA
MEGA
Google Drive","Yedits.net
[untitled]"
,Honorable Mentions,,,,,,
The College Dropout,,"The College Dropout
Remastered",Remastered version of release The College Dropout.,u/fosterlynch,,"MEGA
Pillowcase",
"1 Overhaul
1 Extension
1 HM",,Late Registration,,"Highlights:
⭐Sorry, Mr. West Is Gone - BSB Dante",,,
,Overhauls,,,,,,
Late Registration,,"✨The Good, The Bad & The Ugly
(The Magnificent 2.0) (with Common & Consequence)","Reimagined collab record between Kanye, Common and Consequence set in 2006 after they've released their respective acclaimed projects, using non-album songs from around the era and adding any missing artist from a song. Alt version has no added verses to preserve overall vocal quality.","darkTwist, hatw & r.beatz",,"MEGA
MEGA (Deluxe)
MEGA (Alt)
MEGA (Deluxe / Alt)",Yedits.net
,Extensions,,,,,,
Late Registration,,"⭐Sorry, Mr. West Is Gone","High quality BSB Dante extension, with sample showcases, added non-album tracks and any extra official elements available around the era.",BSB Dante,,"MEGA
MEGA","Yedits.net
[untitled]"
,Honorable Mentions,,,,,,
