Era,"Name
(Check out the Tracker website!)","Notes
(Join the Discord for updates and suggestions!)",Media,Length,Date,Type,Available,Quality,Link(s)
The Kendrick Lamar EP,"Gmack - Broke My Heart
(feat. Ab-Soul & K-Dot) (prod. MackWop)","Ab-Soul was supposed to be the second feature of the song after Kendrick at the time but he eventually got replaced by ScHoolboy Q. Confirmed by MackWop on his YouTube channel on December 27, 2020.",,N/A,,Other,Never Recorded,Not Available,N/A
Section.80,XXL Freshman Freestyle,"Released on March 23, 2011 on the 2011 XXL Freshman Class Mixtape.",,1:28,"Mar 23, 2011",Freestyle,Full,High Quality,"https://pillows.su/f/6c3617d29d8ed5790dcdf25ad9004b1f
https://www.youtube.com/watch?v=Puj-HAP6bhg&feature=youtu.be"
Section.80,BET Backroom Freestyle,"BET Backroom Freestyle that happened on June 2nd, 2012.",,1:12,"Jun 2, 2012",Freestyle,Full,High Quality,https://www.dailymotion.com/video/x1t0psm
"good kid, m.A.A.d city","good kid, m.A.A.d city Booklet","Original booklet included with good kid, m.A.A.d city when it released. Contains 11 pages.",,,,Book,High-Res,Not Available,https://pdfcoffee.com/digital-booklet-good-kid-maad-city-pdf-free.html
"good kid, m.A.A.d city","Bitch, Don't Kill My Vibe
(feat. André 3000) (add. Anna Wise & JMSN) (prod. Sounwave & JMSN)
(Kill My Vibe)","On Oct 22, 2017, the fifth anniversary of good kid, m.A.A.d city, Punch tweeted that he tried to get André 3000 on “Bitch, Don’t Kill My Vibe,” but André “couldn’t catch the vibe”, with additional scheduling conflicts due to filming 'Jimi: All Is by My Side'.",,N/A,"Oct 22, 2017",OG,Never Recorded,Not Available,https://x.com/iamstillpunch/status/922184531888685056?s=20
"good kid, m.A.A.d city","Ciara - Hit-Boy
(prod. Hit-Boy)
(Backseat Freestyle)","Hit-Boy reveals to a Genius ""Deconstructed"" interview: ""I had the beat for a minute. I did a session with my homeboy Sounds and he got a relationship with Ciara and we went in the studio, she cut it, and the name of the song was ""Hit-Boy"". So I was dumb hype. The situation fell apart. I don't know how. So like, I lowkey was disappointed."".",,N/A,,Other,Never Recorded,Not Available,https://www.youtube.com/watch?v=qHznLQ7FrdY&feature=youtu.be
Tu Pimp A Caterpillar,Kendrick Lamar Purposal Agreement,"This document is a Performance Agreement between Top Dawg Entertainment. It outlines the terms, conditions, payment requirements, venue details, performance schedule, technical needs, and legal obligations for booking Kendrick Lamar for an event. Leaked by Vlone on January 23rd, 2026 as a gift.",,N/A,"Jan 23, 2026",Other,Full,Not Available,https://docs.google.com/document/d/e/2PACX-1vR_yOnWzJEZk7yMpP0FPKcttsuNtA_I2-eaMgI86Gy_K3mWTtDFInefV89dHqEzuotH0D0FpPb7RHad/pub
To Pimp A Butterfly,I (SNL Performance Multi Audio Version),"""I"" SNL Performance Multi Audio Version featuring unreleased verses.",,4:53,"Nov 15, 2014",Live Performance,Full,CD Quality,https://pillows.su/f/cfef8b1b917ca8096264d4f790fba466
To Pimp A Butterfly,"JAY-Z - 321 Scan
(feat. Beyoncé) (prod. London on da Track)","OG Filename: Jay-Z Feat Beyonce- 321 Scan - KL ref - -B day 1 Paris-
JAY-Z track that reuses his vocals from the Watch the Throne version of ""Can't Look In My Eyes"". Was also wrongfully thought to been worked on by Kendrick for his solo project due to the filename, but it's an engineer's initials.",,5:55,"Jan 1, 2024",Feature,Never Recorded,CD Quality,https://pillows.su/f/3a2930e199aff1ae2fcd4060706c4fe3
To Pimp A Butterfly,"Follow Me
(prod. FKi 1st & Travis Scott)
(12 Disciples)","According to Pharaohxx, Travis gave the song ""Follow Me"" to Kendrick at SXSW 2013 Festival, but he never ended up by using it.",,N/A,,Other,Never Recorded,Not Available,https://i.ibb.co/3Y5kPCWN/image.png
To Pimp A Butterfly,"Complexion (A Zulu Love)
(feat. Prince & Rapsody) (prod. Thundercat, Sounwave, Terrance Martin & The Antydote)","Revealed on Feb 8, 2016, in a article with the Grammys, Raspody would reveal that Kendrick wanted her to two verses, and Prince to do the hook. Kendrick would later comfirm. Prince apparently heard and loved the record, which got them talking about a potential feature from Prince, but they never got to recording anything and just simply ran out of time.",,N/A,"Feb 8, 2016",OG,Never Recorded,Not Available,"https://pitchfork.com/news/56935-prince-was-originally-tapped-to-appear-on-kendrick-lamars-complexion-a-zulu-love/
https://web.archive.org/web/20160215151413/https://www.grammy.com/news/the-oral-history-of-kendrick-lamars-to-pimp-a-butterfly"
To Pimp A Butterfly,"Fabolous - Awwright
(prod. Pharrell Williams)
(Alright)","During Fool's Gold ""Holy Ship"" rap party in January 2014, Pharrell originally premiered a snippet of an unreleased Fabolous song where Loso was heard singing Kendrick's ""Alright"" hook. Not a ""remix"" in the common sense, as it shares almost the same instrumental as the jazz rendition of Kendrick's song by Terrace Martin. Loso would leak his ""Alright"" version on SoundCloud three months after To Pimp A Butterfly release. The track was accompanied with a music video directed by Gerard Victor on YouTube.",,2:14,"Jun 12, 2015",OG,Full,High Quality,https://soundcloud.com/myfabolouslife/awwright-unreleased-version?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
To Pimp A Butterfly,To Pimp A Butterfly Booklet,Original booklet included with To Pimp A Butterfly when it released. Contains 15 pages.,,,,Book,High-Res,Not Available,https://www.docdroid.net/unxr/digital-booklet-to-pimp-a-butterfly-pdf
