Era,"Name
(Check out the Tracker website!)","Notes
(Join the Discord for updates and suggestions!)",Track Length,"Release
Date",Type,Streaming,Link(s)
"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""!
Do NOT do this if you are an Editor!",,,,,,,
"1 Mixtape
21 Mixtape Tracks
0 Loosies
0 Features
0 Singles
0 Remixes
0 Other","The Hub-City Threat: Minor of the Year
(Youngest Head Nigga in Charge, Hub-City Threat)","(06/17/1987) (Kendrick Lamar was born and raised in Compton, California)
(2001) (Kendrick starts rapping and using the moniker ""K-Dot"" as a stage name)
(Late 2004) (Kendrick puts out his first local mixtape, Youngest Head Nigga in Charge)",,,"The Hub-City Threat: Minor of the Year, alternately titled Y.N.H.I.C. (Youngest Head Nigga in Charge), is Kendrick Lamar’s first local mixtape, released under his former stage name, K-Dot. The project was put out in late 2004 under the ‘Konkrete Jungle Muzik’ label, and surfaced online on April 10, 2013. Made when Kendrick was in 12th grade or 18 years old.",,
,Mixtape Tracks,,,,,,
Y.H.N.I.C.,"Intro (Hova Song)
(prod. K-Rob)","Track 1 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year. A freestyle over the beat of ""Intro (Hova Song)"" by JAY-Z.",1:59,2004,Mixtape Track,No,https://pillows.su/f/31300cc32bdc6f595a2158baf28eaebb
Y.H.N.I.C.,"What The Deal
(prod. Scram Jones)","Track 2 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year. A freestyle over the beat of ""Work Magic"" by Lloyd Banks.",2:50,2004,Mixtape Track,No,https://pillows.su/f/42c518c55b96ea214d2a840409bdc36a
Y.H.N.I.C.,"Compton Life
(prod. Dave Free)",Track 3 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year. Produced by Dave Free.,6:13,2004,Mixtape Track,No,https://pillows.su/f/77380c674ab5b87ace07c6f80737d4e0
Y.H.N.I.C.,"Go DJ
(feat. Dave Free) (prod. Mannie Fresh)","Track 4 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year. Written by K-Dot and Dave Free. A freestyle over the beat of ""Go DJ"" by Lil Wayne.",4:42,2004,Mixtape Track,No,https://pillows.su/f/43a36fa7b1562a6113b848e185fa71b3
Y.H.N.I.C.,"Hovi Baby
(prod. Just Blaze)","Track 5 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year. A freestyle over the beat of ""Hovi Baby"" by JAY-Z.",4:05,2004,Mixtape Track,No,https://pillows.su/f/7a6aa0a0272f9085868a8c029e0df279
Y.H.N.I.C.,"Put That On Somethin’
(prod. Dave Free)",Track 6 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year. Produced by Dave Free.,4:08,2004,Mixtape Track,No,https://pillows.su/f/0bfaa6efbaf1e6e62b5ac5bebd78b3ad
Y.H.N.I.C.,"Ride Up
(feat. Freeway & Joe Budden) (prod. 100 Milez)","Track 7 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year. Written by K-Dot, Freeway and Joe Budden. A remix over the beat of ""Ride Up"" by Freeway.",3:39,2004,Mixtape Track,No,https://pillows.su/f/d488aa34762c54061829dfe549ec0ec0
Y.H.N.I.C.,"How We Do
(prod. Dr. Dre & Mike Elizondo)","Track 8 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year. A freestyle over the beat of ""How We Do"" by The Game.",2:04,2004,Mixtape Track,No,https://pillows.su/f/3de98ddea4cbc4e678301d042c5c201f
Y.H.N.I.C.,"Drop It Like It’s Hot
(feat. Dave Free) (prod. The Neptunes)","Track 9 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year. Written by K-Dot and Dave Free. A freestyle over the beat of ""Drop It Like It's Hot"" by Snoop Dogg.",4:24,2004,Mixtape Track,No,https://pillows.su/f/32cf313d9a46546a4400a662157ca8c5
Y.H.N.I.C.,Industry Niggas (Skit),Track 10 off of K-Dot's late 2004 mixtape The Hub-City Threat: Minor of the Year.,1:23,2004,Mixtape Track,No,https://pillows.su/f/179d288243964b01073fbe784a16bcee
