Era,"Name
(Check out the Tracker website!)","Description
(Join the Discord for updates and suggestions!)",Type,Date,Quality,Source,Link(s)
Unknown | Completely Unheard | Snippet / Partial / Recording Available | Alternate Version Available | Confirmed Version Available,,,,,,,
Y.H.N.I.C.,"The Hub-City Threat: Minor of the Year
(Young Head Nigga in Charge)","The Hub-City Threat: Minor of the Year, alternately titled Y.N.I.C. (Young Head Nigga in Charge), is Kendrick Lamar’s first local mixtape, made when Kendrick was in 12th grade at that time and went under the name ""K-Dot.""

1: Intro (Hova Song)
2: What The Deal
3: Compton Life
4: Go DJ (feat. Dave Free)
5: Hovi Baby
6: Put That On Somethin'
7: Ride Up (feat. Joe Budden & Freeway)
8: How We Do
9: Drop It Like It's Hot (feat. DJ Dave)
10: Industry Niggas (Skit)
11: Biggie
12: Track 12 (Once Again It's On)
13: Track 13 (Hood Walk Pimp Talk)
14: Hail Mary
15: Track 15 (You Heard Me)
16: Westside Story
17: Whatcha Know About It
18: Track 18 (The Watcher Freestyle)
19: Nothing's Gonna Stop Me
20: Track 20 (The Watcher Freestyle)
21: Track 21 (Please Don't Step)",Released,2004,Clear,Secondary,https://pillowcase.su/f/077cc4b588df5ab49fa5720e67bddf76
Training Day,Training Day,"Training Day is Kendrick Lamar’s second mixtape, he was 18 at the time and went under the name “K-Dot.”

1: One Shot Kill 
2: Blame God 
3: Who Shot Ya (Freestyle)
4: Good Morning America 
5: Blow Them Horns (feat. Punch) 
6: G'z and Hustlers (feat. Jay Rock) 
7: I Feel It (Freestyle) 
8: Interview with DJ Dave Part 1 (feat. Dave Free) 
9: Imma G 
10: Interview with DJ Dave Part 2 (feat. Dave Free) 
11: Man of the Hour 
12: Interview with DJ Dave Part 3 (feat. Dave Free) 
13: Never Die 
14: Hpnotiq 
15: J. Dilla (Freestyle) (feat. Jay Rock & Punch) 
16: Interview with DJ Dave Part 4 (feat. Dave Free) 
17: Get Throwed (feat. Emjae) 
18: Blood Sport (Freestyle)  
19: Prototype (feat. Punch) 
20: Hard Body 
21: Grammy Family (Freestyle) 
22: A Song 4 Buffy (Freestyle) 
23: Interview with DJ Dave Part 5 (feat. Dave Free) 
24: Dreams (feat. Punch)  
25: The Best Rapper Alive 
26: Imagine (feat. Jay Rock & Punch) ",Released,"Feb 16, 2007",Clear,Official,https://pillowcase.su/f/8b0a6cbba57aa1810b0f1f564e35b36f
No Sleep 'Til NYC,No Sleep 'Til NYC,"No Sleep ‘Til NYC is the second mixtape by American rapper Kendrick Lamar, then known as “K.Dot”, and Jay Rock.

1: DJ Big Mike the Ruler - Intro
2: The Show
3: I Ain't No Joke
4: Enjoy Life (feat. Ab-Soul)
5: C.R.E.A.M. (feat. Ab-Soul)
6: Ab-Soul - The Real Hip Hop (Freestyle)
7: Dead Presidents III (feat. Ab-Soul)
8: It Ain't Hard 2 Tell
9:  Jay Rock - Smooth Operator feat. Glasses Malone)
10: Kick In The Door (feat. Punch)
11: Halfway Crooks (feat. Punch)
12: Cali's Finest (feat. Ab-Soul)
13: OG Julio G (feat. Julio G)
14: Top Dawg Ent. (feat. Ab-Soul & BO)
15: Death Around the Corner
16: Gangsta Party 08
17: New Pimpin
18: Preach
19: DJ Warrior - DJ Warrior Outro
20: Can't Be Faded by Jay Rock (feat. Dave Free)",Released,"Nov 13, 2007",Clear,Official,https://pillowcase.su/f/fa0e3cb4ee11b331633df32b992dc383
C4,C4,"C4 is the third and final mixtape released as 'K-Dot'.

1: Intro (Wayne Co-Sign) (feat. Jay Rock & Lil Wayne)
2: Best Rapper Under 25
3: Mr. Carter (feat. Lil Wayne)
4: A Milli (Freestyle)
5: Bitch I’m In the Club
6: West Coast Wu-Tang (feat. Ab-Soul & Punch)
7: Phone Home (feat. Punch)
8: Compton Chemistry
9: Ab-Soul - Take Off Your Pants
10: Shot Down (feat. Punch)
11: Play with Fire
12: Friend of Mine
13: Still Hustlin' (feat. Ab-Soul & Jay Rock)
14: Welcome to C4 (feat. Black Hippy & BO (USA))
15: G Code
16: Famous Pipe Game (feat. Ab-Soul)
17: Misunderstood (feat. Jay Rock)
18: Young & Black",Released,"Jan 30, 2009",Clear,Official,https://pillowcase.su/f/348070782008b404b4bad1fbefbf4913
The Kendrick Lamar EP,The Kendrick Lamar EP,"Self titled mixtape purposely mistitled as ‘The Kendrick Lamar EP’. This was Kendrick’s first release under his birth name.

1: Is It Love (feat. Angela McCluskey)
2: Celebration
3: P&P 
4: She Needs Me (feat. JaVonté)
5: I Am (Interlude)
6: Wanna Be Heard
7: I Do This (feat. Jay Rock)
8: Uncle Bobby & Jason Keaton (feat. JaVonté)
9: Faith (feat. BJ The Chicago Kid and Punch)
10: Trip
11: Vanity Slaves
12: Far From Here (feat. ScHoolboy Q)
13: Thanksgiving (feat. Big Pooh)
14: Let Me Be Me
15: Determined (feat. Ash Rider) [Hidden Track]",Released,"Dec 31, 2009",Clear,Official,https://pillowcase.su/f/926a854deeec3e8469f5ecf1ec0982f3
The Kendrick Lamar EP,The Songs That Didn't Make The Kendrick Lamar EP,"In early 2010, a project entitled ""The Songs That Didn't Make The Kendrick Lamar EP"" was announced. Nothing else is known about this project besides it was supposed to be a six-song EP.

1-6. ???",Unreleased,2010,Not Available,Official,N/A
The Kendrick Lamar EP,Before I Commit Suicide,"Unreleased mixtape meant to release in mid 2009 but was scrapped along with the early version of good kid, m.A.A.d city.

?. On My Momma
?. Warning Shot
?. The Gemini
?. Before I Commit Suicide
?. Fuck A Hook
?. Today [V1] (feat. JaVonté & Alori Joh)",,Mid-2009,Not Available,Official,https://pillowcase.su/f/926a854deeec3e8469f5ecf1ec0982f3
Overly Dedicated,Overly Dedicated [V1],"The original version of 'Overly Dedicated', released on September 14th, 2010.

1: The Heart Pt. 2 (feat. Dash Snow)
2: Growing Apart (To Get Closer) (feat. Jhené Aiko)
3: Night of The Living Junkies
4: P&P 1.5 (feat. Ab-Soul)
5: Alien Girl (Today, with Her)
6: Opposites Attract (Tomorrow, with Her) (feat. JaVonté)
7: Michael Jordan (feat. Schoolboy Q)
8: Ignorance Is Bliss 
9: R.O.T.C. (Interlude) (feat. BJ The Chicago Kid)
10: Barbed Wire
11: Average Joe
12: H.O.C.
13: Cut You Off (To Grow Closer)
14: Heaven & Hell (feat. Alori Joh)

Bonus Tracks
15: She Needs Me (Remix) (feat. Don Kennedy and Murs)
16: I Do This (Remix) (feat. U-N-I, Skeme and Brown of Sore Losers)",Released,"Sep 10, 2010",Clear,Official,https://pillows.su/f/f7020031903a9e915f9d5c6e2ecfa769
Overly Dedicated,Overly Dedicated [V2],"The second version of 'Overly Dedicated'; this is the version found on streaming services.

1: Growing Apart (To Get Closer) (feat. Jhené Aiko)
2: Ignorance Is Bliss 
3: P&P 1.5 (feat. Ab-Soul)
4: Alien Girl (Today, with Her)
5: Opposites Attract (Tomorrow, with Her) (feat. JaVonté)
6: Michael Jordan (feat. Schoolboy Q)
7: R.O.T.C. (Interlude) (feat. BJ The Chicago Kid)
8: Barbed Wire
9: Average Joe
10: H.O.C.
11: Cut You Off (To Grow Closer)
12: She Needs Me (Remix) (feat. Don Kennedy and Murs)",Released,"Sep 10, 2010",Clear,Official,https://open.spotify.com/album/7MoLQ8vckhwBbQqEYQTYQC?si=ygR773GnSFO3q_-XUBKbvw
