Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s),Quality,Used?
Youth,Youth [Cover],"""Youth"" is Baby Keem's first ever project that he worked on and is said to be the first piece of work released under name Hykeem Carter.",,,,,,/keemgold/art/youth-cover.jpg,Blurry,Yes
Regin,Reign [Cover],"""Reign"" is Keems follow up project released the same year as Youth it would be entirely lost after Keem cleared his ""hykeemc"" SoundCloud account.",,,,,,/keemgold/art/reign-cover.jpg,Blurry,Yes
Before Baby Keem,On My Own,"Not much is known about this one, was found in a now deleted tweet.",,,,,,/keemgold/art/on-my-own.jpg,Clear,Yes
Before Baby Keem,Come Thru,Not much known about this one either,,,,,,/keemgold/art/come-thru.jpg,Clear,Yes
Before Baby Keem,PEON. FREESTYLE,"Found on Facebook, Nardwuar brought it up on Nardwuar vs. Baby Keem, and Keem said he was holding the keys to his Aunt Connie's car. The person next to him is Trey, according to Keem",,,,,,/keemgold/art/peon-freestyle.jpg,Clear,Yes
Before Baby Keem,Stupid Thot!,Also found on Facebook,,,,,,/keemgold/art/stupid-thot.jpg,Clear,Yes
Before Baby Keem,???,"A old friend of Keem who helped make the cover arts for Midnight, No Name, Orange Soda, and France Freestyle posted them in the discord. They didn’t state what they were specifically for other then being unused.",,,,,,/keemgold/art/.png,Clear,No
Before Baby Keem,???,"A old friend of Keem who helped make the cover arts for Midnight, No Name, Orange Soda, and France Freestyle posted them in the discord. They didn’t state what they were specifically for other then being unused.",,,,,,/keemgold/art/.png,Clear,No
Before Baby Keem,Rose Gold [Cover],"Single from before Oct, doesn't seem to be related to any project.",,,,,,/keemgold/art/rose-gold-cover.jpg,Blurry,Yes
Oct,Oct [Cover],"Oct was Keem's now deleted first EP ""Oct"" under the name Hykeem Carter released in 2016. However due to Keem deleting all his songs and EP's from streaming services when he changed his name, this is the earliest project that has been fully recovered.",,,,,,/keemgold/art/oct-cover.jpg,Clear,Yes
Black Nights,Over That [Cover],Cover for the leading single from the Black Nights EP. Spells Hykeem's name wrong lmao.,,,,,,/keemgold/art/over-that-cover.jpg,Clear,Yes
Black Nights,Black Nights [Cover],"""Ride Or Die"" is the only track that's been recovered from Keem's lost EP Black Nights. It was his third EP and was originally released sometime during 2017 under his birth name.",,,,,,/keemgold/art/black-nights-cover.jpg,Clear,Yes
PTNTL,Kissing Friends [Cover],Cover for the single from the PTNTL EP.,,,,,,/keemgold/art/kissing-friends-cover.jpg,Clear,Yes
PTNTL,PTNTL [Cover],"PTNTL was Keem's fourth EP under the name Hykeem Carter but due to him deleting his projects from streaming platforms the EP has been entirely lost outside of one track. We also know nothing about the EP other then its cover/name and that it was released on June 27, 2017.",,,,,,/keemgold/art/ptntl-cover.jpg,Clear,Yes
Midnight,Midnight [Cover],"Midnight was Keem’s sixth EP under his birth name, but is only the 2nd thats been fully recovered. Just like his previous projects the Midnight EP has been deleted from all streaming platforms.",,,,,,/keemgold/art/midnight-cover.jpg,Clear,Yes
No Name,No Name [Cover],The cover to Keems 2017 EP No Name is the last to see a release under the name Hykeem Carter but still remains on Keem's SoundCloud unlike the others from this era.,,,,,,/keemgold/art/no-name-cover.jpg,Clear,Yes
Hearts & Darts,Hearts & Darts [Cover],"After working on the Black Panther soundtrack and Jay Rock's ""Redemption"" Keem would work on and release the Hearts & Darts EP.",,,,,,/keemgold/art/hearts-darts-cover.jpg,Clear,Yes
The Sound of Bad Habit,The Sound of Bad Habit [Cover],"Following a name change from Hykeem Carter, to HiiFii, to Baby Keem, and the release of his eighth EP ""Hearts and Darts"" , Keem would shift his focus to the release of his first commercial mixtape, dubbed ""The Sound of Bad Habit."" CardoGotWings would reprise his role as a key player for the production, and produce all officially released songs except for ""A New Day"" and ""Extra"" along with Cardo Keem's cousin Kendrick Lamar would also be brought aboard to help with the recording process. The Sound of Bad Habit would be released on October 29, 2018.",,,,,,/keemgold/art/the-sound-of-bad-habit-cover.jpg,Clear,Yes
DIE FOR MY BITCH,TOP 5 [Cover],"""TOP 5"" was first posted as a snippet to LEAKED.CX on August 11th, 2022, and hours later would be force-leaked during an attempted sale of the song. After being force-leaked, the file was tagged with nothing else but a cover; it's unknown if this cover was ever official.",,,,,,/keemgold/art/top-5-cover.jpg,Clear,No
DIE FOR MY BITCH,INVENTED IT [Cover],“INVENTED IT” is the first of three singles for Baby Keems sophomore mixtape DIE FOR MY BITCH.,,,,,,/keemgold/art/invented-it-cover.jpg,Clear,Yes
DIE FOR MY BITCH,FRANCE FREESTYLE [Cover],"“FRANCE FREESTYLE” is the second single for his sophomore mixtape DIE FOR MY BITCH under the name of Baby Keem. In this song, we got Keem rapping with boastful lyrics over a raw deep 808 trap beat with piano parts who complement the heavy production in this track.",,,,,,/keemgold/art/france-freestyle-cover.jpg,Clear,Yes
DIE FOR MY BITCH,ORANGE SODA [Cover],"“ORANGE SODA” is Baby Keem’s breakout hit. Released as a single from DIE FOR MY BITCH in June 2019, the song quickly became a fan favorite and was certified platinum a year later.",,,,,,/keemgold/art/orange-soda-cover.jpg,Clear,Yes
DIE FOR MY BITCH,DIE FOR MY BITCH [Napster Cover],"Before Keem updated ""DIE FOR MY BITCH"", he released what fans call ""Napster DFMB"". It has some major differences from the DIE FOR MY BITCH on all streaming platforms with the biggest ones being a tracklist and cover art change, as well as three unreleased songs.",,,,,,/keemgold/art/die-for-my-bitch-napster-cover.jpg,Clear,Yes
DIE FOR MY BITCH,DIE FOR MY BITCH [Cover],"The mixtape was released on July 19th, 2019. Following the release of Sound of Bad Habit, Keem would begin work on his second commerical mixtape, DIE FOR MY BITCH. The album would largely be focused on destructive habits, toxic romance, and the never-ending pursuit of money and fame, with songs that are both aggressive and reflective. It would release on Napster first, with three tracks from the Napster version being replaced upon it's arrival to major streaming services.",,,,,,/keemgold/art/die-for-my-bitch-cover.jpg,Clear,Yes
DIE FOR MY BITCH,DIE FOR MY BITCH [Back Cover],Back Cover for DIE FOR MY BITCH but no physical copies of the album were ever made so this would go unused,,,,,,/keemgold/art/die-for-my-bitch-back-cover.png,Clear,No
The Melodic Blue,hooligan / sons & critics freestyle [Cover],hooligan / sons & critics freestyle is a two-track bundle serving as Baby Keem’s first release since soaring in popularity—and even being nominated as a 2020 XXL Freshman—thanks to his acclaimed July 2019 debut project DIE FOR MY BITCH. Only hooligan would see a release on The Melodic Blue and its Deluxe.,,,,,,/keemgold/art/hooligan-sons-critics-freestyle-cover.jpg,Clear,Yes
The Melodic Blue,no sense [Cover],"The song serves as the second single from Baby Keem’s debut album The Melodic Blue. Keem previewed a short snippet of the track two weeks prior to its release, and one week before the single’s release was officially announced on March 1, 2021.",,,,,,/keemgold/art/no-sense-cover.jpg,Clear,Yes
The Melodic Blue,durag activity [Cover](feat. Travis Scott),"The song serves as the second single from Baby Keem’s debut album The Melodic Blue. Keem previewed a short snippet of the track two weeks prior to its release, and one week before the single’s release was officially announced on March 1, 2021.",,,,,,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/84/5d/04/845d04ed-3f2f-cf03-1821-04666f6a40f6/886449235551.jpg/600x600bb.jpg,Clear,Yes
The Melodic Blue,Impatient (naked) [Cover](prod. Cardo),"""Impatient (Naked)"" was first previewed by Keem on July 5, 2021, along with another unreleased song “100 Bands” on his Instagram story. when Impatient (naked) leaked the song also had a corasponding cover art. The leaked version contains an entirely different verse and some alterations in production and the chorus.",,,,,,https://drive.google.com/file/d/1DckvSXj66hW-BISLc9gMTyUlNzLqDd1C/view?usp=share_link,Clear,No
The Melodic Blue,family ties [Cover](with Kendrick Lamar),"On August 23, 2021, Keem announced the release of the single by posting the cover art, a family picture of the two cousins paying homage to the cover of Kendrick’s acclaimed 2012 debut album, good kid, m.A.A.d city.",,,,,,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/88/77/d5/8877d57f-71a3-0671-b838-16ea1e5f870b/886449507214.jpg/600x600bb.jpg,Clear,Yes
The Melodic Blue,Baby Keem - family ties [Alt Cover](with Kendrick Lamar),Recreation by Commandtechno of an alternate Family Ties cover featured in the family ties music video at 1:45.,,,,,,https://cdn.discordapp.com/attachments/1052647554359230528/1096901619595088054/alt_cover_recreation.pnghttps://cdn.discordapp.com/attachments/1052647554359230528/1096901632136069190/alt_cover_recreation.svg,Clear,No
