Era,"Name
(Check out the Tracker website!)","Notes
(Join the Discord for updates and suggestions!)",Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"0 OG File(s)
14 Full
2 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
1 Unavailable","Before Baby Keem
(as Hykeem Carter and HiiFii)","(2016) Baby Keem releases ""Come Thru"" to soundcloud.
(August 16, 2018) Hearts & Darts on streaming.",,,"The earliest period of keem's creative work before going under the name Baby Keem. He first released music independently under aliases like Hykeem Carter and HiiFii. Between 2016 and 2018, he primarily used SoundCloud to experiment with rapping and production. His first confirmed song, “Come Thru” (2016), was made at age 15 and is considered his earliest real track. In 2016, he also released “Band Remix,” a self-produced and more chaotic version of a song from the Oct EP that briefly appeared on SoundCloud.",,,
Before Baby Keem,"21 Savage Type Beat
(prod. Hykeem Carter)",Uploaded to his YouTube/Beatstar 5 days after the release of Oct,,"Dec 12, 2016",,Confirmed,Not Available,https://www.beatstars.com/video/57898
Before Baby Keem,"Coke
(prod. Beats By Carter)",Future type beat.,,"Oct 8, 2016",,Full,CD Quality,https://pillows.su/f/da24c8a6960741f3df8d4b986821c930
Before Baby Keem,"Consistent
(prod. HiiFii)",HiiFii produced beat. Said to be a Quentin Miller type beat.,,,,Tagged,CD Quality,https://pillows.su/f/1642f6ae9bfe9a471f75af1eb52da6ee
Before Baby Keem,"Gold Girl
(prod. Beats By Carter)",Second Lil Uzi Vert type beat.,,"Oct 10, 2016",,Full,CD Quality,https://pillows.su/f/d1e91210bbc4f6c87a580c29fa27d961
Before Baby Keem,HiIFii Producer Tag,"Producer tag used by Keem when he did production under HiiFii. 
""HiiFii made it got a hit up in this bitch""",,"Jul 5, 2022",,Full,High Quality,https://pillows.su/f/9eaa8d07b336cff56240d13ba8bbb6ad
Before Baby Keem,"New Whip
(prod. HiiFii)",HiiFii produced beat. Said to be an A$AP Rocky and Playboi Carti type beat.,,,,Tagged,CD Quality,https://pillows.su/f/f4bdc37494608a3e84dd221ecba0dbd4
Before Baby Keem,"Lost HiiFii Beat 1
(prod. HiiFii)","Beat made by Keem under the name HiiFii. Features wavy production with a droning melody, nothing is known about the beat.",,"Jul 4, 2022",,Full,CD Quality,https://pillows.su/f/c663f0ec160f90f7cf75396eff7ac31a
Before Baby Keem,"Lost HiiFii Beat 2
(prod. HiiFii)","This beat would be used in the songs ""Stuntman"" by GU$TO GO!, ""Levitation"" by Cone Loc & ""For Your Thoughts"" by Kobi Ari",,"Jul 4, 2022",,Full,CD Quality,https://pillows.su/f/a9effb5c5401ba2950959d67670bc207
Before Baby Keem,"Lost HiiFii Beat 3
(prod. HiiFii)",Beat made by Keem under the name HiiFii. Perhaps it's a good thing this beat went unused.,,"May 29, 2022",,Full,CD Quality,https://pillows.su/f/cb80b6ece4257ed8beca98d2ae79fdd9
Before Baby Keem,"Lost HiiFii Beat 4
(prod. HiiFii)","Beat made by Keem under the name HiiFii. Features a piano melody, nothing is known about the beat.",,"May 29, 2022",,Full,CD Quality,https://pillows.su/f/faf068a614e906ed097af9a07564e518
Before Baby Keem,"XO Beat LIF3
(prod. Hykeem Carter)",,,,,Full,CD Quality,https://pillows.su/f/b73171aa83e5bab4ec80f38538ba0730
Before Baby Keem,"Armed Rhymery - I'm So Bad
(prod. HiiFii)",A free beat posted by Keem would be used on track 9 on Mike Taz's album Higher Learning and Armed Rhymery's album titled Swim both track 9,,"Nov 30, 2017",,Full,CD Quality,https://pillows.su/f/3d47f2d1c2aa28e351b9be2a53ccd8b1
Before Baby Keem,"Kobi Ari - For Your Thoughts (F.Y.T.) - ""Old Benz"" Freestyle
(pord. HiiFii)",F.Y.T is one of the last songs Keem would produce under the name HiiFii,,"Jan 17, 2018",,Full,CD Quality,https://pillows.su/f/3d47f2d1c2aa28e351b9be2a53ccd8b1
Before Baby Keem,"Cone Loc - Levitation
(feat. Lul Hamp) (prod. HiiFii)",,,"Oct 23, 2017",,Full,CD Quality,https://pillows.su/f/4ce48150a7280d8a425ff698cd5290ed
Before Baby Keem,"GU$TO GO! - Stuntman
(prod. HiiFii)",,,"Aug 17, 2017",,Full,CD Quality,https://pillows.su/f/47cf433f046c6e755d9d8f55fa652577
