Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2026,,A Great Chaos,BODY BAG,"Main Song
BODY BAG

Buy cancelled due to $0 being raised in 6 hours.","$4,000",,"Mar 22, 2026",Normal,Cancelled,
2026,,xperiment,Blind 2025,"Main Song
🗑️ 100 [V2]
100 [V1]","$3,000",,"Jan 24, 2026",Blind,Completed,
2025,,A Great Chaos,"Upsidedowncross
(with Destroy Lonely)","Main Song
Upsidedowncross (with Destroy Lonely)

File is cut.","$4,000",,"Aug 29, 2025",Normal,Completed,
2025,,xperiment,Blind 2025,"Main Song
N/A

Buy cancelled due to Ken Hub and the groupbuy Discord repeatedly being taken down.","$4,000",,"Jul 10, 2025",Blind,Cancelled,
2025,,A Great Chaos,Blind 2023,"Main Song
Problems (with Lil Tecca)","$2,500",,"Jun 28, 2025",Blind,Completed,
2025,,More Chaos,"""Antisocial""","Main Song
Naked [V1]

Ended up being a More Chaos tracklist song which was not disclosed before the buy.","$1,500",,"Mar 26, 2025",Normal,Completed,
2025,,More Chaos,"Tesla & ""Antisocial"" Bundle","Main Song
Tesla
Forever Burn*","$5,050",,"Mar 24, 2025",Normal,Cancelled,
2025,,A Great Chaos,"Destroy Lonely - $1,000 per Song","Main Song
Real Deal Vampire (with Destroy Lonely)
Hellcat (with Destroy Lonely)",,,"Feb 15, 2025",Blind,Completed,
2025,,A Great Chaos,Blind (Previewed 2023),"Main Song
✨ Novacane

Bonuses:
Blk (OG File)
Changed Her Life (OG File)","$5,050",,"Feb 13, 2025",Blind,Completed,
2025,,X,Blind 2021 Grail,"Main Song
Sticks

Bonuses:
High As Shit (OG File)","$3,000",,"Feb 7, 2025",Blind,Completed,
2025,,A Great Chaos,Blind 2023,"Main Song
SRT","$3,500",,"Feb 2, 2025",Blind,Completed,
2024,,More Chaos,Blind Ken x Lone,"Main Song
Tighten Up (with Destroy Lonely & Quavo)",,,"Nov 25, 2024",Blind,Completed,
2024,,A Great Chaos,Blind 2022,"Main Song
Pretty Girls","$2,600",,"Nov 14, 2024",Blind,Completed,
2024,,A Great Chaos,Blind 2022,"Main Song
I'm Different

Bonuses:
Pull Up [V1]
sh00t (OG File)
Wockstar (OG File)","$3,400",,"Nov 8, 2024",Blind,Completed,
2024,,More Chaos,Blind 2024 Collab,"Main Song
🗑️ Van Cleef (with 2hollis)","$2,700",,"Oct 24, 2024",Blind,Completed,
2024,,A Great Chaos,Blind 2023 feat. Lil Uzi Vert,"Main Song
Lil Uzi Vert - Drill Shit (feat. Ken Carson)

Ended up being an Uzi song instead of an Uzi feature as originally described.","$2,700",,"Oct 22, 2024",Blind,Completed,
2024,,X,Lil Uzi Vert - 8x Blind,"Main Song
Rage (with Lil Uzi Vert)","$8,000",,"Oct 9, 2024",Blind,Completed,
2024,,A Great Chaos,Blind OG,"Main Song
✨ So Dark [V1]",$600,,"Sep 17, 2024",Blind,Completed,
2024,,A Great Chaos,Blind 2022,"Main Song
⭐ Changed Her Life

Bonuses:
100 Shots (feat. Destroy Lonely) [V1]
Celebrate (OG File)
Fuk Shit (OG File)","$4,000",,"Aug 5, 2024",Blind,Completed,
2024,,Project X,Blind 2021,"Main Song
Bank

Bonuses:
Change (OG File)","$1,300",,"Aug 2, 2024",Blind,Completed,
2024,,A Great Chaos,Blind 2023,"Main Song
⭐ Drugs Talkin'",,,"Jun 23, 2024",Blind,Completed,
2024,,A Great Chaos,Privacy,"Main Song
✨ Privacy

Bonuses:
Murda Musik (feat. Destroy Lonely) (OG File)",,,"Jun 22, 2024",Normal,Completed,
2024,,A Great Chaos,Snowed In* (with Destroy Lonely),"Main Song
⭐ 100 Shots (with Destroy Lonely)",,,"May 23, 2024",Normal,Completed,
2024,,X,Blind 2021,"Main Song
⭐ Maaly Freestyle*",,,"Feb 21, 2024",Blind,Completed,
2024,,A Great Chaos,Blind 2023,"Main Song
✨ ss [V1]","$4,500",,"Jan 20, 2024",Blind,Completed,
2024,,More Chaos,Blind 2023,"Main Song
⭐ Private","$4,000",,"Jan 18, 2024",Blind,Completed,
2024,,A Great Chaos,Unheard 2022,"Main Song
⭐ Get Off","$2,000",,"Jan 17, 2024",Blind,Completed,
2024,,More Chaos,2023 Song,"Main Song
Blk","$2,000",,"Jan 16, 2024",Normal,Completed,
2023,,X,Blind 2021,"Main Song
✨ Someone",$700,,"Dec 31, 2023",Blind,Completed,
2023,,X,Blind Ken x Lone,"Main Song
✨ Ain't No Way (with Destroy Lonely & HXG)",$800,,"Dec 30, 2023",Blind,Completed,
2023,,X,Blind 2021,"Main Song
Peel",$800,,"Dec 30, 2023",Blind,Completed,
2023,,X,Blind 2021,"Main Song
⭐ I Serve X",$900,,"Dec 30, 2023",Blind,Completed,
2023,,X,Blind,"Main Song
⭐ FWM (with SoFaygo)","$2,000",,"Dec 29, 2023",Blind,Completed,
