"Era","Name","Notes","Image / Length","Date Made","Type","Available Length","Quality","Link(s)"
"","Boy Barbie","(2019) (Ken Carson meets Playboi Carti and joins Opium®)
(May 12, 2020) (Boy Barbie is released)","","","","","",""
"Boy Barbie","RESPECT. Interview: Get to Know Atlanta’s Rising VFILES Loud Artist Ken Car$on","Interview with RESPECT. posted December 6th, 2018.","","Dec 6, 2018","Interview","Full","Available","https://respect-mag.com/2018/12/respect-interview-get-to-know-atlantas-rising-artist-ken-caron/"
"Boy Barbie","Gold Medal (Music Video)","Released onto Ken's YouTube channel June 4th, 2020. It was edited and directed by Nitetive.","","Jun 4, 2020","Music Video","Full","HD","https://www.youtube.com/watch?v=QrYmk0pLBWM"
"","Teen X","(May 12, 2020) (Boy Barbie is released)
(Aug 14, 2020) (Teen X is released)","","","","","",""
"Teen X","Yale (Music Video)","Released onto Ken's YouTube channel August 14th, 2020. It was edited and directed by Nitetive.","","Aug 14, 2020","Music Video","Full","HD","https://www.youtube.com/watch?v=kpuy4BEU644"
"Teen X","Teen X (Music Video)","There were pictures and videos of a potential Teen X music video. Fans were included in the video.","","","Music Video","Confirmed","Not Available","https://twitter.com/USER_XMAN/status/1338183704250867715"
"","Teen X : Relapsed
(Teen X Deluxe)","(Aug 14, 2020) (Teen X is released)
(Jan 31, 2021) (Teen X : Relapsed is released)","","","","","",""
"Teen X : Relapsed","Cyberwurld New Year's Eve Live","A bunch of artists performed a virtual concert at cyberwurld on NYE, Ken and Carti included.","","Dec 31, 2020","Live Performance","Full","HD","https://www.youtube.com/watch?v=HwC-Y1xmT9I"
"Teen X : Relapsed","Ken Car$on talks Teen X EP, & signing to Playboi Carti's OPIUM label","Interview with Our Generation Music posted January 31st, 2021.","","Jan 31, 2021","Interview","Full","HD","https://www.youtube.com/watch?v=wDMTCE3NOoc"
"Teen X : Relapsed","High As Sh!T (Music Video)","Released onto Ken's YouTube channel January 31st, 2021. It was edited and directed by Nitetive.","","Jan 31, 2021","Music Video","Full","HD","https://www.youtube.com/watch?v=JyoJ4AIkY7g"
"","Project X","(Jan 31, 2021) (Teen X : Relapsed is released)
(Jul 23, 2021) (Project X is released)","","","","","",""
"Project X","EarlSweatShop Ep.10 | Sonny digital & Ken Carson","Earl On The Beat, Sonny Digital and Ken Carson working on music, posted March 19th, 2021. Ken plays a couple finished songs, and the beat for Glock 19 is worked on a bit.","","Mar 19, 2021","Other","Full","HD","https://youtu.be/Z_3rzpmLVx0"
"Project X","Ken Car$on Live (Los Angeles, California)","Concert was March 21st, 2021. Filmed by John Lake aka WishForGlory, Ken's videographer.","","Mar 21, 2021","Live Performance","Full","HD","https://youtu.be/9uiGL8N_jOc"
"Project X","Butterfly (Music Video)","Released onto Ken's YouTube channel July 7th, 2021. It was edited and directed by Nitetive.","","Jul 7, 2021","Music Video","Full","HD","https://www.youtube.com/watch?v=RwqtG6dMi2E"
"Project X","Hella (Music Video)","Multiple people have stated Ken has filmed a music video for Hella. Any other information about it is unknown.","","","Music Video","Confirmed","Not Available",""
"Project X","Clutch (Music Video)","Multiple people have stated Ken has filmed a music video for Clutch. Any other information about it is unknown.","","","Music Video","Confirmed","Not Available",""
"","X
(Project Xtended, Ken Carson, X_MAN)","(Jul 23, 2021) (Project X is released)
(Jul 8, 2022) (X is released)","","","","","",""
"X","Get Ready for the Summer of Ken Car$on","Interview with HighSnobiety posted July 25th, 2021.","","Jul 25, 2021","Interview","Full","Available","https://www.highsnobiety.com/p/ken-carson-interview-project-x/"
"X","Change (Music Video)","Released onto Ken's YouTube channel July 30th, 2021.","","Jul 30, 2021","Interview","Full","HD","https://www.youtube.com/watch?v=wXw2bpR5_a8"
"X","Ken Carson Doesn’t Listen to Rap, Talks Project X, Carti (Interview)","Interview with Kids Take Over filmed sometime before July 16th, 2021. Posted August 4th, 2021.","","Aug 4, 2021","Interview","Full","HD","https://www.youtube.com/watch?v=dVy6Jzb6j7Y"
"X","Lyrical Lemonade Summer Smash (Chicago, Illinois)","Concert was August 22nd, 2021. Filmed by WishForGlory.","","Aug 22, 2021","Live Performance","Full","HD","https://youtu.be/BU7McKmT4hM"
