"Era","Name","Notes","Length","Release Date","Type","Streaming","Link(s)"
"0 EP Track(s)
6 Single(s)
2 Feature(s)
0 Music Video(s)
0 Production
0 Other","","OG File Available | OG File Unavailable (Apr 11, 2000) (Kenyatta Lee Bettis Frazier Jr. is born in Atlanta)
(2019) (Ken Carson meets Playboi Carti and joins Opium*®)","","","","",""
"Before Boy Barbie","Reese LAFLARE - Bad Boys 3
(feat. Ken Carson & Blaze Servin) (prod. Pyrex & CHASETHEMONEY)","A single released by Reese LAFLARE during May 2019.","3:03","May 1, 2019","Feature","No","https://lastshare.org/share/B83EGIgDsmA4DKN
https://soundcloud.com/reeseswagod/bad-boys-3-feat-blaze-servin-ken-carson-prod-by-pyrex-and-chasethemoney?si=6094a68a6fbe40edb9047c08dcdbafea&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Before Boy Barbie","Lite Fortunato - Danny Phantom
(feat. Ken Carson) (prod. outtatown)","Track 6 on Fatal Attraction.","1:55","Sep 14, 2018","Feature","Yes","https://lastshare.org/share/EmXGvprn1r2uCIP
https://open.spotify.com/track/2lOMj6dBqU13JOS5OglScH
https://music.apple.com/ca/song/danny-phantom-feat-ken-car%24on/1434801137"
"Before Boy Barbie","Fall Back
(with Young Sizzle & Southside) (prod. DY Krazy & Paxquiao)","Collaboration with Young Sizzle released through Southside's SoundCloud page on June 1st, 2018.","2:23","Jun 1, 2018","Single","No","https://lastshare.org/share/lbwXLgXR1UgulJh
https://soundcloud.com/southside808mafia/young-sizzle-kencaron-fall-back-prod-dy-paxquiao?in=e-edjit/sets/trap"
"Before Boy Barbie","⭐ Fan Behavior
(feat. Young Jordan) (prod. Yoga Flame)","Originally track 4 to Ken Car$on’s original Boy Barbie project. Scrapped when Ken signed to Playboi Carti’s Atlanta label Opium*.","2:54","Feb 25, 2018","Single","No","https://lastshare.org/share/y4c0WvK7mHGijCB
https://soundcloud.com/opiumarchiver/ken-carson-fan-behavior-feat-young-jordan"
"Before Boy Barbie","⭐ Fold
(prod. Richie Souf)","Track 3 on VFILES LOUD (Vol. 2: Fake I.D.) from V Files. The earliest song Ken Carson has on streaming on his page.","2:00","Nov 30, 2018","Single","Yes","https://lastshare.org/share/cJg2WthLI0IUSUd
https://open.spotify.com/track/0XYTwge3I57qw6bj6zXBUO
https://music.apple.com/us/album/fold-single/1442730615"
"Before Boy Barbie","free dro
(feat. Reese LAFLARE) (prod. MexikoDro)","OG Filename: Reese LaFlare X Ken Carson- Free Dro
The first song posted to Ken Carson’s new official SoundCloud page.","2:28","Sep 4, 2019","Single","No","https://lastshare.org/s/fg3G8q2MakbjRxd
https://soundcloud.com/kencarson/free-dro-ft-reese-la-flare-prod-by-mexikodro"
"Before Boy Barbie","Otto Rocket
(with Reese LAFLARE) (prod. Di$)","OG Filename: Reese LaFlare X Ken Carson- Otto Rocket
Collaboration with Reese LAFLARE released sometime in 2018, the date is unconfirmed.","1:59","","Single","No","https://lastshare.org/share/2Zn70HF8BEDRzHg
https://soundcloud.com/ken-carson-005/otto-rocket-feat-reese-laflare"
"Before Boy Barbie","yves saint laurent
(with Warhol.SS) (prod. Wheezy & TM88)
(All Season)","OG Filename: KEN CARSON - ALL SEASON
Song released on July 13th, 2018.","1:55","Jul 13, 2018","Single","No","https://lastshare.org/s/AVdjWQpKSCN2vdm
https://soundcloud.com/user-445046906/warhol-ss-ken-carson-yves?si=c583405da0844a9fa24009d057a097b2&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"6 EP Track(s)
1 Single(s)
0 Feature(s)
0 Music Video(s)
0 Production
0 Other","","(2019) (Ken Carson meets Playboi Carti and joins Opium®)
(May 12, 2020) (Boy Barbie is released)","","","","",""
"Boy Barbie","Gold Medal
(feat. Internation Jefe & Lil Unky) (prod. Lil 88)","OG Filename: JEFE X KEN 1 - GOLD MEDAL
Track 1 on Boy Barbie.","2:18","May 12, 2020","EP Track","Yes","https://open.spotify.com/track/7w1vbQ4yP8BPW1hbngsEly?si=84123166a2994972"
"Boy Barbie","Geeked Up
(prod. Based TJ)","Track 2 on Boy Barbie.","1:43","May 12, 2020","EP Track","Yes","https://open.spotify.com/track/6MEvdgFV9t2k6LqsAAUDHU?si=a2c0606079a040db"
