"Era","Name","Notes","File Date","Leak Date","Full Length","BPM","Available Length","Quality","Link(s)"
"","X
(Project Xtended, Ken Carson, X_MAN)","(Jul 23, 2021) (Project X is released)
(Jul 8, 2022) (X is released) Instrumentals","","","","","","",""
"X","Ain't No Way
(feat. Destroy Lonely & HXG) (prod. ​starboy & outtatown)","OG Filename: 5 444! 142 STAR BOY OUTTATOWN
Instrumental for the unreleased song Ain't No Way.","N/A","","2:16","","Full","High Quality","https://lastshare.org/share/3LyNBDCkpMwM5Ux"
"X","Delinquent
(prod. F1LTHY, Esko & Lukrative)
(All Year Freestyle)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","High Quality","https://pixeldrain.com/u/s9wrDS1q"
"X","X
(prod. Lukrative, Lucian & ​ssort)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/BVfdFwBr"
"","A Great Chaos
(AGC, X2)","(Jul 8, 2022) (X is released)
(Oct 13, 2023) (A Great Chaos is released)","","","","","","",""
"A Great Chaos","Jennifer's Body
(prod. KP Beatz & Lucian)","Session Filename: downsouth luc kp 140.ptx
Studio session for track 2 on A Great Chaos. Contains 164 vocal takes.","May 3, 2023","","5:24:27","","Full","Session","https://pixeldrain.com/u/F5ut4yuX
https://pillows.su/f/8e7c85c7fe230623b1603426b33d18fb"
"A Great Chaos","Fighting My Demons
(prod. Warren Hunter, ​bart how, Lvis, ​starboy & outtatown)
(Where TF, Pop)","Session Filename: ken 1.13 3.ptx
Studio session for track 3 on A Great Chaos. A full verse for the second half of the song and some alternate instrumentals were removed by the leaker.","Jan 13, 2023","","","","Partial","Session","https://pixeldrain.com/u/TpZoRT3w"
"A Great Chaos","Hardcore
(prod. starboy, AM, Bhristo, Warpstr & outtatown)","Studio session for track 6 on A Great Chaos.","N/A","","","","Snippet","High Quality","https://pillows.su/f/9cb0afd82b790d59f3f3957487b9058b
https://pillows.su/f/0e44362fb67d6c29c76dd728bc2d541c"
"A Great Chaos","Paranoid
(feat. Destroy Lonely) (prod. F1LTHY, Lukrative & Lucian)
(Kel-Tec)","Session Filename #1: 11.17.22 Tre Song 1
Session Filename #2: Paranoid 8.8.23
Session Filename #3: Paranoid 8.9.23
Session Filename #4: Paranoid 8.11.23
Session Filename #5: Paranoid 8.12.23
Session Filename #6: Paranoid 9.11.23
Session Filename #7: Paranoid 9.12.23
Session Filename #8: Paranoid 9.20.23
Studio session for track 9 on A Great Chaos. Contains 170 vocal takes.","Nov 17, 2022","","","","Full","Session","https://lastshare.org/s/fg5sqXSkO8KjvYb
https://lastshare.org/share/Nq7ZVXt9tjXSGNk
https://lastshare.org/share/pr54GWUTrk8XRDh
https://pillows.su/f/89c5767c6d41d671ebac34d0b6ebf303"
"A Great Chaos","Succubus
(prod. F1LTHY & AM)
(so dark, sucka)","Session Filename #1: dont lead me on 144 f1lam 2.ptx
Session Filename #2: dont lead me on 144 f1lam 2 v2.0.ptx
Session Filename #3: PTX #3 - SO DARK 9.8.23.ptx
Studio session for track 9 on A Great Chaos. Contains 202 vocal takes.","Jun 7, 2023","","1:13:56","","Full","Session","https://pixeldrain.com/u/7BdBzCB9
https://lastshare.org/share/uk0A2gA8NXqcCD9
https://pillows.su/f/f5b074e6eaca857f64e855aabf1e5d05"
