"Era","Name","Tracklist","Image","Date Made","Quality","Source","Link(s)"
"Unknown | Completely Unheard | Snippet Available | Version Available | Confirmed Version Available","Before Boy Barbie","(Apr 11, 2000) (Kenyatta Lee Bettis Frazier Jr. is born in Atlanta)
(2019) (Ken Carson meets Playboi Carti and joins Opium*®)","","","","",""
"Before Boy Barbie","Boy Barbie [V1]","Unused tracklist cover art for Boy Barbie, when it was at one point just two tracks, with Lancey Foux being the sole feature on both songs.

1. What You Know (feat. Lancey Foux)
2. Pink Panther (feat. Lancey Foux)","","","Clear","Ken","https://t2.genius.com/unsafe/830x0/https%3A%2F%2Fimages.genius.com%2F507b841200b62c44b9028eb0100f1e69.899x899x1.jpg"
"Before Boy Barbie","Boy Barbie [V2]","The original tracklist for Boy Barbie. It consisted of ten tracks, with Young Jordan being the sole featue. It was also originally intended for release under 808 Mafia, however in 2019, Ken Carson signed to Opium.

1. Intro
2. Splash
3. Hoky Oky
4. Fan Behavior (feat. Young Jordan)
5. Dream
6. Going Krazy
7. No Mo
8. Geeked Up
9. Back Then
10. Die About It","","","Clear","Ken","https://t2.genius.com/unsafe/830x0/https%3A%2F%2Fimages.genius.com%2F4db345894c3b0cfdaf9fe68d4a487b18.899x899x1.jpg"
"","Boy Barbie","(2019) (Ken Carson meets Playboi Carti and joins Opium®)
(May 12, 2020) (Boy Barbie is released)","","","","",""
"Boy Barbie","Boy Barbie [V3]","This is the third and final version of the tracklist.

1. Gold Medal (feat. International Jefe & Lil Unky)
2. Geeked Up
3. What You Know (feat. Lancey Foux)
4. Pink Panther (feat. Lancey Foux)
5. Flexing (feat. Lil Yachty)
6. Moshpit","","May 12, 2020","Clear","Ken","https://t2.genius.com/unsafe/830x0/https%3A%2F%2Fimages.genius.com%2Fb02b56888fb1482002f5c8ae5e9af993.827x827x1.jpg"
"","Teen X","(May 12, 2020) (Boy Barbie is released)
(Aug 14, 2020) (Teen X is released)","","","","",""
"Teen X","Teen X","Official tracklist for Teen X.

1. Teen X
2. Yale
3. Meds
4. Why
5. For Her
6. Pissed Off","","Aug 14, 2020","Clear","Ken","https://images.genius.com/2a64fa7a58dd2958aa0d0c199c6dbf4b.1000x1000x1.png"
"","Lost Files","(Aug 14, 2020) (Teen X is released)
(Jan 20, 2021) (Lost Files is released)","","","","",""
"Lost Files","Lost Files","Official tracklist for Lost Files.

1. opium
2. no love
3. pose 2 do
4. phenomenon
5. stuck (feat. Lil Yachty)
6. fuk shit","","Jan 20, 2021","Clear","Ken",""
"","Teen X : Relapsed
(Teen X Deluxe)","(Jan 20, 2021) (Lost Files is released)
(Jan 31, 2021) (Teen X : Relapsed is released)","","","","",""
"Teen X : Relapsed","Teen X : Relapsed","Official tracklist for Teen X : Relapsed.

1. Teen X Babe
2. Teenager Rager
3. Butterfly
4. High as Sh!T
5. On the Low","","Jan 31, 2021","Clear","Ken",""
"","Lost Files 2","(Jan 31, 2021) (Teen X : Relapsed is released)
(Jul 10, 2021) (Lost Files 2 is released)","","","","",""
