"Era","Name","Notes","Track Length","File Date","Leak Date","Available Length","Quality","Link(s)"
"1 OG File(s)
7 Full
0 Tagged
0 Partial
1 Snippet(s)
15 Unavailable","Before Boy Barbie","(Join the Discord Server!)  (Apr 11, 2000) (Kenyatta Lee Bettis Frazier Jr. is born in Atlanta)
(2019) (Ken Carson meets Playboi Carti and joins Opium*®) THROWAWAYS","","","","","",""
"Before Boy Barbie","✨ Dream
(prod. TM88)","OG Filename: Ken Car$on - Dream_2
Version of the SoundCloud single ""Dream"" which released on January 18th, 2018. The song was hidden sometime after November 6th, 2018, as evident by Twitter links. Has an updated mix, added autotune, pitch correction, changes to the beat, and a quieter intro. Better file leaked on January 4th, 2026. Track 5 on the original Boy Barbie tracklist.","1:53","N/A","Jan 19, 2020","Full","High Quality","https://pixeldrain.com/u/ozSpSjn7"
"Before Boy Barbie","Going Krazy
(prod. TM88 & Wheezy)
(Goin Krazy)","OG Filename: kencar$on goin krazy
This song was Track 6 on the original Boy Barbie tracklist. Released and later deleted on SoundCloud at some point in 2018.","1:42","N/A","2018","Full","High Quality","https://pixeldrain.com/u/KKJikYVA"
"Before Boy Barbie","⭐ Loot
(prod. Roark Bailey)","OG Filename: ken - loot
Song released on Ken Carson's old deleted SoundCloud in 2019.","1:49","N/A","2019","Full","High Quality","https://pixeldrain.com/u/j5gLaYqe"
"Before Boy Barbie","🏆 Maaly Raw*
(prod. Jeff4Nine & Maaly Raw)","Originally thought to be on Ken Car$on’s EP Boy Barbie and later on Teen X : Relapsed. Ken said he needed permission from Maaly Raw to release the song. The file for the song was supposedly lost by Ken.","N/A","N/A","2019","Snippet","Low Quality","https://lastshare.org/share/bFPorgdYbcZkLFI"
"Before Boy Barbie","Money Hungry
(prod. Einthismf)","This song was released on Ken Carson's old deleted SoundCloud in 2019. Has an open second verse.","3:01","N/A","2019","Full","High Quality","https://pixeldrain.com/u/86gAz2Wg"
"Before Boy Barbie","Ricky
(prod. RiqBeatz)","Supposedly one of the first songs Ken Carson made in 2016.","2:17","N/A","2016","Full","High Quality","https://pixeldrain.com/u/7Kbb6T5V"
"Before Boy Barbie","Rubberbandz Poppin
(with SheLovesMeechie) (prod. TM88)","Song released on one of Ken Carson's old deleted SoundCloud accounts in 2017.","2:45","N/A","2017","Full","High Quality","https://pixeldrain.com/u/QzpEEeeT"
"Before Boy Barbie","All Season [V1]
(with Warhol.SS) (prod. TM88 & Wheezy)
(yves saint laurent)","OG Filename: KEN CARSON - ALL SEASON
OG File for yves saint laurent featuring Warhol.SS.","1:55","2018","Jul 13, 2018","OG File","High Quality","https://pixeldrain.com/u/9gBZQrK5"
"Before Boy Barbie","Fold [V1]
(prod. Richie Souf)","Version of Fold with louder backing vocals. Released on SoundCloud on July 3rd, 2018, and it was later deleted.","2:00","N/A","Jul 3, 2018","Full","High Quality","https://pixeldrain.com/u/aSggosJm"
