Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Ongoing,"Ye - I CAN'T WAIT [V19]
(feat. Ms. Lauryn Hill & FutureSelf) (prod. Ye, Andre Troutman, 1SRAEL & FutureSelf)
(CAN'T HURRY LOVE)","Earlier mix of the released deluxe version. Uses alternate vocal takes by Ms. Hill. During the outro, Ms. Hill says ""How many times must I stand"", instead of ""How many heartaches"". Dated 12 hours earlier than the version used on release.",2:17,"Jun 19, 2026","Jun 19, 2026",Full,Lossless,https://pillows.su/f/0f8153f5ee38ab22f51b2bbb76fe6630
Ongoing,"Ye - BLIND FOR IT [V1]
(ref. Don Toliver) (prod. Ye)
(I CAN'T WAIT, CAN'T HURRY LOVE)","OG Filename: don - blind for it. 1
Initial reference track done by Don Toliver for Ye's album BULLY. Would have an AI Ye voice filter placed over it in future versions until he eventually recorded the reference. Has additional Don vocals on the intro which were later cut, a slower tempo, different drums, and a slightly different chop. Is entirely open after Don's reference hook. Original snippet leaked March 28th, 2026.",4:10,"Oct. 4, 2024","Apr 6, 2026",OG File,CD Quality,https://pillows.su/f/c773446f3154b26e5bbfddd95255ca04
Ongoing,"Ye - I CAN'T WAIT [V17]
(feat. Ms. Lauryn Hill & FutureSelf) (prod. Ye, Andre Troutman, 1SRAEL & FutureSelf)
(CAN'T HURRY LOVE)","Version with Ms. Lauryn Hill vocals on the hook. Has additional harmonies which were cut from the release. Recorded shortly after Ye's second SoFi concert, where he brought out Ms. Hill as a guest. Snippet posted by Jude Dontoh on April 4th, 2025.",,"Apr 4, 2026","Apr 4, 2026",Snippet,Recording,https://pillows.su/f/3e023012150a376560b6a340c0c411af
Ongoing,"Ye - CAN'T HURRY LOVE [V12]
(feat. A$AP Ferg, DJ Fai, Justin Laboy, The Game, Ty Dolla $ign, Peso Pluma & Quentin Miller)
(I CAN'T WAIT)","Version with choir vocals from Ye, Ty Dolla $ign, Peso Pluma, Justin Laboy, DJ Fai, Quentin Miller, The Game, and A$AP Ferg on the hook. Playboi Carti was present during this session, but he did not sing with the choir as he was on his phone. Recorded during the February BULLY, TYCOON, and CARTI YE session. It's unknown if this was ever bounced, but Ye confirmed he was recording it in the video.",,"Feb 6, 2025","Mar 28, 2026",Partial,Recording,https://pillows.su/f/d055ccb1f020ba292d0a81bdcf49e1cc
Ongoing,"Ye - I CAN'T WAIT [V16]
(feat. FutureSelf) (prod. Ye, Andre Troutman, 1SRAEL & FutureSelf)
(CAN'T HURRY LOVE)","Seen on a tracklist posted by Ye to Twitter on March 25th, 2026. Played in full at the LA LP the following day. Features real Ye vocals, AI over the sample, and additional production from 1SRAEL.",2:05,,"Mar 27, 2026",Full,High Quality,https://pillows.su/f/702aa09c7a6fb361d0e42993a9a48efa
Ongoing,"Ye - CAN'T HURRY LOVE [V8]
(prod. Ye)
(I CAN'T WAIT)","OG Filename: 06 Cant hurry MIX.02_02
IRKO mix of the version from the December visual album copy. Has alternate drums and removes the sample from the outro. Exported as a flac file but has a low bitrate.",1:52,,"Feb 11, 2026",OG File,Lossless,https://pillows.su/f/63916ba2e7beae6c2764e364f7cb76d2
Ongoing,"Ye - CAN'T HURRY LOVE [V14]
(prod. Ye)
(I CAN'T WAIT)","Initial version with Quentin's verse filling the open, forming the basis for the verse Ye recorded for the digital and streaming releases of BULLY. Snippets leaked July 18th, July 24th, and December 13th, 2025. Leaked as a bonus to the ""And They Came Back / This One Here"" fundraiser.",2:18,,"Dec 25, 2025",Full,CD Quality,https://pillows.su/f/faa1af1b0895d5397d87ec235450a204
Ongoing,🏆 ???,Track played during Ms. Hill's Montreal stop of her Artist In Residence tour. Snippet features live vocals from the performance.,,,"Dec 3, 2025",Snippet,Recording,https://pillows.su/f/5f5bef6e5414afd385991fd313153e76
Ongoing,"🏆 ???
(feat. Nas)","Track played during Ms. Hill's Montreal stop of her Artist In Residence tour, featuring a verse from Nas.",,,"Dec 3, 2025",Snippet,Recording,https://pillows.su/f/eab227840e62e3e7a005dda884de8704
Ongoing,???,Track played during Ms. Hill's Montreal stop of her Artist In Residence tour. Only a snippet of the instrumental was played.,,,"Dec 3, 2025",Snippet,Recording,https://pillows.su/f/fe06baacad6126bf7d5f397bf9c46701
Ongoing,"???
(A Song About You)",Track performed during Ms. Hill's Montreal stop of her Artist In Residence tour. Snippet features fully live vocals and instrumentation from the performance.,,,"Dec 3, 2025",Confirmed,Recording,https://pillows.su/f/e784b65ae2767736aa18e6c027227bd9
Ongoing,"???
(When You Call My Name)","Track played during several stops of Ms. Hill's Artist In Residence tour with completely live instrumentation and vocals. Song was described as being ""from the archives"".",,,"Dec 2, 2025",Snippet,Recording,https://pillows.su/f/2d55b8196602a8382059edf6b4ccf905
Ongoing,"Guarding The Gates [V2]
(prod. Ms. Lauryn Hill)","OG Filename: Guarding The Gates (Studio Rough)
Snippet posted to Ms. Hill's social media pages to promote her Canada Artist In Residence tour. Contains more accoustic production than the version that released on the soundtrack for the film Queen & Slim. The filename comes from the Instagram upload.",,,"Nov 11, 2025",Snippet,High Quality,https://pillows.su/f/b0451d2f95ca30c935cf408ac79113aa
Ongoing,🏆 ???,Snippet posted to Ms. Hill's social media pages to promote her Canada Artist In Residence tour. Was also performed live.,,,"Nov 11, 2025",Snippet,High Quality,"https://pillows.su/f/51e550062ddc47fbf28267d56829b76e
https://pillows.su/f/9bcdd70751707dad452bbf6bf32e56ed"
The Miseducation of Lauryn Hill,"D'Angelo - Water No Get Enemy [V1]
(ref. D'Angelo) (prod. D'Angelo)","A cover of the song by Fela Kuti slated to appear on D'Angelo's album Voodoo. Planned to be a duet with Ms. Hill, but she allegedly didn't feel comfortable doing the song so they decided to do ""Feel Like Making Love"" instead. Interpolates ""Bam Bam"" by Chaka Demus in a similar way to ""Lost Ones"". A snippet of a version with D'Angelo doing reference vocals for Ms. Hill was played by Joseph Patel on The Lot Radio, claiming he received the track on an early advance copy of the album.",~6:00,,"Oct 19, 2025",Partial,Recording,https://pillows.su/f/66fd7647bc5e7f4f5413740f8f674164
Ongoing,"Ye - CAN'T HURRY LOVE [V11]
(prod. Ye)
(I CAN'T WAIT)","OG Filename: 11 CAN'T HURRY LOVE
Track 11 on the demo version of BULLY originally slated for release. Alternate mix of the version from the December copy with a faster BPM.",1:49,"Jan 16, 2025","Jul 27, 2025",OG File,Lossless,https://pillows.su/f/33f9571e5b8558eb891a6f2c25e0cd0c
Ongoing,"Ye - We Got Love [V23]
(feat. Teyana Taylor & Ms. Lauryn Hill) (prod. Ye, BoogzDaBeast, E.VAX & MIKE DEAN)","OG Filename: WE GOT LOVE MIKE JESS MIX 17
Another mix of the song. Has pitch correction on Ye's vocals.",4:04,"Oct 3, 2018","Jul 3, 2025",OG File,CD Quality,https://pillows.su/f/d6b712faa16e32ec9218d8698be0d074
Ongoing,"Ye - CAN'T HURRY LOVE [V3]
(prod. Ye)
(I CAN'T WAIT)","OG Filename: Can't Hurry Love - Ye Hook Sped Up 5BPM
Version from an October 18th copy of BULLY. Leaked after a groupbuy. Ye sings the sample hook, while the verses are still Don Toliver with a filter. Also has alternate production.",1:53,"Oct. 18, 2024","Apr 7, 2025",OG File,CD Quality,https://pillows.su/f/b46a82cc164cd3e0d2eb25b553bca5f1
Ongoing,"Ye - CAN'T HURRY LOVE [V5]
(prod. Ye)
(I CAN'T WAIT)","OG Filename: Can't Hurry Love - Ye OG Snr We 10.24.14
Later version also on the November BULLY visual album copy. The 14 in the filename is a mistake. Has different drums and mixing compared to the version in the December visual album copy.",2:05,"Oct 24, 2024","Mar 18, 2025",Full,CD Quality,https://pillows.su/f/df991910f8e9bcbff4a3f405fd588abf
