Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"17 Album Track(s)
0 Single(s)
2 Feature(s)
0 Production
0 Other","Blunted On Reality
(Collaboration with Wyclef Jean & Pras as Fugees)","(??/??/1992) (The Fugees begin recording at the House of Music Studios)
(??/??/1993) (The Fugees get signed to Ruffhouse Records)
(01/25/1994) (Blunted On Reality officially releases)",,,Other,,
Blunted On Reality,"Introduction
(feat. Levi & Mad Spider) (prod. Rashad Muhammad)",Track 1 on the Fugees' debut album blunted On Reality.,1:14,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/541185/u
Blunted On Reality,"Nappy Heads
(prod. Brand X, Pras, Wyclef Jean & Rashad Muhammad)","Track 2 on the Fugees' debut album Blunted On Reality. Also released as a single on February 1st, 1994.",4:29,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/532605/u
Blunted On Reality,"Blunted Interlude
(prod. Wyclef Jean, Pras & Rashad Muhammad)
(Blunted On Reality)",Track 3 on the Fugees' debut album blunted On Reality.,6:49,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/546353/u
Blunted On Reality,Recharge,Track 4 on the Fugees' debut album blunted On Reality.,5:10,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/546355/u
Blunted On Reality,Freestyle Interlude,Track 5 on the Fugees' debut album blunted On Reality.,1:08,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/541207/u
Blunted On Reality,Vocab,"Track 6 on the Fugees' debut album blunted On Reality. Also released as a single on October 18th, 1994.",5:02,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/532624/u
Blunted On Reality,Special News Bulletin Interlude,Track 7 on the Fugees' debut album blunted On Reality.,0:21,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/545267/u
Blunted On Reality,Boof Baf,Track 8 on the Fugees' debut album blunted On Reality. Initially released as a single.,5:09,"Oct 19, 1993",Album Track,Yes,https://tidal.com/track/532619/u
Blunted On Reality,Temple,Track 9 on the Fugees' debut album blunted On Reality,4:03,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/539346/u
Blunted On Reality,How Hard Is It?,Track 10 on the Fugees' debut album blunted On Reality.,3:53,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/539345/u
Blunted On Reality,Harlem Chit Chat Interlude,Track 11 on the Fugees' debut album blunted On Reality.,0:50,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/561470/u
Blunted On Reality,"Some Seek Stardom
(prod. Stephen Walker & Rashad Muhammad)","Track 12 on the Fugees' debut album Blunted On Reality. Also released as a single on February 1st, 1994.",3:42,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/542923/u
Blunted On Reality,Giggles,Track 13 on the Fugees' debut album blunted On Reality.,4:21,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/539344/u
Blunted On Reality,Da Kid From Haiti Interlude,Track 14 on the Fugees' debut album blunted On Reality.,0:59,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/546354/u
Blunted On Reality,Refugees On The Mic,"Track 15 on the Fugees' debut album blunted On Reality. Also appeared on the single for ""Vocab"".",4:58,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/542924/u
Blunted On Reality,Living Like There Aint No Tomorrow,"Track 16 on the Fugees' debut album blunted On Reality. Also appeared on the single for ""Boof Baf"".",4:00,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/543767/u
Blunted On Reality,Shouts Outs on the Block,Track 17 on the Fugees' debut album blunted On Reality.,9:16,"Jan 25, 1994",Album Track,Yes,https://tidal.com/track/546095/u
Blunted On Reality,"🌟 Nappy Heads (Remix)
(Hey Mona Lisa)",Track 18 on the Fugees' debut album blunted On Reality.,5:22,"Jan 25, 1994",Other,Yes,https://tidal.com/track/541278/u
Blunted On Reality,"His Eye Is on the Sparrow
(with Ms. Lauryn Hill & Tanya Blount)",Track 6 on the original soundtrack for the 1993 Sister Act 2: Back in the Habit. Ms. Lauryn Hill's first known official appearance.,4:30,"Nov 23, 1993",Feature,No,https://pillows.su/f/9fbbb6b0a463fd392f7b5cb313ab45dd
Blunted On Reality,"Joyful, Joyful
(with The St. Francis Choir) (feat. Devin Kamin, Ms. Lauryn Hill, Ron Johnson & Ryan Toby)",Track 11 on the original soundtrack for the 1993 movie Sister Act 2: Back in the Habit.,4:18,"Nov 23, 1993",Feature,No,https://pillows.su/f/fb224a1db7a89424eb69c6eb449c2ce8
"17 Album Track(s)
0 Single(s)
1 Feature(s)
0 Production
0 Other","The Score
(Collaboration with Wyclef Jean & Pras as Fugees)","(01/25/1994) (Blunted On Reality officially releases)
(02/13/1996) (The Score officially releases)",,,Other,,
The Score,"Red Intro
(feat. DJ Red Alert & Ras Baraka) (prod. Wyclef Jean, Te Bass & Pras)",Track 1 on the Fugees' second album The Score.,1:52,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394130/u
The Score,"How Many Mics
(prod. Fugees, Shawn King & Jerry Duplessis)",Track 2 on the Fugees' second album The Score.,4:29,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394131/u
The Score,"🌟 Ready or Not 💎
(prod. Fugees & Te Bass)","Track 3 on the Fugees' second album The Score. Also released as a single on September 2nd, 1996. Samples ""Boadicea"" by Enya and ""God Made Me Funky"" by The Headhunters. Interpolates ""Ready or Not, Here I Come (Can't Hide from Love)"" by The Delfonics.",3:47,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394132/u
The Score,"🌟 Zealots
(prod. Fugees & Te Bass)","Track 4 on the Fugees' second album The Score. Samples ""I Only Have Eyes for You"" by The Flamingos.",4:21,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394133/u
The Score,"The Beast
(prod. Fugees & Te Bass)","Track 5 on the Fugees' second album The Score. Samples ""God Made Me Funky"" by The Headhunters.",5:37,"Feb 13, 1996",Album Track,Yes,https://tidal.com/track/107394134/u
