Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
4 Unavailable",Before Blunted On Reality,,,,,,,
Before Blunted On Reality,"??? [V1]
(with Tranzlator Crew)",Version from before Wyclef recorded.,,,,Confirmed,Not Available,https://www.rollingstone.com/music/music-news/the-fugees-leaders-of-the-new-cool-244125/5/
Before Blunted On Reality,"??? [V2]
(with Tranzlator Crew) (feat. Wyclef Jean)","Wyclef Jean had recorded a freestyle over a track the Tranzlator Crew trio were developing, before he formally joined the group.",,,,Confirmed,Not Available,https://www.rollingstone.com/music/music-news/the-fugees-leaders-of-the-new-cool-244125/5/
Before Blunted On Reality,"Tranzlator Rap [Album]
(with Tranzlator Crew)","A project Pras, Ms. Hill and Marcy Harriell were working on, based around rapping in different languages.",,,,Confirmed,Not Available,https://www.rollingstone.com/music/music-news/the-fugees-leaders-of-the-new-cool-244125/
Before Blunted On Reality,Unknown [Covers],"Growing up, Ms. Hill would write many songs over various instrumentals from artists she was inspired by. Unknown how many, if any, were ever recorded.",,,,Confirmed,Not Available,
"0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
3 Unavailable",Blunted On Reality,,,,,,,
Blunted On Reality,"Nappy Heads (Remix)
(prod. Salaam Remi)
(Hey Mona Lisa)","Initial freestyle recorded during the same Blunted On Reality session as ""Gone Till November"". According to Salaam Remi, ""Wyclef came through to meet me and he had on a bubble goose and nappy, nappy hair, Adidas sweatpants. He took it and vibed on it and was like I want you to meet the girl so in came Pras and Lauryn. I remember the session—December 13, 1993—cause I had a cassette with the date on it. Clef rhymed on it for like 15 minutes.... Having my NY radio, club ear on, I made it so it would start off with the right kind of energy—the “Cheeba cheeba y’all” verse felt right.""",,"Dec 13, 1993",,Confirmed,Not Available,https://www.largeup.com/2014/02/13/throwback-thursdays-salaam-remi-on-the-fugees-blunted-on-reality/
Blunted On Reality,"Gone Till November
(prod. Wyclef Jean)","Original version of the song recorded during the same Blunted On Reality session as the remix to ""Nappy Heads"". According to Salaam Remi, ""Wyclef came through to meet me and he had on a bubble goose and nappy, nappy hair, Adidas sweatpants. He took it and vibed on it and was like I want you to meet the girl so in came Pras and Lauryn. I remember the session—December 13, 1993—cause I had a cassette with the date on it. Clef rhymed on it for like 15 minutes. For that same session he did 'Gone til November'."" Later released on Wyclef Jean's album Wyclef Jean Presents The Carnival.",,"Dec 13, 1993",,Confirmed,Not Available,https://www.largeup.com/2014/02/13/throwback-thursdays-salaam-remi-on-the-fugees-blunted-on-reality/
Blunted On Reality,Unknown [Album Copies],"It's been said several times that Blunted On Reality was finished in 1992, however it was not able to be released until 1994 due to label issues. It's likely several early album copies exist.",,,,Confirmed,Not Available,
"5 Full
0 Tagged
0 Partial
0 Snippet(s)
0 OG File(s)
0 Stem Bounce(s)
9 Unavailable",The Score,,,,,,,
The Score,"Fat Joe - ??? [V1]
(prod. Salaam Remi)
(Fu-Gee-La)","According to Salaam Remi, the beat for ""Fu-Gee-La"" was originally for Fat Joe to use on his album Jealous One's Envy. Fat Joe had asked for a beat similar to Salaam's ""Nappy Heads"" remix, but didn't end up using it on his album. Ms. Hill requested the beat to be played during the sessions for ""Project Heads"", and they ended up taking the beat.",,,,Confirmed,Not Available,"https://pitchfork.com/thepitch/1027-inside-fugees-the-score-20-years-later-with-its-collaborators/
https://medium.com/micro-chop/fu-gee-la-was-a-rejected-fat-joe-beat-5b0a12648636"
The Score,"Fu-Gee-La [V2-V?]
(prod. Salaam Remi)","According to Salaam Remi, ""Lauryn went through singing a lot of different things [for the chorus], from ‘Never Dreamed You’d Leave In Summer’ to Chaka Khan records to all types of stuff. When she finally hit that ‘ooh la la la,’ that was the hook. During that process, Lauryn probably recorded her 16 bars every day for seven days straight. She came back in every day to redo it, because she’s that level of a perfectionist.""",,,,Confirmed,Not Available,https://pitchfork.com/thepitch/1027-inside-fugees-the-score-20-years-later-with-its-collaborators/
The Score,⭐ Hip Hop Music,"From the Fugees' 1994 session with John Peel. Was premiered on the October 14th 1994 broadcast of BBC One's John Peel Show, and played again on the May 27th 1995 episode. Features all three Fugees.",4:51,"Sep 8, 1994","Oct 14, 1994",Full,CD Quality,https://pillows.su/f/ee9b04e2c298babfeb4ef4ad9c2329dc
