Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2026,,Blind,Blind Lone + Carti Bonus,"Main Song
talk to me

Bonus
L5 - BEEN ON (with Playboi Carti) - Reached (song didn't drop though)


Buy finished in under 3 hours within opening. Lone then proceeded to post a muted MV snippet on his IG shortly after the buy finished, however the CDQ snippet lined up with the snippet which sent comm into a mass panic. The seller then proceeded to ghost organizers for 36 hours, so it's to be assumed he was either trolling and had no intent to sell or got scared or some shit. Refunds are going to be sent out.  This entire fiasco also resulted in Carti Hub, Lone Hub, Ken Hub & 2 different Sidepiece servers/reups getting clapped. Funnily enough though the GB server never got clapped 💔","$1,650","July 16, 2026","July 16, 2026",Normal,Cancelled,
Unknown,,Drop Dead Gorgeous,Previewed DDG,"Main Song
???
Replacing the blind 2024.
god this comm is so fucking fried like this buy just ended with no real word or anything","5,000$",N/A,N/A,Blind,Cancelled,
2026,,LOVE LASTS FOREVER [V2],Blind PREVIEWED 2024,"Main Song
???
Was said to be wanted by GB organizers. Got turned into a previewed DDG tho.","3,500$","May 29, 2026",-,Blind,Cancelled,
2026,,NO STYLIST [V3],🥇 CAME UP (MONSOON),"Main Song
🥇 CAME UP (MONSOON)","2,500$","Apr 10, 2026","Apr 12, 2026",Normal,Force Leaked,
2026,,Multiple Eras,🏆2x Previewed Wanted songs,"Main Song
🏆 PROBLEMS (LOVE HURTS) (2024, LLF V2)
🥇cartier (2024, BH3)","6,500$",N/A,"Mar 31, 2026",Normal,Completed,
2026,,LOVE LASTS FOREVER [V2],🏆 DONT KNOW WHY,"Main Song
🏆 DON'T KNOW WHY","5,000$","Mar 10, 2026","Mar 11, 2026",Normal,Completed,
2026,,Multiple Eras,WAY TOO HIGH + BONUS,"Main Songs
MOTIVATION
WAY TOO HIGH

BONUS 
Solo Previewed
Started after Way Too High's buy was taking too long. Finished on Mar 7, 2026, but Way Too High + another bonus was added to the buy, adding another $2,500 to the total price.","4,500$
7,000$","Mar 7, 2026","Mar 9, 2026",Normal,Completed,
2026,,</3³,Way Too High,"Main Song
WAY TOO HIGH
Buy was cancelled due to slow progress and replaced with ""MOTIVATION"".","4,500$","Mar 6, 2026",,Normal,Cancelled,
2026,,</3³,Snow Strippers x Lone,"Main Song
Snow Strippers - Carry My Wings (feat. Destroy Lonely)","3,500$","Feb 13, 2026","Feb 14, 2026",Normal,Completed,
2026,,Blind,Comm Grail,"Main Song
🏆 Ken Carson - Blue Benjamins (feat. Destroy Lonely)
The buy was said to be non-blind and will be one of 5 songs:
-🏆Perfect Aim
-🏆Beach House
-🏆Blue Benjamins
-🏆Flawless
-🏆Don’t Know Why
The song promptly leaked for free the day before the buy was meant to start.",,"Feb 6, 2026",,Normal,Cancelled,
