Era,Name,Notes,Length,Date Made,Type,Available Length,Quality,Link(s),Location,Director(s),In Circulation?
Alternative Trap,"Untouchable Lucki
(prod. Bitoy)",Official music video for Untouchable Lucki.,2:19,"Jan 23, 2023",Officially Released,,,https://www.youtube.com/watch?v=HOBP0khg5sU,,BryanZawlocki,Officially Released
Alternative Trap,"Everything Out$ide
(prod. Hippie Dream)",Official music video for Everything Out$ide.,3:17,"May 29, 2023",Officially Released,,,https://www.youtube.com/watch?v=O3slsRHFzp4,,BryanZawlocki,Officially Released
Alternative Trap,"Love It
(prod. Plu2o Nash)",Official music video for Love It.,3:24,"Sep 13, 2023",Officially Released,,,https://www.youtube.com/watch?v=BM_FVwMwsMg,,Plu2o Nash,Officially Released
Alternative Trap,"Count On Me
(prod. HytMan)",Deleted Music Video for Count On Me.,3:58,,Deleted Release,,,https://www.youtube.com/watch?v=eFXspIJVKU0,,,Deleted Release
Body High,"Hyype - Black Attire
(feat. LUCKI) (prod. Dreez)",Music video for Black Attire.,2:38,"Apr 27, 2014",Officially Released,,,https://www.youtube.com/watch?v=w0iZ0g2eABM,,Jake Osmun,Officially Released
Body High,"Xan Cage
(prod. LOTTO)",Music video for Xan Cage. Removed off of YouTube.,2:40,"Jun 13, 2014",Deleted Release,,,https://www.youtube.com/watch?v=rnhSVLW2PZo,,Jimmy Regular,Deleted Release
Body High,"BOOMIN'
(prod. Plu2o Nash)",Music video for BOOMIN'. Removed off of YouTube.,2:05,,Deleted Release,,,https://www.youtube.com/watch?v=Yiyy5X370KY,,,Deleted Release
Body High,"Finesse
(prod. Skywlkr)",Music video for Finesse. Removed off of YouTube.,3:37,,Deleted Release,,,https://www.youtube.com/watch?v=ehQS3Lf6lGI,,,Deleted Release
Body High,"Hidden Place
(prod. Keef Brain)",Music video for Hidden Place. Removed off of YouTube.,2:40,,Deleted Release,,,https://www.youtube.com/watch?v=cBRS_0W79mw,,,Deleted Release
X,"Birdgang
(prod. LUCKI)",Official music video for Birdgang. Removed off of YouTube.,1:46,"Aug 6, 2015",Deleted Release,,,https://www.youtube.com/watch?v=35MtsfXGPVw,,Jake Osmun,Deleted Release
X,"Lowlife
(prod. Plu2o Nash)",Official music video for Lowlife.,4:04,"Mar 24, 2017",Officially Released,,,https://www.youtube.com/watch?v=EuWLvnenAlo,,Jake Osmun,Officially Released
X,"None Other
(prod. Bulletproof Dolphin)",Official music video for None Other. Removed off of YouTube.,2:59,,Deleted Release,,,https://www.youtube.com/watch?v=AQu_nbE7PCk,,Jake Osmun,Deleted Release
