Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
FLAWLESS LIKE ME [V1],"⭐️Go To Far
(prod. Plu2o Nash)
(Super True, Super Troop)","OG Filename: go to far rough copy
Previewed on October 4, 2020 via LUCKI's Instagram live. Leaked on June 4, 2026.",1:51,,"Jun 4, 2026",OG File,CD Quality,https://imgur.gg/f/0E6JtYD
Dr*gs R Bad [V2],"⭐️Snake Pit Flow
(with Lil Baby)","OG Filename: LUCKI x WHAM... Pit
Previewed on June 3, 2025 via LUCKI's vlog. Track file-name shown on July 2, 2025. Leaked on May 6, 2026. Song was switched out for Can't B Trusted before release.",2:27,,"May 6, 2026",Full,High Quality,https://imgur.gg/f/QRrNtoZ
Dr*gs R Bad [V2],"WAYBetter Dayz [V1]
(with Chynna) (prod. BrentRambo, Bhristo, Yung Icey & Esko)
(Simple)","OG Filename: LUCKI - SIMPLE
Previewed on July 2, 2025. Leaked on May 6, 2026. Has an alternative intro.",1:44,,"May 6, 2026",Full,High Quality,https://imgur.gg/f/jqHVrxy
Dr*gs R Bad [V2],"Order*
(with Lil Baby) (prod. Maxvon, Bhristo & Mousha)","Previewed on April 6, 2026 via LUCKI's Instagram live.",,,"Apr 6, 2026",Snippet,Recording,https://imgur.gg/f/aXNkG96
dr*gs r bad [V1],"Capo 2x [V1]
(with Kkanii) (prod. BHeavy & RawGerio)
(Out Of Order, Working Smarter, Smarter Not Harder)","OG Filename: Kani Lucki 12 21 24
Leaked on March 8, 2026. Original version with a shorter runtime.",1:49,,"Mar 8, 2026",Full,High Quality,https://imgur.gg/f/W7MhDDL
dr*gs r bad [V1],"90mg
(Like Nothing)","OG Filename: Song 1 V2- Lucki (Mbw)4.28.25
Snippet leaked on August 10, 2025. Previewed on October 23, 2025. Leaked on March 4, 2025.",2:01,"Apr 28, 2025","Mar 4, 2026",Full,High Quality,https://imgur.gg/f/BHgeUHa
FLAWLESS LIKE ME [V1],"✨Feeling Like This
(Like This, Booze)","OG Filename: 10-24-20 {JAYME MIX 1}
Previewed on November 13, 2020 via LUCKI's Instagram live. Previewed again on January 28, 2021 via LUCKI's Instagram story. Snippet leaked on June 5, 2025. Leaked on March 1, 2026.",2:10,"Oct 24, 2020","Mar 1, 2026",OG File,CD Quality,https://imgur.gg/f/DMqfpmc
FLAWLESS LIKE ME [V1],"Flex Up
(prod. TheCrazyPart)
(Bury Me, Luv Me)","OG Filename: Bury Me/Luv Me 09-30-20 {JAYME MIX 1}
Previewed on October 4, 2020 via LUCKI's Instagram live. Snippet leaked on February 10, 2025. Leaked on March 1, 2026.",1:51,"Sep 30, 2020","Mar 1, 2026",OG File,CD Quality,https://imgur.gg/f/dDBKzhX
FLAWLESS LIKE ME [V1],"HellKat Boy
(prod. Oogie Mane & Plu2o Nash)
(Keep Up)","OG Filename: 09-28-20 {JAYME MIX 1}
Previewed on October 4, 2020 via LUCKI's Instagram live. Higher quality snippet later leaked on July 27, 2023. Leaked on March 1, 2026.",1:22,"Sep 28, 2020","Mar 1, 2026",OG File,CD Quality,https://imgur.gg/f/gjsc5lf
FLAWLESS LIKE ME [V1],"🏆Overseas
(prod. BrentRambo)","Previewed multiple times throughout 2020 and 2021. A CDQ quality snippet would be posted on April 26, 2023. The full track was later previewed on June 13, 2023 via BrentRambo's Instagram live. Previewed another time on February 7, 2025 via underw6ter's Instagram live. Another snippet leaked on March 1, 2026.",,"Aug 2, 2020","Mar 1, 2026",Full,Recording,"https://imgur.gg/f/enDH39E
https://imgur.gg/f/DWiiDeQ
https://imgur.gg/f/OwynQFS
https://imgur.gg/f/xaAhHp5
https://imgur.gg/f/IO6QzpK
https://imgur.gg/f/GygsOl8"
FLAWLESS LIKE ME [V1],"⭐️Str8
(prod. StoopidXool)
(Chase)","OG Filename: Lucki - Str8 2_8.2
Previewed on August 5, 2020 via LUCKI's Instagram story. Later previewed in full on October 4, 2020 via LUCKI's Instagram live. Snippet leaked on February 22, 2025. Another snippet leaked on May 27, 2025. Stated by LUCKI that it would make the album, however never did. Leaked on March 1, 2026.",2:33,"Aug 2, 2020","Mar 1, 2026",OG File,High Quality,https://imgur.gg/f/2Ujrvd0
