Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Watch My Back,days be4 storm,"Official tracklist for days be4 storm

1. Sunset
2. Don't You Love Me",,"Apr 14, 2017",Clear,LUCKI,
Watch My Back,Watch My Back,"Official tracklist for Watch My Back

1. Miss Me
2. Are U Wit Me
3. Owe Me
4. Komfortable
5. Poker Face
6. Bprint
7. Leave With You
8. Expectations
9. Fast Car
10. Thank God
11. Dirty You
12. No Wok
13. Options
14. New to Me
15. Owe a Nigga
16. Waiting On
17. Show Time
18. Over",,"May 5, 2017",Clear,LUCKI,
DAYS B4 II EP,Extra Lucky,"Official tracklist for Extra Lucky

1. hxh.mp3
2. caroline.mp3",,"May 9, 2017",Clear,LUCKI,
DAYS B4 II EP,NYC,"Official tracklist for NYC

1. 4get
2. Fear or Lust",,"Jul 20, 2017",Clear,LUCKI,
DAYS B4 II EP,BD (Better Days),"Tracklist for Better Days posted in 2018.

1. 4everybody
2. Root Of All
3. swever
4. -@NIGHT
5. incoming
6. Drama queen ft LIL SKIES
7. face
8. give/take
9. 4 do you worry
10. cycle soul (interlude)
11. Facts only
12. prove it
13. rain ft Uno
14. sportmode
15. disttractions41
16. 222
17. Self Made
18. starstruck
19. 2way",,,Clear,LUCKI,
DAYS B4 II EP,DAYS B4 II EP,"Official tracklist for DAYS B4 II EP

1. Root of All
2. After
3. Switchlanes
4. Rights
5. Distant
6. Facts Only [Bonus]",,"Apr 12, 2018",Clear,LUCKI,
Freewave 3,Freewave 3,"Official tracklist for Freewave

1. Politics
2. Out My Way
3. More Than Ever
4. Of Course You Wont
5. Believe the Hype
6. Geek Monster
7. Interlude
8. Peach Dream
9. Glory Boy
10. Let's See
11. 2012 Summer
12. 2 Easy - Give Up
13. All In
14. 4 - U - City Girl
15. 3D Outro",,"Feb 15, 2019",Clear,LUCKI,
Days B4 III,Extra Lucky 2,"Official tracklist for Extra Lucky 2

1. 90 Milligrams
2. Pressure
3. Over You
4. Boss Bitch
5. Used 2",,"Jun 28, 2019",Clear,LUCKI,
Days B4 III,Days B4 III,"Days B4 III tracklist from September 25, 2019

1. Me Myself + I
2. 4 the betta
3. RIP KCT
4. Go Away
5. Way 2 Rare
6. Randomly
7. (DJ SKREW SKIT) hush
8. Beverly Hills
9. Geeked
10. Hollywood dreams
11. Left 4 Dead
12. -
13. -
14. -",,"Sep 25, 2019",Clear,LUCKI,
Days B4 III,Days B4 III,"Official tracklist for Days B4 III

1. Me Myself & I
2. 4 The Betta
3. RIP Act
4. Go Away!!
5. Way 2 Rare
6. Randomly
7. Hush Skit
8. Beverly Hills to 35th
9. Geeked
10. Hollywood Dreamer
11. Left 4 Dead
12. TBT
13. 2 of You (Hearts)
14. Send Me On My Way
15. Last Time Mentioning (Good Riddance)",,"Oct 25, 2019",Clear,LUCKI,
Almost There,Almost There,"Tracklist teased to be a 10 song EP.

1-10. ???",,"May 17, 2020",Clear,LUCKI,
Almost There,idgaf days b4 may 30 :),"Official tracklist for idgaf days b4 may 30 :)

1. magic bity </3
2. did dat shiiii <3",,"May 26, 2020",Clear,LUCKI,
