Era,Name,Notes,Designer,Image,Image Type,Usage
But My Mackin' Ain't Easy,But My Mackin' Ain't Easy [Cover #1],"Original cover for ""But My Mackin' Ain't Easy"", found on an archive of Beedle's Myspace from January 2008.",,,Front Cover,Used
But My Mackin' Ain't Easy,But My Mackin' Ain't Easy [Cover #2],"Second cover for ""But My Mackin' Ain't Easy"", the source of this cover is unknown; it was not the cover used for the tape's release on DatPiff in 2007.",,,Front Cover,Alternate
How High,How High: The Mixtape [Cover],"Cover for ""How High: The Mixtape"".",,,Front Cover,Used
How High,How High: The Mixtape [Back Cover],"Back cover for ""How High: The Mixtape"".",,,Back Cover,Used
How High,How High: The EP [Cover],"Cover for ""How High: The EP"".",,,Front Cover,Used
How High,How High: The EP [Back Cover],"Back cover for ""How High: The EP"".",,,Back Cover,Used
The Jukebox: Prelude to Class Clown,The Jukebox: Prelude to Class Clown [Cover],"Cover for ""The Jukebox: Prelude to Class Clown"".",,,Front Cover,Used
The Jukebox: Prelude to Class Clown,The Jukebox: Prelude to Class Clown [Back Cover],"Back cover for ""The Jukebox: Prelude to Class Clown"".",,,Back Cover,Used
The High Life,The High Life [Cover],"Cover for ""The High Life"".",,,Front Cover,Used
The High Life,The High Life [Back Cover],"Back cover for ""The High Life"".",,,Back Cover,Used
K.I.D.S.,K.I.D.S. [Cover],"Front cover for ""K.I.D.S."".",,,Front Cover,Used
K.I.D.S.,K.I.D.S. [Deluxe Cover],"Front cover for the deluxe version of ""K.I.D.S."".",,,Front Cover,Alternate
K.I.D.S.,K.I.D.S. [Back Cover],"Back cover for ""K.I.D.S."".",,,Back Cover,Used
K.I.D.S.,Nikes On My Feet [Single Cover],"Cover for the ""Nikes On My Feet"" single.",,,Front Cover,Used
K.I.D.S.,Kool Aid And Frozen Pizza [Single Cover],"Cover for the ""Kool Aid And Frozen Pizza"" single.",,,Front Cover,Used
K.I.D.S.,Senior Skip Day [Single Cover],"Cover for the ""Senior Skip Day"" single.",,,Front Cover,Used
K.I.D.S.,Knock Knock [Single Cover],"Cover for the ""Knock Knock"" single.",,,Front Cover,Used
Best Day Ever,Best Day Ever [Cover],"Front Cover for ""Best Day Ever"".",,,Front Cover,Used
Best Day Ever,Best Day Ever [Back Cover],"Back cover for ""Best Day Ever"".",,,Back Cover,Used
Best Day Ever,Donald Trump [Single Cover],"Cover for the ""Donald Trump"" single.",,,Front Cover,Used
On and On and Beyond,On and On and Beyond [Cover],"Front Cover for ""On and On and Beyond"".",,,Front Cover,Used
On and On and Beyond,On and On [Single Cover],"Cover for the ""On and On"" single.",,,Front Cover,Used
"I Love Life, Thank You","I Love Life, Thank You [Cover]","Cover for ""I Love Life, Thank You"".",,,Front Cover,Used
Blue Slide Park,Blue Slide Park [Cover],"Front Cover for ""Blue Slide Park"".",,,Front Cover,Used
Blue Slide Park,Blue Slide Park [Back Cover #1],"Back cover for ""Blue Slide Park"".",,,Back Cover,Used
Blue Slide Park,Blue Slide Park [Back Cover #2],"Alternate back cover for ""Blue Slide Park"".",,,Back Cover,Alternate
Blue Slide Park,Frick Park Market [Single Cover],"Cover for the ""Frick Park Market"" single.",,,Front Cover,Used
Blue Slide Park,Party On Fifth Ave [Single Cover],"Cover for the ""Party On Fifth Ave"" single.",,,Front Cover,Used
Blue Slide Park,Up All Night [Single Cover],"Cover for the ""Up All Night"" single.",,,Front Cover,Used
Macadelic,Macadelic [Cover],"Front Cover for ""Macadelic"".",,,Front Cover,Used
