Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
But My Mackin' Ain't Easy,"Mackin' Ain't Easy
(prod. The Alchemist)","Track 1 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Uses the same instrumental as ""Dead End Street"" by Buc Fifty",3:08,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/c4678d728bd212b4b78ce0bb10163843
But My Mackin' Ain't Easy,"Warhead
(feat. B. DuBB)
(prod. DJ Premier)","Track 2 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Uses the same instrumental as ""Kick In The Door"" by The Nitorious B.I.G. also samples ""Unbelieveable"" by The Nitorious B.I.G.",2:57,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/6ca028608da9ba5e9e6baf8071844936
But My Mackin' Ain't Easy,"Hey You
(feat. J. Herd & Liquid Luke)
(prod. The Alchemist)","Track 3 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Samples ""What's Your Name"" by The Moments",2:28,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/ad8359eab5fe9c4bf45485ea2283a299
But My Mackin' Ain't Easy,"Dead Presidents
(prod. Ski Beatz)","Track 4 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Uses the same instrumental as ""Dead Presidents"" by Jay-Z",3:36,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/d0ca38af1dc720148f6d0283d4a98b32
But My Mackin' Ain't Easy,"We Brothers In Arms
(prod. The Alchemist)","Track 5 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Uses the same Instrumental as ""Say Yes"" by Saigon",3:54,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/8a20873612b2c152e4798fdeef3861fe
But My Mackin' Ain't Easy,"Too Green Scene
(feat. D-Wreck)
(prod. Just Blaze)","Track 6 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Uses the same instrumental as ""Letter P"" by Saigon",2:12,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/bb1aa13d157ef3a132db490666e1c49a
But My Mackin' Ain't Easy,"Hater's Last Meal
(prod. Havoc)","Track 7 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Uses the same instrumental as ""Hell on Earth (Front Lines)"" by Mobb Deep",2:57,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/4bc168a5f04390231644460b9aa89c24
But My Mackin' Ain't Easy,"Crooklyn Dodgers [V2]
(feat. B. DuBB)
(prod. DJ Premier)","Track 8 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Uses same instrumental as ""Return of the Crookyln Dodgers"" by the Crooklyn Dodgers",3:00,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/777392e29dd5a99cae7f6c854a0d9d11
But My Mackin' Ain't Easy,"Coffee Shop (Freestyle)
(prod. Don Vito)","Track 9 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Uses the same instrumental as ""Coffee Shop"" by Yung Joc",3:02,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/8dce59a89b6f2c13616682852da4bd5d
But My Mackin' Ain't Easy,"How We Do
(feat. B. DuBB)
(prod. N. Rossi)","Track 10 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.",2:42,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/51352610661cb207d921220c47029ac4
But My Mackin' Ain't Easy,Good Days Are Gone,"Track 11 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Samples ""I Let A Good Girl Go"" by Syl Johnson",2:05,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/c112dbd9ec53301c3917c35ac5c85cd6
But My Mackin' Ain't Easy,"The World Is Mine
(prod. Pete Rock)","Track 12 on the original version of ""But My Mackin' Ain't Easy"" given to high school classmates.
Uses the same instrumental as ""The World Is Yours"" by Nas",2:41,"Nov 1, 2007",Album Track,Yes,https://pillows.su/f/a8668784106290eda9ff2dee73f4e253
