Era,Name,Notes,"Track
Length","Leak
Date",Release Date,Currently Available,Quality,Link(s)
The High Life,Ridin' High,Instrumental for Ridin' High.,,,,OG File,High Quality,#REF!
Best Day Ever,Keep Floatin,Instrumental for Keep Floatin.,    ,,"Aug 7, 2013",Full,High Quality,#REF!
Best Day Ever,Snooze,Instrumental for Snooze.,,,"Aug 14, 2013",Full,High Quality,#REF!
Best Day Ever,Life Ain't Easy,Instrumental for Life Ain't Easy. ID Lab's titled it Ain't Nothing Easy Instead of the release name for whatever reason.,,,"Aug 14, 2013",Full,High Quality,#REF!
Best Day Ever,On And On,Ain't from BDE but I don't want to make a whole era for a EP that was mainly prev released tracks.,,,"Aug 7, 2013",Full,High Quality,#REF!
"I Love Life, Thank You",Cold Feet,Instrumental for Cold Feet.,    ,,"Dec 19, 2013",Full,High Quality,#REF!
Blue Slide Park,One Last Night,Instrumental for One Last Night.,,,"Apr 23, 2013",Full,High Quality,#REF!
Macadelic,Vitamins,Instrumental for Vitamins.,    ,,"Aug 7, 2013",Full,High Quality,#REF!
Macadelic,Loud,Instrumental for Loud.,,,"Nov 27, 2013",Full,High Quality,#REF!
Macadelic,"Angels
(When She Shut Her Eyes)",Instrumental for Angels.,,,"Apr 23, 2013",Full,High Quality,#REF!
Macadelic,Clarity,"Instrumental for Clarity. Originally on ID Lab's soundcloud, but would later be removed for unknown reasons.",,,,Confirmed,Not Available,
Watching Movies With The Sound Off,Goosebumpz,"Stems for ""Goosebumpz"" dated August 14, 2013 4:42:34 PM.",,,"Sep 6, 2024",Full,Lossless,#REF!
Watching Movies With The Sound Off,Birdcall ,"Instrumental for ""Birdcall.""",,,"Dec 19, 2013",Full,High Quality,https://soundcloud.com/clammyclams/06-bird-call-mac-miller?in=clammyclams/sets/instrumental-mixtape-3
Watching Movies With The Sound Off,SDS,"Instrumental for ""SDS.""",    ,,"Apr 29, 2013",Full,High Quality,https://soundcloud.com/flyinglotus/sds-mac-miller-instrumental
Watching Movies With The Sound Off,Youforia ,"Instrumental for ""Youforia.""",,,"Dec 19, 2013",Full,High Quality,https://soundcloud.com/clammyclams/13-youforia-mac-miller-1?in=clammyclams/sets/instrumental-mixtape-3&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Watching Movies With The Sound Off,"Ariana Grande - The Way
(feat. Mac Miller) (prod. Harmony Samuels)",Instrumental for The Way by Ariana Grande.,,,,Full,High Quality,https://pillows.su/f/c7d19975f9bb42abab76af406e0fa0f6
Watching Movies With The Sound Off,"Ab-Soul - The End Is Near
(feat. Mac Miller) (prod. Larry Fisherman)",Instrumental for The End Is Near by Ab-Soul.,,,,Full,High Quality,https://pillows.su/f/c7d19975f9bb42abab76af406e0fa0f6
Watching Movies With The Sound Off,"Laughing
(laughing_ref-13)"," laughing_ref2-13.mp3
Alleged throwaway from Run On Sentences, Vol.1, from a guy who was sharing unsubstantiated tracklists and coverart of ""Freezerburnt"" @super.weirdo — Authenticity unknown. Production only.",1:21,,"Apr 7, 2024",Full,Average,https://pillows.su/f/699ffd33c0e723687d34d84882452706
Balloonerism,Bob's Dementia,"16_Bobs_Dimensia.mp3
Demented Children - rough instr . . . .mp3
Instrumental for Bob's Dementia. Includes an extended piano outro. iTunes 11.1.5 encoding; Feb 26, 2014 at earliest.",4:21,,,Full,High Quality,https://pillows.su/f/1aa30b5be0b0f5cc6fc6f88bbbdac6f7
Faces,Insominak,"Instrumental. Officially released, lossless is leaked as well.",    ,,"Jul 10, 2014",Full,Lossless,https://soundcloud.com/big-jerm-1/insomniak-instrumental-original
Faces,Rain,"Instrumental. Officially released, lossless is leaked as well.",,,"May 13, 2024",Full,Lossless,Link Needed
Faces,Diablo ,"Instrumental. Officially released, lossless is leaked as well.",    ,,,Full,Lossless,Link Needed
Faces,Faces In My Blanket,"Exported April 1, 2014.",,,"Nov 30, 2024",Full,High Quality,https://pillows.su/f/23047569c39bf871af2ab985eb179d4b
Faces,Caputshnik ,"Encoded by Logic 10.0.6, which released in January 2014, implying an early-2014 export date, assuming their DAWs were regularly updated.",,,"Nov 30, 2024",Full,High Quality,https://pillows.su/f/2216e147848cde372a1dbd2bb7b5e1e9
Faces,"taylormaccat
(prod. Taylor Graves, Larry Fisherman, & Thundercat)","Export date unknown, but the three worked together April 19, 2014 on Falling Apart, so likely from around that time.",,,"Nov 30, 2024",Full,Lossless,https://gofile.io/d/vcIMBp
GO:OD AM,Perfect Circle,Stems used for Perfect Circle.,,,,Confirmed,Not Available,
GO:OD AM,Weekend,Stems used for Weekend.,,,,Confirmed,Not Available,
GO:OD AM,Coming Back - Stems,Stems used for Coming Back.,,,,Confirmed,Not Available,
GO:OD AM,Big Jerm - Outsiders,Instrumental for Outsiders by Big Jerm.,    ,,"Dec 13, 2021",Full,High Quality,https://soundcloud.com/big-jerm-1/outsiders-instrumental
GO:OD AM,"The Alchemist - Holy Tabernacle
(Look At You)",Instrumental for Holy Tabernacle by The Alchemist.,0:58,,,Full,Average,Link Needed
GO:OD AM,"Big Jerm - Thank God
(prod. Big Jerm)",Instrumental for Thank God by Big Jerm.,,,"May 17, 2024",Full,Average,Link Needed
GO:OD AM,"Frank Dukes - Slow Jam [OG]
(On Sail)","Original Instrumental for On Sail, titled Slow Jam by Frank Dukes.",,,"May 17, 2024",Full,Lossless,https://pillows.su/f/b337c7c992d4e1ba90c262a08d0fa154
GO:OD AM,Frank Dukes - On Sail [V2],Instrumental for On Sail by Frank Dukes.,,,"May 17, 2024",Full,Average,Link Needed
GO:OD AM,"Frank Dukes - BOMBS
(ATOMIC BOMB)",Instrumental for ATOMIC BOMB.,,,"May 17, 2024",Full,Lossless,Link Needed
GO:OD AM,Michael Uzowuru - ATOMIC BOMB,Another Instrumental for ATOMIC BOMB.,,,"May 17, 2024",Full,Average,Link Needed
GO:OD AM,Larry Fisherman - Vrillo,"Vrillo - inst ref.mp3
Logic 10.0.6 encoding; Jan 2014 at earliest. Allegedly from Run-On Sentences, Vol. 2 sessions.",,,"Apr 21, 2024",OG File,High Quality,https://pillows.su/f/2cee8e8b7c27746a1649e530594ea431
GO:OD AM,"Dylan Reynolds - Sacks of Phones
(prod. Larry Fisherman, Taylor Graves, Thundercat)","Exported July 6, 2014. Interpolates ""Funny Papers"" from Balloonerism—same BPM and piano melody. Kamasi Washington saxophone production is possible.",6:25,,"Nov 30, 2024",Full,High Quality,https://pillows.su/f/d6df75061e20f0681afa7a57dbaee16f
GO:OD AM,"Planet Earth
(prod. Larry Fisherman, Thundercat & Om'mas Keith)","Exported July 7, 2014. Sounds similar to some Balloonerism production. Om'mas Keith production inferred based on Book of Mac.",4:54,,"Nov 30, 2024",Full,High Quality,https://pillows.su/f/e13cffbb2b556e34831066b83ab94890
GO:OD AM,"Ab-Soul - No Sweat
(feat. Future) (prod. Larry Fisherman)","2015. iTunes 12.1.2.27 encoding; Apr 9, 2015 at earliest. Saved under stagename Pastor Blacklip.",3:22,,"Apr 15, 2024",Full,Average,https://pillows.su/f/f39a93824021be7f8e490e8ee27be736
The Divine Feminine,The Divine Feminine,Full album multitrack stems leaked in full from 100GB+ concert session.,,,,Full,Lossless,Link Needed
The Divine Feminine,Break You Off,"Full stems leaked Jan 19, 2025. Edison bounce Mar 25, 2022.",,,"Jan 19, 2025",Full,Lossless,Link Needed
The Divine Feminine,Interlude,"Full stems leaked Jan 19, 2025. Edison bounce Jan 27, 2021.",,,"Jan 19, 2025",Full,Lossless,Link Needed
The Divine Feminine,"Dang!
(feat. Anderson .Paak) (prod. Pomo, Thundercat, Danny McKinnion, Braxton Cook, Julian Lee, Jeffrey Oliver & Enrique Sanchez)","Lossless stems for ""Dang!""",,,"Jan 2, 2023",Full,Lossless,https://mega.nz/file/VXNUlZYA#l71x-p-7qhtb4s3JNttOWKwkgNsGSYs0T0YRvfAf1u4
The Divine Feminine,"Soulmate [V1]
(prod. Mister Neek & DaM FunK)","May 21 2016 Soulmate 111 BPM Instr.mp3
OG File for the Soulmate V1 Instrumental.",4:45,,,OG File,High Quality,https://imgur.gg/f/ydM5eXX
The Divine Feminine,"Soulmate [V2]
(prod. Mister Neek & DaM FunK)","Instrumental for the release version of ""Soulmate.""",,,"Feb 8, 2020",Full,High Quality,https://pillows.su/f/813121837ab05874898d9f1eebd8df92
Swimming,"Frank Dukes - The Woods
(Problem)",2015 loop for Problem. Track 01 in beatpack.,,,,Full,Lossless,Link Needed
Swimming,"Frank Dukes - Doris
(Well, Madula)",2016 loop for Well/Madula. Track 04 in beatpack.,,,,Full,Lossless,Link needed
Swimming,"Bump Demon (Instrumental)
(Ride)",Instrumental for Bump Demon.,     3:12,,"Sep 9, 2022",Full,Average,https://pillows.su/f/e2c7f024a73ea8d4666dbbe009074011
Swimming,Come Back To Earth - Stems,Stems for Come Back To Earth,,,,Full,Lossless,https://pillows.su/f/fe8e66515a7a33418a9d27c0554b8ec9
Swimming,What's The Use  - Stems,Stems for What's The Use.,,,,Full,Lossless,Link Needed
Swimming,Small Worlds  - Stems,Stems for Small Worlds.,,,,Full,Lossless,Link Needed
Swimming,Self Care OG - Acapella,"Original stems for the Self Care acapella dated July 25th, 2017 17:37:48.",,,,Full,Lossless,Link Needed
Swimming,DJ Dahi - Self Care,Reference for Mac Miller's Self Care OG.,,,,Full,Lossless,https://pillows.su/f/9cf083e81a6c90e8c5ae7cef7bd88241
Swimming,Orion,Pro Tools session held by waterfalls (ptx). One Syd stem snippet is leaked dating the files to 2018.,,,,Snippet,Lossless,https://pillows.su/f/b09919b337da2b02d2eb0df64299e56c
Swimming,Swimming (Album),All the instrumental's from Swimming leaked onto Youtube besides 2009.,,,"Apr 20, 2020",Full,Average Quality,https://www.youtube.com/watch?v=iaUqFGP_4mk&list=PL6fy70VcZNviGYaAnZK-eGHigh Quality-j9gnE85N&index=1&ab_channel=RamSounds-NonCopyrightedMusic
Swimming,Self Care OG - Instrumental,Original version of the Self Care Instrumental.,,,,Full,Lossless,Link Needed
Circles,Circles , Demo stems for Circles.,     ,,"Sep 4, 2019",Full,Average,Link Needed
Circles,Good News [V2],Zip file that contains stems for Good News V2.,,,"Sep 1, 2019",Full,Lossless,https://mega.nz/file/MSt1lJqL#E9uwykHf-PaUB9mQcy9kI-Atg2iuwsQVQvfpZbNKWtA
Circles,CAM TONY 26,"Mac DeMarco livestreamed a session with him, Thundercat, and Mac Miller on his youtube channel ""CAM TONY"".",,,"Jul 11, 2018",Full,Recording,https://mega.nz/file/MSt1lJqL#E9uwykHf-PaUB9mQcy9kI-Atg2iuwsQVQvfpZbNKWtA
Circles,No Wrong,Leaked six years down to the hour after mac recorded his final take.,,,,Full,High Quality,Link Needed
Circles,"???
(Mac2)","Track that was being sold by hell, Unknown what the track name is.",,,May 2021,Confirmed,Not Available,
Circles,Circles ,Vocal stem for the release version of Circles.,     1:46,,,Full,Average,https://pillows.su/f/fe7cb115499f850eb7e2ec3bd00a4a5c
Circles,Good News,Vocal stem for the release version of Good News.,,,,Full,Lossless,https://pillows.su/f/140c354242ecaa423de0eac1ca113d7d
Circles,Right,Vocal stem for the release version of Right.,     4:50,,,Full,Average,https://pillows.su/f/2a3b14e7dcadba1bb5ea7f34fbce7c95
Circles,Circles , Instrumental of the track Circles leaked onto Youtube.,     2:47,,"Apr 27, 2020",Full,Average,https://pillows.su/f/600b6ee0b7756e11a248196b8e056672
Circles,Josh Berg - Making of Faces,Vocals of Josh Berg's interview in Making of Faces. Not sure why this exists or is on here.,,,,Full,High Quality,Link Needed
